Date,Open,High,Low,Close,Adj Close,Volume
2017-09-21,59.200001,59.240002,58.820000,59.000000,54.194679,556300
2017-09-22,59.000000,59.610001,58.939999,59.549999,54.699875,745100
2017-09-25,59.459999,59.720001,58.610001,58.990002,54.185482,591400
2017-09-26,59.020000,59.320000,58.970001,59.080002,54.268169,559500
2017-09-27,59.200001,59.419998,58.650002,59.000000,54.194679,700200
2017-09-28,58.939999,59.349998,58.619999,58.900002,54.102825,537800
2017-09-29,58.910000,59.529999,58.750000,59.430000,54.589657,780800
2017-10-02,59.660000,60.049999,59.470001,59.990002,55.104042,778500
2017-10-03,60.049999,60.400002,59.650002,60.389999,55.471474,841500
2017-10-04,60.560001,60.939999,60.360001,60.860001,55.903194,608400
2017-10-05,60.930000,60.980000,60.480000,60.799999,55.848072,660400
2017-10-06,60.779999,61.240002,60.650002,61.000000,56.031788,562000
2017-10-09,61.099998,61.200001,60.580002,60.759998,55.811325,810200
2017-10-10,60.919998,60.919998,60.450001,60.730000,55.783775,601300
2017-10-11,60.730000,60.840000,60.410000,60.650002,55.710293,517300
2017-10-12,60.660000,61.619999,60.529999,61.450001,56.445141,546700
2017-10-13,61.689999,61.799999,61.070000,61.160000,56.178757,728500
2017-10-16,61.340000,61.439999,60.980000,61.209999,56.224674,546900
2017-10-17,61.150002,61.400002,60.570000,60.720001,55.774586,592200
2017-10-18,60.869999,61.000000,60.540001,60.639999,55.701111,500400
2017-10-19,60.549999,60.959999,60.200001,60.799999,55.848072,644000
2017-10-20,61.139999,61.820000,61.139999,61.590000,56.573730,673600
2017-10-23,61.799999,61.939999,61.470001,61.549999,56.536987,769900
2017-10-24,61.549999,62.160000,61.279999,61.930000,56.886047,1225600
2017-10-25,61.259998,61.290001,58.209999,59.110001,54.295715,2337500
2017-10-26,59.520000,59.910000,59.119999,59.669998,54.810104,1451100
2017-10-27,59.709999,59.820000,58.849998,59.599998,54.745808,1025800
2017-10-30,59.459999,59.529999,58.680000,59.180000,54.488014,932800
2017-10-31,59.360001,59.680000,59.130001,59.200001,54.506424,1324600
2017-11-01,59.689999,59.970001,59.380001,59.919998,55.169346,1276500
2017-11-02,59.919998,60.560001,59.520000,60.080002,55.316650,1649900
2017-11-03,59.939999,60.419998,59.430000,59.540001,54.819466,672000
2017-11-06,59.400002,59.889999,59.320000,59.669998,54.939159,827800
2017-11-07,59.669998,59.830002,59.090000,59.500000,54.782635,754500
2017-11-08,59.259998,59.820000,59.040001,59.570000,54.847095,669600
2017-11-09,58.950001,59.240002,58.290001,58.669998,54.018448,672100
2017-11-10,58.360001,58.759998,58.270000,58.560001,53.917168,657500
2017-11-13,58.389999,59.000000,58.279999,58.919998,54.248615,536000
2017-11-14,58.790001,59.279999,58.580002,58.820000,54.156551,768600
2017-11-15,58.560001,58.820000,58.279999,58.410000,53.779057,675900
2017-11-16,58.540001,59.430000,58.540001,59.029999,54.349907,838200
2017-11-17,58.790001,59.320000,58.540001,58.889999,54.221004,577900
2017-11-20,59.009998,59.610001,59.009998,59.490002,54.773434,632400
2017-11-21,59.660000,61.110001,59.599998,60.770000,55.951954,1942400
2017-11-22,60.759998,60.959999,60.439999,60.860001,56.034824,1211900
2017-11-24,60.910000,60.980000,60.389999,60.580002,55.777023,429400
2017-11-27,60.500000,61.560001,60.439999,61.369999,56.504379,1365500
2017-11-28,61.470001,62.509998,61.169998,62.259998,57.323811,1089400
2017-11-29,62.259998,62.700001,61.950001,62.500000,57.544796,914500
2017-11-30,62.650002,63.700001,62.599998,63.419998,58.391846,962000
2017-12-01,63.520000,63.660000,61.790001,62.810001,57.830212,823000
2017-12-04,63.200001,63.590000,62.189999,62.200001,57.268574,998500
2017-12-05,62.240002,62.529999,61.490002,61.580002,56.697727,628300
2017-12-06,61.500000,61.689999,61.270000,61.400002,56.532005,700300
2017-12-07,61.500000,61.740002,61.250000,61.590000,56.706936,465900
2017-12-08,61.709999,62.259998,61.340000,62.220001,57.286995,837700
2017-12-11,62.209999,62.209999,61.230000,61.360001,56.495178,642900
2017-12-12,61.310001,61.560001,61.029999,61.060001,56.218964,642200
2017-12-13,61.049999,61.349998,60.950001,60.970001,56.136097,638900
2017-12-14,61.040001,61.259998,60.029999,60.040001,55.279835,561200
2017-12-15,60.480000,60.990002,60.299999,60.730000,55.915119,1133500
2017-12-18,61.119999,61.360001,60.880001,61.279999,56.421513,621900
2017-12-19,61.459999,61.680000,61.150002,61.290001,56.430717,481100
2017-12-20,61.520000,61.680000,61.270000,61.480000,56.605652,508100
2017-12-21,61.820000,61.970001,61.480000,61.709999,56.817425,733700
2017-12-22,61.900002,61.980000,61.139999,61.259998,56.403107,571800
2017-12-26,61.400002,61.750000,61.160000,61.660000,56.771389,322900
2017-12-27,61.840000,62.070000,61.709999,61.880001,56.973949,494600
2017-12-28,61.880001,62.080002,61.169998,61.610001,56.725357,543600
2017-12-29,61.849998,61.849998,61.279999,61.279999,56.421513,614500
2018-01-02,61.450001,61.610001,61.040001,61.529999,56.651691,679200
2018-01-03,61.599998,61.990002,61.290001,61.900002,56.992359,766100
2018-01-04,62.000000,62.400002,61.820000,62.189999,57.259369,934500
2018-01-05,62.410000,63.000000,62.369999,62.990002,57.995941,619400
2018-01-08,62.880001,63.400002,62.599998,63.290001,58.272163,572300
2018-01-09,63.320000,63.660000,63.150002,63.240002,58.226116,526400
2018-01-10,63.119999,63.700001,63.000000,63.410000,58.382641,634400
2018-01-11,63.610001,64.769997,63.570000,64.750000,59.616398,558700
2018-01-12,64.879997,65.370003,64.650002,65.320000,60.141201,856600
2018-01-16,65.690002,66.190002,64.830002,65.070000,59.911030,1003200
2018-01-17,65.470001,65.760002,64.989998,65.589996,60.389801,677900
2018-01-18,65.430000,66.110001,65.430000,65.910004,60.684448,507700
2018-01-19,66.180000,67.050003,65.949997,67.040001,61.724854,635200
2018-01-22,67.029999,67.070000,66.419998,67.000000,61.688015,929000
2018-01-23,66.889999,67.190002,66.370003,66.800003,61.503868,655600
2018-01-24,67.160004,67.650002,66.459999,66.800003,61.503868,900700
2018-01-25,67.050003,67.809998,66.919998,67.400002,62.056301,1418600
2018-01-26,67.720001,68.120003,67.199997,67.839996,62.461418,1310600
2018-01-29,67.839996,68.389999,66.779999,66.820000,61.522282,1373500
2018-01-30,64.199997,67.070000,63.000000,66.419998,61.319172,2342700
2018-01-31,67.160004,67.440002,66.330002,66.779999,61.651535,4651900
2018-02-01,66.989998,68.120003,66.339996,66.790001,61.660770,1481500
2018-02-02,66.160004,66.400002,64.629997,64.639999,59.675880,1006000
2018-02-05,64.290001,64.739998,61.450001,61.560001,56.832417,1560300
2018-02-06,60.299999,62.709999,59.500000,62.320000,57.534054,2007200
2018-02-07,62.160000,63.860001,62.130001,62.720001,57.903332,1155300
2018-02-08,62.759998,62.830002,60.220001,60.240002,55.613785,1237500
2018-02-09,60.889999,61.509998,58.709999,60.959999,56.278496,1271800
2018-02-12,61.580002,62.529999,60.990002,61.980000,57.220154,1063600
2018-02-13,61.759998,62.889999,61.419998,62.730000,57.912563,773900
2018-02-14,62.270000,64.129997,62.040001,64.059998,59.140423,939100
2018-02-15,64.440002,65.260002,63.970001,65.230003,60.220570,1186700
2018-02-16,64.980003,66.370003,64.980003,65.540001,60.506771,1723900
2018-02-20,65.099998,66.070000,65.070000,65.440002,60.414452,1214200
2018-02-21,65.339996,66.889999,65.320000,65.379997,60.359070,1026300
2018-02-22,65.620003,66.300003,65.160004,65.559998,60.525223,772900
2018-02-23,66.160004,66.580002,65.680000,66.410004,61.309956,751700
2018-02-26,66.559998,66.650002,65.769997,66.230003,61.143776,906000
2018-02-27,66.419998,66.769997,65.379997,65.389999,60.368290,1038100
2018-02-28,65.650002,65.910004,64.190002,64.190002,59.260441,1150300
2018-03-01,64.190002,64.209999,61.400002,62.060001,57.294018,1521800
2018-03-02,61.560001,62.180000,60.730000,61.880001,57.127842,1064400
2018-03-05,61.500000,63.029999,61.400002,62.810001,57.986416,947200
2018-03-06,63.000000,63.459999,62.770000,63.279999,58.420322,966000
2018-03-07,62.480000,64.150002,62.480000,64.019997,59.103489,802100
2018-03-08,64.059998,64.809998,63.840000,64.540001,59.583569,1204300
2018-03-09,65.000000,66.599998,64.730003,66.489998,61.383808,758800
2018-03-12,66.849998,66.849998,66.099998,66.279999,61.189934,656900
2018-03-13,66.500000,66.650002,65.650002,65.879997,60.820637,654700
2018-03-14,66.309998,66.419998,65.150002,65.300003,60.285202,432800
2018-03-15,65.309998,65.629997,64.919998,65.239998,60.229797,713400
2018-03-16,65.169998,65.900002,65.110001,65.639999,60.599075,1012200
2018-03-19,65.580002,65.620003,64.550003,65.199997,60.192879,638600
2018-03-20,65.379997,66.040001,65.379997,65.709999,60.663708,551000
2018-03-21,65.820000,66.480003,65.650002,65.650002,60.608311,680300
2018-03-22,65.559998,66.239998,64.449997,64.480003,59.528168,1105700
2018-03-23,64.410004,64.809998,62.340000,62.450001,57.654060,1239900
2018-03-26,63.549999,64.330002,62.939999,64.230003,59.297375,979400
2018-03-27,64.480003,64.480003,62.070000,62.480000,57.681763,1296500
2018-03-28,62.430000,63.240002,62.009998,62.520000,57.718697,833200
2018-03-29,63.000000,64.110001,62.639999,63.590000,58.706516,788300
2018-04-02,63.450001,63.500000,60.869999,61.610001,56.878578,1029200
2018-04-03,61.910000,63.169998,61.419998,63.139999,58.291084,1462100
2018-04-04,62.459999,64.449997,62.000000,64.379997,59.435837,1375100
2018-04-05,64.809998,65.519997,64.510002,64.980003,59.989777,943000
2018-04-06,64.339996,64.809998,62.570000,63.169998,58.318768,997400
2018-04-09,63.750000,63.990002,62.970001,63.000000,58.161831,640700
2018-04-10,63.820000,65.040001,63.820000,64.489998,59.537392,818000
2018-04-11,63.990002,64.150002,63.459999,63.580002,58.697292,700000
2018-04-12,64.190002,64.889999,63.860001,63.990002,59.075802,672900
2018-04-13,64.519997,64.519997,63.480000,63.790001,58.891151,1033500
2018-04-16,64.470001,65.029999,64.000000,64.739998,59.768200,1597900
2018-04-17,65.199997,65.940002,65.019997,65.500000,60.469833,721000
2018-04-18,65.680000,66.209999,65.510002,65.860001,60.802197,719200
2018-04-19,65.760002,65.889999,64.900002,65.279999,60.266735,903000
2018-04-20,65.529999,65.809998,64.959999,65.269997,60.257481,724500
2018-04-23,65.540001,65.589996,64.559998,64.900002,59.915924,1064800
2018-04-24,65.160004,65.220001,61.099998,62.110001,57.340179,2272600
2018-04-25,63.500000,64.050003,60.639999,61.500000,56.777023,3161200
2018-04-26,61.540001,63.130001,61.369999,62.650002,57.838715,1583700
2018-04-27,62.580002,62.610001,62.029999,62.369999,57.746120,727500
2018-04-30,62.549999,62.939999,61.349998,61.349998,56.801743,1131100
2018-05-01,61.250000,61.599998,60.240002,61.509998,56.949879,1498400
2018-05-02,61.349998,61.810001,60.700001,60.779999,56.273987,1081100
2018-05-03,60.500000,61.380001,59.770000,60.950001,56.431393,1200300
2018-05-04,60.619999,62.790001,60.459999,62.450001,57.820187,996700
2018-05-07,62.509998,63.029999,62.349998,62.709999,58.060909,939400
2018-05-08,62.669998,63.180000,62.619999,62.980000,58.310902,853900
2018-05-09,63.259998,63.709999,62.750000,63.349998,58.653458,827200
2018-05-10,63.490002,64.099998,63.360001,64.080002,59.329350,732400
2018-05-11,64.089996,64.629997,63.750000,63.990002,59.246029,944600
2018-05-14,64.099998,64.239998,63.450001,63.660000,58.940491,711100
2018-05-15,63.299999,63.410000,62.639999,62.980000,58.310902,903700
2018-05-16,63.090000,63.630001,62.919998,63.080002,58.403492,642200
2018-05-17,63.070000,63.439999,62.939999,63.220001,58.533104,533000
2018-05-18,63.240002,63.840000,63.110001,63.689999,58.968262,775500
2018-05-21,64.129997,64.500000,64.040001,64.500000,59.718193,697200
2018-05-22,64.639999,64.739998,63.639999,63.689999,58.968262,603300
2018-05-23,63.480000,63.950001,63.240002,63.919998,59.181213,358700
2018-05-24,63.880001,64.470001,63.540001,64.430000,59.653397,627400
2018-05-25,64.309998,64.720001,64.139999,64.470001,59.690434,498900
2018-05-29,64.029999,64.650002,63.400002,63.880001,59.144180,723800
2018-05-30,64.330002,64.779999,63.849998,64.440002,59.662655,687100
2018-05-31,64.500000,64.500000,62.820000,63.070000,58.394230,788700
2018-06-01,63.380001,64.199997,63.009998,63.540001,58.829384,905700
2018-06-04,63.830002,64.080002,62.700001,62.779999,58.125729,1098300
2018-06-05,62.830002,63.160000,62.590000,62.980000,58.310902,1536600
2018-06-06,63.080002,63.610001,62.459999,63.599998,58.884933,1260400
2018-06-07,63.709999,64.000000,63.189999,63.750000,59.023811,895300
2018-06-08,63.900002,64.879997,63.869999,64.839996,60.033009,1029500
2018-06-11,64.860001,65.150002,64.389999,64.470001,59.690434,880900
