Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,92.680000,93.120003,92.540001,93.050003,87.312851,968900
2017-09-25,93.050003,93.209999,92.139999,92.830002,87.106422,1362000
2017-09-26,92.930000,93.169998,92.510002,92.650002,86.937523,933100
2017-09-27,92.980003,93.449997,92.779999,93.000000,87.265923,955500
2017-09-28,92.570000,93.389999,92.519997,93.339996,87.584938,891400
2017-09-29,93.360001,93.650002,93.000000,93.389999,87.631882,1076600
2017-10-02,93.459999,93.860001,93.139999,93.330002,87.575577,867500
2017-10-03,93.330002,93.589996,93.059998,93.400002,87.641273,519800
2017-10-04,93.440002,93.940002,93.269997,93.709999,87.932167,1107200
2017-10-05,93.910004,93.949997,93.360001,93.820000,88.035370,733100
2017-10-06,93.760002,93.989998,93.500000,93.910004,88.119804,1380400
2017-10-09,94.000000,94.449997,93.809998,94.349998,88.532707,742000
2017-10-10,94.510002,94.949997,94.320000,94.610001,88.776665,1332000
2017-10-11,94.580002,94.720001,94.339996,94.639999,88.804810,858600
2017-10-12,94.559998,94.989998,94.419998,94.610001,88.776665,1051600
2017-10-13,94.900002,95.139999,94.639999,94.959999,89.105110,1042800
2017-10-16,95.059998,95.269997,94.760002,95.209999,89.339661,1019500
2017-10-17,95.239998,95.239998,94.129997,94.379997,88.560844,964000
2017-10-18,94.370003,95.209999,94.290001,94.809998,88.964333,652400
2017-10-19,94.779999,95.209999,94.180000,95.150002,89.283386,1166500
2017-10-20,95.489998,95.500000,94.800003,95.279999,89.405350,976700
2017-10-23,95.500000,96.000000,95.489998,95.709999,89.808830,743400
2017-10-24,95.839996,95.970001,95.239998,95.269997,89.395973,813300
2017-10-25,95.309998,95.949997,95.029999,95.529999,89.639961,864400
2017-10-26,96.099998,96.360001,95.739998,95.940002,90.024673,888000
2017-10-27,96.139999,96.669998,95.879997,96.620003,90.662735,994500
2017-10-30,96.449997,96.459999,95.739998,96.070000,90.146645,1241200
2017-10-31,91.250000,93.300003,90.800003,92.760002,87.040726,4394200
2017-11-01,94.120003,94.889999,92.470001,93.110001,87.369164,2849500
2017-11-02,93.440002,93.629997,92.910004,93.360001,87.603729,1489400
2017-11-03,93.010002,93.449997,92.589996,93.180000,87.434837,1264400
2017-11-06,93.320000,93.699997,93.000000,93.129997,87.387901,1620700
2017-11-07,92.940002,92.989998,89.309998,90.470001,84.891930,4748900
2017-11-08,90.410004,92.110001,90.000000,91.650002,85.999168,2400600
2017-11-09,91.500000,92.790001,90.959999,92.519997,86.815506,2704700
2017-11-10,92.330002,92.970001,92.120003,92.760002,87.040726,1800200
2017-11-13,91.830002,92.889999,91.510002,92.849998,87.125191,1561600
2017-11-14,92.349998,93.720001,91.660004,93.430000,87.669418,2111000
2017-11-15,93.269997,93.820000,92.139999,93.540001,87.772644,2414600
2017-11-16,93.809998,94.239998,93.169998,93.199997,87.453590,2711900
2017-11-17,92.989998,93.230003,91.830002,92.059998,86.383881,1692900
2017-11-20,92.389999,92.589996,91.790001,91.970001,86.299454,1429400
2017-11-21,92.139999,92.250000,91.570000,91.739998,86.083611,1924400
2017-11-22,91.589996,91.809998,91.330002,91.589996,85.942863,792600
2017-11-24,91.589996,92.199997,91.500000,92.110001,86.430786,469200
2017-11-27,92.339996,92.370003,91.529999,91.970001,86.299454,1155000
