Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,7.632000,7.732000,7.630000,7.668000,7.668000,3059500
2017-09-25,7.660000,7.674000,7.478000,7.510000,7.510000,4258000
2017-09-26,7.548000,7.588000,7.438000,7.492000,7.492000,4713500
2017-09-27,7.520000,7.598000,7.516000,7.540000,7.540000,12989000
2017-09-28,7.518000,7.518000,7.180000,7.182000,7.182000,15988000
2017-09-29,7.172000,7.240000,7.088000,7.168000,7.168000,16533000
2017-10-02,7.182000,7.388000,7.182000,7.270000,7.270000,11044500
2017-10-03,7.298000,7.394000,7.286000,7.346000,7.346000,7594500
2017-10-04,7.350000,7.394000,7.316000,7.374000,7.374000,4873000
2017-10-05,7.388000,7.666000,7.370000,7.658000,7.658000,13491000
2017-10-06,7.636000,7.830000,7.624000,7.806000,7.806000,9271500
2017-10-09,7.798000,7.840000,7.724000,7.754000,7.754000,6179500
2017-10-10,7.764000,7.786000,7.678000,7.690000,7.690000,4329500
2017-10-11,7.684000,7.784000,7.666000,7.736000,7.736000,3127000
2017-10-12,7.714000,7.752000,7.694000,7.702000,7.702000,5254000
2017-10-13,7.750000,7.848000,7.730000,7.816000,7.816000,4684500
2017-10-16,7.824000,7.850000,7.710000,7.788000,7.788000,4188500
2017-10-17,7.820000,7.932000,7.798000,7.852000,7.852000,5606500
2017-10-18,7.998000,8.080000,7.860000,8.058000,8.058000,11902000
2017-10-19,8.008000,8.044000,7.882000,8.044000,8.044000,6376500
2017-10-20,8.068000,8.112000,8.020000,8.064000,8.064000,5734500
2017-10-23,8.060000,8.096000,7.994000,8.034000,8.034000,4641000
2017-10-24,8.032000,8.078000,7.970000,8.000000,8.000000,5781500
2017-10-25,8.000000,8.054000,7.896000,7.940000,7.940000,4512500
2017-10-26,7.956000,8.054000,7.902000,8.020000,8.020000,7654500
2017-10-27,7.454000,8.070000,7.430000,7.748000,7.748000,25671000
2017-10-30,7.744000,7.940000,7.726000,7.900000,7.900000,10529500
2017-10-31,7.928000,7.978000,7.860000,7.882000,7.882000,7215000
2017-11-01,7.884000,7.892000,7.664000,7.754000,7.754000,11772500
2017-11-02,7.692000,7.806000,7.624000,7.722000,7.722000,8098000
2017-11-03,7.702000,7.816000,7.700000,7.802000,7.802000,6008000
2017-11-06,7.778000,7.858000,7.724000,7.850000,7.850000,7716500
2017-11-07,7.890000,7.906000,7.768000,7.818000,7.818000,7150000
2017-11-08,7.828000,8.020000,7.800000,7.982000,7.982000,9923500
2017-11-09,7.934000,8.008000,7.826000,7.898000,7.898000,7914000
2017-11-10,7.898000,8.018000,7.844000,7.988000,7.988000,8012000
2017-11-13,7.968000,8.076000,7.936000,8.070000,8.070000,8878000
2017-11-14,7.990000,8.082000,7.886000,8.004000,8.004000,7195500
2017-11-15,7.926000,8.048000,7.880000,7.980000,7.980000,7151500
2017-11-16,8.020000,8.146000,7.984000,8.052000,8.052000,10672000
2017-11-17,8.052000,8.102000,7.996000,8.062000,8.062000,6519000
2017-11-20,8.082000,8.198000,8.042000,8.154000,8.154000,6824500
2017-11-21,8.200000,8.304000,8.168000,8.264000,8.264000,9493000
2017-11-22,8.300000,8.400000,8.266000,8.354000,8.354000,8206000
2017-11-24,8.368000,8.416000,8.330000,8.382000,8.382000,2824000
2017-11-27,8.382000,8.448000,8.356000,8.366000,8.366000,14213000
2017-11-28,8.416000,8.462000,8.326000,8.432000,8.432000,5519500
2017-11-29,8.422000,8.434000,8.204000,8.288000,8.288000,5679500
2017-11-30,8.354000,8.436000,8.266000,8.412000,8.412000,6821500
2017-12-01,8.396000,8.456000,8.240000,8.438000,8.438000,5935500
2017-12-04,8.484000,8.498000,8.302000,8.308000,8.308000,6715500
2017-12-05,8.252000,8.394000,8.214000,8.220000,8.220000,7798500
2017-12-06,8.190000,8.284000,8.100000,8.258000,8.258000,6296500
2017-12-07,8.276000,8.328000,8.208000,8.284000,8.284000,7613500
2017-12-08,8.324000,8.406000,8.314000,8.390000,8.390000,4829500
2017-12-11,8.388000,8.476000,8.360000,8.444000,8.444000,6013000
2017-12-12,8.306000,8.518000,8.292000,8.436000,8.436000,6664500
2017-12-13,8.468000,8.616000,8.442000,8.530000,8.530000,6183000
2017-12-14,8.560000,8.610000,8.512000,8.542000,8.542000,7475000
2017-12-15,8.568000,8.760000,8.568000,8.728000,8.728000,14326500
2017-12-18,8.778000,8.940000,8.738000,8.854000,8.854000,9268500
2017-12-19,8.850000,9.128000,8.818000,9.018000,9.018000,11030000
2017-12-20,9.100000,9.100000,8.740000,8.974000,8.974000,8702500
2017-12-21,9.000000,9.000000,8.782000,8.798000,8.798000,7797500
2017-12-22,8.810000,8.848000,8.722000,8.784000,8.784000,7190000
2017-12-26,8.722000,8.862000,8.722000,8.832000,8.832000,6491000
2017-12-27,8.840000,8.858000,8.784000,8.812000,8.812000,2848500
2017-12-28,8.818000,8.824000,8.766000,8.802000,8.802000,6961500
2017-12-29,8.822000,8.838000,8.738000,8.738000,8.738000,4473000
2018-01-02,8.752000,8.892000,8.712000,8.870000,8.870000,6443500
2018-01-03,8.860000,9.028000,8.834000,9.006000,9.006000,7572500
2018-01-04,9.022000,9.046000,8.792000,8.800000,8.800000,12654500
2018-01-05,8.864000,8.908000,8.784000,8.820000,8.820000,7152000
2018-01-08,8.858000,9.008000,8.802000,9.000000,9.000000,5955000
2018-01-09,8.938000,8.968000,8.794000,8.864000,8.864000,6906500
2018-01-10,8.812000,8.844000,8.696000,8.820000,8.820000,5894500
2018-01-11,8.818000,8.922000,8.780000,8.852000,8.852000,6355000
2018-01-12,8.888000,9.026000,8.860000,8.988000,8.988000,7310000
2018-01-16,9.006000,9.158000,8.830000,8.868000,8.868000,7371000
2018-01-17,8.954000,9.054000,8.928000,9.018000,9.018000,5543000
2018-01-18,8.976000,9.180000,8.970000,9.142000,9.142000,9710000
2018-01-19,9.180000,9.286000,9.130000,9.202000,9.202000,11593500
2018-01-22,9.160000,9.182000,9.042000,9.170000,9.170000,6751500
2018-01-23,8.858000,9.182000,8.710000,9.150000,9.150000,13508000
2018-01-24,9.190000,9.246000,9.010000,9.050000,9.050000,6414000
2018-01-25,9.110000,9.162000,9.024000,9.082000,9.082000,3783000
2018-01-26,9.022000,9.208000,9.018000,9.172000,9.172000,6188500
2018-01-29,9.152000,9.248000,9.138000,9.192000,9.192000,8337000
2018-01-30,9.130000,9.200000,9.126000,9.148000,9.148000,6633500
2018-01-31,9.078000,9.280000,9.072000,9.208000,9.208000,7181000
2018-02-01,9.150000,9.254000,9.094000,9.174000,9.174000,7192500
2018-02-02,9.142000,9.146000,8.968000,8.988000,8.988000,7533000
2018-02-05,8.854000,9.140000,8.734000,8.766000,8.766000,14270000
2018-02-06,9.054000,9.400000,8.920000,9.308000,9.308000,33522000
2018-02-07,9.336000,9.360000,9.100000,9.102000,9.102000,12831000
2018-02-08,9.100000,9.170000,8.894000,8.900000,8.900000,18568500
2018-02-09,9.046000,9.374000,8.908000,9.308000,9.308000,21310500
2018-02-12,9.374000,9.440000,9.278000,9.296000,9.296000,13406000
2018-02-13,9.286000,9.632000,9.260000,9.624000,9.624000,12592000
2018-02-14,9.586000,9.702000,9.536000,9.676000,9.676000,7830000
2018-02-15,9.700000,9.912000,9.640000,9.856000,9.856000,8677500
2018-02-16,9.806000,9.916000,9.788000,9.790000,9.790000,6526000
2018-02-20,9.686000,9.924000,9.684000,9.812000,9.812000,5691000
2018-02-21,9.880000,9.994000,9.822000,9.822000,9.822000,7984000
2018-02-22,9.850000,9.966000,9.804000,9.840000,9.840000,8475500
2018-02-23,9.930000,9.988000,9.816000,9.974000,9.974000,6277500
2018-02-26,9.998000,10.078000,9.958000,10.064000,10.064000,5533000
2018-02-27,10.084000,10.174000,9.990000,9.990000,9.990000,4289500
2018-02-28,9.964000,10.200000,9.916000,10.094000,10.094000,8517000
2018-03-01,10.144000,10.184000,9.854000,9.902000,9.902000,9498500
2018-03-02,9.878000,10.112000,9.850000,10.092000,10.092000,9912500
2018-03-05,10.046000,10.246000,9.976000,10.130000,10.130000,7842000
2018-03-06,10.178000,10.386000,10.094000,10.370000,10.370000,9749000
2018-03-07,10.266000,10.510000,10.242000,10.494000,10.494000,8776500
2018-03-08,10.570000,10.826000,10.526000,10.818000,10.818000,12733000
2018-03-09,10.894000,10.936000,10.792000,10.888000,10.888000,8948500
2018-03-12,10.888000,10.964000,10.828000,10.936000,10.936000,6276500
2018-03-13,10.938000,10.990000,10.800000,10.850000,10.850000,6265000
2018-03-14,10.846000,10.926000,10.780000,10.908000,10.908000,3752000
2018-03-15,10.924000,10.994000,10.808000,10.836000,10.836000,4811000
2018-03-16,10.818000,10.946000,10.800000,10.800000,10.800000,11374500
2018-03-19,10.536000,10.694000,10.444000,10.670000,10.670000,6928500
2018-03-20,10.644000,10.828000,10.564000,10.756000,10.756000,3586000
2018-03-21,10.826000,11.036000,10.762000,10.914000,10.914000,7636500
2018-03-22,10.792000,10.928000,10.700000,10.722000,10.722000,4548000
2018-03-23,10.716000,10.772000,10.584000,10.590000,10.590000,6039000
2018-03-26,10.772000,10.920000,10.690000,10.916000,10.916000,4890500
2018-03-27,11.024000,11.068000,10.594000,10.666000,10.666000,6692000
2018-03-28,10.666000,10.720000,10.394000,10.456000,10.456000,10064000
2018-03-29,10.550000,10.754000,10.490000,10.716000,10.716000,6760500
2018-04-02,10.622000,10.706000,10.406000,10.486000,10.486000,4772000
2018-04-03,10.546000,10.738000,10.546000,10.686000,10.686000,7500000
2018-04-04,10.484000,10.896000,10.448000,10.862000,10.862000,6200500
2018-04-05,10.870000,11.048000,10.838000,10.918000,10.918000,5035500
2018-04-06,10.846000,10.994000,10.802000,10.866000,10.866000,6209000
2018-04-09,10.858000,11.092000,10.850000,10.894000,10.894000,6168000
2018-04-10,11.034000,11.306000,10.940000,11.246000,11.246000,7281500
2018-04-11,10.936000,11.270000,10.852000,10.966000,10.966000,11506000
2018-04-12,11.082000,11.292000,11.082000,11.218000,11.218000,6920500
2018-04-13,11.294000,11.294000,11.106000,11.168000,11.168000,4083500
2018-04-16,11.290000,11.466000,11.220000,11.352000,11.352000,5807000
2018-04-17,11.440000,11.558000,11.400000,11.534000,11.534000,7274000
2018-04-18,11.596000,11.596000,11.476000,11.498000,11.498000,4222000
2018-04-19,11.450000,11.510000,11.378000,11.482000,11.482000,3822500
2018-04-20,11.456000,11.532000,11.374000,11.430000,11.430000,3431000
2018-04-23,11.514000,11.564000,11.336000,11.348000,11.348000,7771500
2018-04-24,11.500000,11.542000,11.104000,11.214000,11.214000,6745000
2018-04-25,11.158000,11.196000,10.852000,10.960000,10.960000,12190000
2018-04-26,11.034000,11.194000,10.996000,11.084000,11.084000,8234500
2018-04-27,11.134000,11.228000,10.978000,10.986000,10.986000,7503500
2018-04-30,11.036000,11.256000,10.994000,11.072000,11.072000,7636500
2018-05-01,11.002000,11.168000,10.988000,11.148000,11.148000,6190500
2018-05-02,11.184000,11.288000,11.128000,11.188000,11.188000,6737000
2018-05-03,11.112000,11.298000,10.982000,11.222000,11.222000,13995500
2018-05-04,11.154000,11.220000,10.680000,10.948000,10.948000,17450000
2018-05-07,11.040000,11.164000,10.952000,11.138000,11.138000,8016500
2018-05-08,11.076000,11.394000,11.058000,11.388000,11.388000,10670000
2018-05-09,11.410000,11.814000,11.410000,11.804000,11.804000,12710000
2018-05-10,11.782000,12.056000,11.768000,12.032000,12.032000,7323500
2018-05-11,12.036000,12.114000,11.868000,12.076000,12.076000,8567500
2018-05-14,12.076000,12.162000,11.832000,11.910000,11.910000,6479000
2018-05-15,11.846000,11.924000,11.656000,11.858000,11.858000,6401000
2018-05-16,11.888000,11.898000,11.694000,11.722000,11.722000,6825000
2018-05-17,11.698000,11.756000,11.552000,11.658000,11.658000,7761000
2018-05-18,11.664000,11.804000,11.642000,11.704000,11.704000,7560000
2018-05-21,11.850000,11.938000,11.768000,11.864000,11.864000,10821500
2018-05-22,11.882000,11.942000,11.746000,11.754000,11.754000,6762500
2018-05-23,11.646000,11.840000,11.620000,11.834000,11.834000,4842000
2018-05-24,11.864000,12.164000,11.856000,12.128000,12.128000,12921000
2018-05-25,12.094000,12.128000,11.986000,12.074000,12.074000,4194500
2018-05-29,12.040000,12.190000,11.962000,11.986000,11.986000,7375500
2018-05-30,12.070000,12.282000,12.068000,12.236000,12.236000,6564000
2018-05-31,12.232000,12.426000,12.200000,12.236000,12.236000,10104500
2018-06-01,12.312000,12.418000,12.304000,12.400000,12.400000,6277000
2018-06-04,12.496000,12.530000,12.312000,12.494000,12.494000,5679000
2018-06-05,12.538000,12.654000,12.406000,12.640000,12.640000,7323500
2018-06-06,12.660000,12.714000,12.550000,12.658000,12.658000,6903500
2018-06-07,12.678000,12.744000,12.166000,12.300000,12.300000,8728000
2018-06-08,12.300000,12.534000,12.172000,12.506000,12.506000,6575500
2018-06-11,12.558000,12.670000,12.508000,12.650000,12.650000,4543000
