Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,52.080002,52.490002,52.049999,52.410000,45.872375,461800
2017-09-25,52.500000,53.750000,52.430000,53.200001,46.563831,1045700
2017-09-26,53.450001,53.849998,53.340000,53.680000,46.983959,1058700
2017-09-27,53.799999,54.150002,53.500000,54.029999,47.290302,735800
2017-09-28,53.950001,54.110001,53.669998,54.040001,47.299053,476900
2017-09-29,53.950001,54.150002,53.450001,53.970001,47.237778,780400
2017-10-02,54.060001,54.200001,53.590000,54.160000,47.404091,717900
2017-10-03,54.330002,54.490002,54.029999,54.419998,47.631641,722600
2017-10-04,54.430000,54.869999,54.259998,54.770000,47.937988,782700
2017-10-05,54.860001,54.900002,54.410000,54.790001,47.955505,874700
2017-10-06,54.770000,54.790001,53.650002,53.830002,47.115250,1213400
2017-10-09,53.860001,54.209999,53.660000,53.919998,47.194016,843200
2017-10-10,53.869999,54.349998,53.869999,54.259998,47.491608,659200
2017-10-11,54.270000,54.570000,54.090000,54.380001,47.596634,619700
2017-10-12,54.389999,54.750000,54.259998,54.700001,47.876724,865200
2017-10-13,54.720001,55.500000,54.650002,55.169998,48.288097,1343000
2017-10-16,55.150002,55.419998,54.910000,55.150002,48.270592,839500
2017-10-17,55.349998,55.630001,55.150002,55.200001,48.314358,592500
2017-10-18,55.139999,55.330002,54.869999,55.080002,48.209324,759000
2017-10-19,54.919998,55.590000,54.570000,55.450001,48.533161,801900
2017-10-20,55.570000,55.869999,55.520000,55.799999,48.839508,742900
2017-10-23,55.919998,55.980000,55.660000,55.799999,48.839508,785400
2017-10-24,55.990002,56.430000,55.709999,56.410000,49.373417,1007100
2017-10-25,56.340000,56.689999,56.070000,56.549999,49.495949,1229500
2017-10-26,56.709999,56.750000,56.139999,56.470001,49.425934,653400
2017-10-27,56.480000,56.740002,55.220001,56.290001,49.268383,821600
2017-10-30,56.209999,56.599998,55.910000,56.490002,49.443443,773600
2017-10-31,56.730000,57.090000,56.209999,56.610001,49.548473,1574000
2017-11-01,57.619999,60.439999,57.610001,59.799999,52.340549,3488700
2017-11-02,59.700001,59.709999,58.279999,58.860001,51.517811,2387500
2017-11-03,58.959999,59.580002,58.619999,59.549999,52.121738,1112200
2017-11-06,59.650002,60.049999,59.040001,59.299999,51.902924,1071100
2017-11-07,59.080002,59.430000,58.810001,59.209999,51.824150,832200
2017-11-08,59.290001,59.799999,58.910000,59.650002,52.209263,828100
2017-11-09,59.200001,59.779999,59.000000,59.720001,52.270527,1233900
2017-11-10,59.540001,61.040001,59.470001,60.830002,53.242065,1644900
2017-11-13,60.810001,60.810001,60.049999,60.580002,53.023262,1404400
2017-11-14,60.520000,61.279999,60.230000,60.750000,53.172047,1099300
2017-11-15,60.509998,60.790001,60.110001,60.290001,52.769432,937500
2017-11-16,60.500000,60.919998,60.220001,60.750000,53.172047,859100
2017-11-17,60.680000,61.750000,60.610001,61.450001,53.784733,1060000
2017-11-20,61.430000,61.799999,61.139999,61.520000,53.846001,957400
2017-11-21,61.889999,62.610001,61.750000,62.490002,54.695004,1125000
2017-11-22,62.369999,62.369999,61.240002,61.529999,53.854752,1030700
2017-11-24,61.689999,62.279999,61.209999,61.790001,54.082314,317200
2017-11-27,61.840000,62.080002,61.669998,61.700001,54.003536,562600
2017-11-28,61.910000,62.990002,61.910000,62.919998,55.071362,807500
2017-11-29,62.849998,63.150002,62.299999,62.400002,54.616222,959600
2017-11-30,62.509998,62.680000,62.020000,62.080002,54.336136,1354100
2017-12-01,62.189999,62.330002,60.360001,61.230000,53.592159,1120300
2017-12-04,61.540001,61.849998,60.830002,60.849998,53.259563,1090700
2017-12-05,61.110001,62.090000,60.779999,61.520000,53.846001,1348600
2017-12-06,61.619999,61.880001,61.209999,61.459999,53.793472,1011200
2017-12-07,61.360001,61.580002,61.070000,61.270000,53.627190,902300
2017-12-08,61.320000,62.310001,61.320000,62.270000,54.502434,968100
2017-12-11,62.060001,62.330002,61.619999,61.959999,54.231106,1081000
2017-12-12,62.000000,62.080002,60.930000,61.130001,53.504654,892300
2017-12-13,61.090000,61.189999,60.759998,60.830002,53.242065,1188800
2017-12-14,60.529999,60.709999,59.450001,59.459999,52.482979,1261400
2017-12-15,58.639999,58.970001,57.389999,58.360001,51.512054,5300600
2017-12-18,58.500000,59.139999,58.279999,58.630001,51.750374,1650500
2017-12-19,58.880001,59.209999,58.520000,58.580002,51.706234,1190000
2017-12-20,58.959999,58.970001,58.610001,58.799999,51.900417,988200
2017-12-21,59.150002,59.540001,58.750000,59.169998,52.227009,1240600
2017-12-22,59.220001,59.459999,59.080002,59.180000,52.235832,493700
2017-12-26,59.119999,59.750000,59.020000,59.270000,52.315269,355800
2017-12-27,59.340000,59.740002,59.279999,59.459999,52.482979,403800
2017-12-28,59.470001,59.849998,59.470001,59.770000,52.756603,415300
2017-12-29,59.770000,59.980000,59.389999,59.570000,52.580067,497100
2018-01-02,59.639999,59.860001,59.189999,59.540001,52.553604,885400
2018-01-03,59.660000,60.299999,59.560001,60.270000,53.197929,655100
2018-01-04,60.240002,60.360001,59.790001,60.270000,53.197929,1096000
2018-01-05,60.389999,60.500000,59.619999,59.740002,52.730129,843000
2018-01-08,59.599998,60.380001,59.169998,60.340000,53.259727,1263400
2018-01-09,60.529999,60.590000,59.740002,59.849998,52.827217,975000
2018-01-10,59.840000,60.709999,59.669998,60.470001,53.374462,759000
2018-01-11,60.459999,61.590000,60.419998,61.419998,54.212990,915800
2018-01-12,61.470001,61.980000,61.369999,61.959999,54.689621,1483300
2018-01-16,62.150002,62.639999,61.360001,61.450001,54.239475,1612800
2018-01-17,61.830002,63.099998,61.799999,63.040001,55.642902,1099900
2018-01-18,62.939999,63.340000,62.869999,63.240002,55.819439,820000
2018-01-19,63.500000,63.910000,63.049999,63.869999,56.375515,1216000
2018-01-22,63.419998,64.050003,63.139999,64.040001,56.525570,1038200
2018-01-23,64.089996,64.629997,63.849998,64.519997,56.949238,861300
2018-01-24,64.839996,64.959999,63.770000,64.209999,56.675617,1385400
2018-01-25,64.440002,64.529999,63.529999,63.750000,56.269592,1248000
2018-01-26,64.129997,64.599998,63.980000,64.580002,57.002201,912300
2018-01-29,63.939999,64.519997,63.509998,63.709999,56.234291,1092900
2018-01-30,63.439999,63.549999,62.820000,63.070000,55.669380,1185900
2018-01-31,63.160000,63.540001,62.500000,62.939999,55.554646,3278100
