Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,99.370003,101.019997,99.370003,100.589996,91.371559,1208400
2017-09-25,100.089996,100.510002,98.389999,99.010002,89.936363,1444200
2017-09-26,99.779999,100.050003,98.269997,99.169998,90.081703,846400
2017-09-27,100.279999,105.050003,99.660004,104.169998,94.623482,2231700
2017-09-28,103.230003,105.190002,103.230003,104.919998,95.304764,1856100
2017-09-29,105.129997,106.089996,104.150002,106.000000,96.285774,1078800
2017-10-02,105.540001,105.989998,103.870003,104.949997,95.332016,1163900
2017-10-03,105.029999,105.169998,102.349998,102.839996,93.415367,1727900
2017-10-04,102.629997,103.080002,101.040001,103.000000,93.560715,1439400
2017-10-05,103.540001,103.589996,101.349998,101.669998,92.352585,1155000
2017-10-06,101.739998,102.660004,101.269997,102.470001,93.079292,965200
2017-10-09,102.730003,104.459999,102.629997,103.949997,94.423645,884000
2017-10-10,104.940002,104.940002,103.370003,104.449997,94.877838,859800
2017-10-11,104.070000,105.139999,103.790001,104.589996,95.004982,664800
2017-10-12,104.889999,105.760002,104.500000,104.820000,95.213913,937100
2017-10-13,105.230003,106.099998,104.820000,105.300003,95.649933,1005000
2017-10-16,106.010002,107.389999,105.110001,107.330002,97.493896,2079900
2017-10-17,107.839996,108.290001,106.739998,108.010002,98.111580,1099600
2017-10-18,108.190002,108.230003,106.120003,108.089996,98.184235,863000
2017-10-19,106.720001,108.070000,105.769997,108.050003,98.147919,708200
2017-10-20,109.059998,109.150002,107.889999,108.339996,98.411346,836100
2017-10-23,108.989998,108.989998,107.449997,107.800003,97.920822,1162800
2017-10-24,107.760002,108.169998,107.059998,107.690002,97.820900,1028500
2017-10-25,107.360001,107.610001,105.209999,106.709999,96.930717,1597500
2017-10-26,107.040001,109.779999,107.000000,108.849998,98.874603,2349200
2017-10-27,108.190002,109.500000,103.599998,108.070000,98.166061,2477300
2017-10-30,108.169998,108.629997,106.449997,107.349998,97.512070,1901000
2017-10-31,107.779999,109.629997,106.849998,108.889999,98.910942,2734000
2017-11-01,110.000000,110.010002,103.089996,105.150002,95.513672,2316100
2017-11-02,105.220001,106.440002,104.500000,106.379997,96.630951,1739900
2017-11-03,106.080002,106.650002,105.570000,106.300003,96.558296,1156000
2017-11-06,106.330002,106.989998,105.059998,105.510002,95.840706,1125100
2017-11-07,105.430000,107.559998,105.160004,107.500000,97.648308,1254100
2017-11-08,107.589996,107.849998,106.300003,107.080002,97.266815,1111100
2017-11-09,106.529999,106.540001,101.779999,102.400002,93.015701,2104600
2017-11-10,102.199997,103.099998,101.610001,102.440002,93.052048,2176300
2017-11-13,101.519997,103.029999,101.230003,101.930000,92.588776,2259100
2017-11-14,101.339996,102.209999,100.699997,102.150002,93.328835,1844400
2017-11-15,102.040001,103.309998,100.510002,102.949997,94.059738,2109400
2017-11-16,103.489998,106.959999,102.790001,104.769997,95.722557,2262300
2017-11-17,105.760002,106.519997,101.529999,101.650002,92.871994,1693600
2017-11-20,101.989998,103.250000,101.720001,102.510002,93.657730,1615500
2017-11-21,103.260002,104.879997,103.250000,104.730003,95.686035,1508600
2017-11-22,105.680000,105.680000,103.870003,104.470001,95.448486,1206400
2017-11-24,104.730003,105.419998,104.080002,105.040001,95.969246,891400
2017-11-27,103.639999,105.099998,102.300003,104.389999,95.375374,1324000
2017-11-28,104.269997,107.220001,104.269997,107.160004,97.906181,1670500
2017-11-29,107.160004,107.379997,98.910004,100.349998,91.684265,3461400
2017-11-30,101.500000,104.330002,100.970001,102.239998,93.411041,3569500
