Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,107.400002,107.730003,106.830002,107.160004,91.504951,760100
2017-09-25,107.260002,107.580002,106.839996,106.910004,91.291473,446400
2017-09-26,106.849998,107.500000,106.769997,107.110001,91.462234,513700
2017-09-27,106.699997,107.059998,105.919998,106.050003,90.557106,455100
2017-09-28,105.949997,106.330002,105.489998,105.989998,90.505867,419500
2017-09-29,105.750000,106.879997,105.629997,106.879997,91.265846,537800
2017-10-02,107.089996,107.400002,106.620003,107.199997,91.539108,647200
2017-10-03,107.269997,107.480003,106.430000,107.180000,91.522011,541500
2017-10-04,107.160004,107.989998,106.839996,107.879997,92.119743,422500
2017-10-05,108.180000,109.059998,107.889999,108.260002,92.444237,516900
2017-10-06,107.849998,108.169998,106.809998,107.930000,92.162445,356800
2017-10-09,107.820000,108.660004,107.820000,108.339996,92.512550,525600
2017-10-10,108.660004,109.300003,107.769997,108.519997,92.666252,899400
2017-10-11,108.500000,109.190002,108.400002,108.800003,92.905342,505600
2017-10-12,108.000000,108.669998,107.510002,108.660004,93.533722,566300
2017-10-13,109.699997,110.239998,108.610001,108.779999,93.637032,513900
2017-10-16,108.839996,109.050003,107.300003,107.550003,92.578278,669600
2017-10-17,107.349998,107.739998,106.900002,107.160004,92.242554,703200
2017-10-18,107.050003,107.230003,105.709999,105.820000,91.089088,818400
2017-10-19,105.480003,106.150002,105.029999,105.089996,90.460701,738100
2017-10-20,105.120003,105.360001,104.449997,104.809998,90.219673,749900
2017-10-23,105.220001,105.220001,103.940002,104.410004,89.875366,759200
2017-10-24,104.300003,104.519997,103.099998,104.160004,89.660164,684800
2017-10-25,104.010002,104.839996,103.690002,104.220001,89.711807,596300
2017-10-26,102.750000,102.750000,99.610001,99.720001,85.838249,1698300
2017-10-27,99.500000,100.580002,98.730003,100.550003,86.552704,947500
2017-10-30,100.809998,102.260002,100.660004,101.989998,87.792229,950700
2017-10-31,101.930000,102.440002,101.540001,102.349998,88.102119,709900
2017-11-01,102.730003,103.389999,102.050003,103.110001,88.756332,563800
2017-11-02,103.089996,103.879997,101.980003,102.169998,87.947212,587900
2017-11-03,101.769997,103.970001,101.529999,103.389999,88.997345,461700
2017-11-06,103.580002,105.290001,103.529999,104.279999,89.763458,452300
2017-11-07,104.250000,105.750000,104.010002,105.029999,90.409050,482200
2017-11-08,105.199997,105.910004,105.199997,105.610001,90.908310,389400
2017-11-09,105.510002,106.209999,104.930000,105.610001,90.908310,341400
2017-11-10,105.099998,106.059998,105.099998,105.470001,90.787804,377500
2017-11-13,105.739998,106.769997,105.139999,106.029999,91.269844,583000
2017-11-14,105.989998,105.989998,103.910004,103.940002,89.470795,1180000
2017-11-15,104.019997,104.220001,102.180000,102.199997,87.973007,973500
2017-11-16,102.389999,103.570000,101.879997,103.139999,88.782166,635200
2017-11-17,102.800003,103.230003,101.650002,102.360001,88.110725,948700
2017-11-20,102.669998,103.169998,102.050003,102.779999,88.472282,709900
2017-11-21,102.760002,104.660004,102.760002,104.589996,90.030304,736700
2017-11-22,104.290001,104.800003,103.629997,104.120003,89.625732,430900
2017-11-24,104.510002,104.750000,104.099998,104.160004,89.660164,207800
2017-11-27,103.599998,104.089996,103.269997,103.290001,88.911278,534000
2017-11-28,103.239998,103.580002,102.489998,102.870003,88.549751,524000
2017-11-29,101.500000,102.550003,100.699997,102.250000,88.016060,754200
2017-11-30,102.309998,103.000000,102.029999,102.440002,88.179596,1160500
2017-12-01,102.800003,103.400002,101.900002,102.839996,88.523926,722300
2017-12-04,102.800003,103.459999,101.849998,102.519997,88.248451,624300
2017-12-05,102.320000,102.750000,101.330002,101.410004,87.292984,627900
2017-12-06,101.730003,102.680000,101.349998,102.330002,88.084908,472500
2017-12-07,102.089996,102.750000,101.839996,102.269997,88.033257,527600
2017-12-08,102.190002,103.139999,101.879997,103.129997,88.773537,493900
2017-12-11,102.940002,103.279999,102.099998,102.879997,88.558350,442300
2017-12-12,103.150002,104.070000,101.830002,103.879997,89.419151,967400
2017-12-13,103.900002,104.220001,102.349998,102.570000,88.291496,833100
2017-12-14,102.080002,102.519997,101.430000,102.449997,88.188210,663000
2017-12-15,103.040001,103.739998,102.809998,103.099998,88.747726,1155700
2017-12-18,103.169998,103.769997,102.820000,102.949997,88.618607,520200
2017-12-19,102.769997,103.010002,99.010002,99.500000,85.648857,573500
2017-12-20,99.430000,100.760002,98.870003,99.480003,85.631645,1056700
2017-12-21,99.690002,100.180000,98.540001,98.769997,85.020493,438900
2017-12-22,98.800003,100.040001,98.750000,99.750000,85.864075,636800
2017-12-26,100.010002,100.370003,99.610001,100.150002,86.208374,296200
2017-12-27,100.300003,100.559998,99.650002,100.070000,86.139519,287400
2017-12-28,100.099998,100.699997,99.800003,100.559998,86.561317,382200
2017-12-29,100.860001,101.070000,100.089996,100.559998,86.561317,462300
2018-01-02,100.599998,100.599998,99.480003,99.599998,85.734947,901600
2018-01-03,99.370003,100.169998,98.309998,99.489998,85.640266,939900
2018-01-04,99.110001,99.449997,96.510002,96.580002,83.135345,735500
2018-01-05,96.580002,96.989998,95.639999,96.150002,82.765228,960100
2018-01-08,96.160004,96.970001,96.070000,96.480003,83.049278,556600
2018-01-09,96.389999,96.870003,94.839996,95.010002,81.783905,643500
2018-01-10,94.500000,94.690002,93.389999,93.910004,80.837051,700000
