Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,50.119999,50.950001,50.080002,50.540001,42.101440,5754300
2017-09-25,50.380001,51.009998,50.250000,50.849998,42.359680,5778900
2017-09-26,50.759998,51.540001,50.570000,51.470001,42.876160,5872500
2017-09-27,52.110001,52.240002,51.799999,51.860001,43.201038,7506900
2017-09-28,51.959999,52.029999,51.040001,51.320000,42.751202,4526200
2017-09-29,51.250000,51.970001,51.160000,51.950001,43.276016,4403200
2017-10-02,51.939999,52.299999,51.500000,52.139999,43.434284,4593900
2017-10-03,52.119999,52.419998,51.900002,52.400002,43.650887,3337000
2017-10-04,52.419998,52.730000,52.389999,52.520000,43.750839,2972000
2017-10-05,52.500000,53.009998,52.320000,52.580002,43.800838,3601100
2017-10-06,52.830002,53.270000,52.610001,53.020000,44.167355,5112100
2017-10-09,53.000000,53.130001,52.799999,52.990002,44.142372,2812400
2017-10-10,52.990002,53.299999,52.750000,53.139999,44.267319,4003600
2017-10-11,53.020000,53.080002,52.560001,52.849998,44.025738,3214000
2017-10-12,52.970001,52.970001,52.639999,52.730000,43.925781,3533300
2017-10-13,52.630001,53.000000,52.549999,52.720001,43.917442,3837300
2017-10-16,52.840000,53.380001,52.750000,52.869999,44.042404,3240200
2017-10-17,53.230000,53.230000,52.200001,52.380001,43.634212,4853700
2017-10-18,52.730000,52.919998,52.430000,52.799999,43.984089,3368400
2017-10-19,52.389999,53.070000,52.389999,52.990002,44.142372,2504000
2017-10-20,53.560001,53.580002,53.080002,53.290001,44.392277,4300300
2017-10-23,53.200001,53.650002,53.200001,53.439999,44.517231,4035100
2017-10-24,53.849998,54.330002,53.840000,54.139999,45.100353,4186200
2017-10-25,54.200001,54.220001,53.720001,53.939999,44.933746,3921300
2017-10-26,54.110001,54.389999,54.040001,54.209999,45.158665,3374400
2017-10-27,54.049999,54.310001,53.759998,54.290001,45.225311,2464200
2017-10-30,53.849998,54.080002,53.650002,53.970001,44.958740,4043900
2017-10-31,53.970001,54.259998,53.560001,53.580002,44.633858,3779600
2017-11-01,53.990002,54.150002,53.520000,53.869999,44.875435,4361100
2017-11-02,54.810001,55.910000,54.189999,55.730000,46.424877,6915900
2017-11-03,55.180000,55.380001,54.470001,54.630001,45.837543,3555100
2017-11-06,54.380001,54.500000,54.060001,54.330002,45.585827,2790000
2017-11-07,54.430000,54.619999,53.090000,53.400002,44.805508,5984800
2017-11-08,53.400002,53.400002,52.779999,53.020000,44.486656,4706500
2017-11-09,52.740002,53.090000,52.360001,52.810001,44.310459,4589100
2017-11-10,52.549999,52.709999,51.830002,52.200001,43.798630,4853100
2017-11-13,51.750000,52.490002,51.660000,52.160000,43.765072,3263400
2017-11-14,52.000000,52.189999,51.720001,52.000000,43.630833,2874300
2017-11-15,51.500000,52.189999,51.000000,51.840000,43.496574,3486200
2017-11-16,52.099998,52.200001,51.450001,51.540001,43.244850,3524100
2017-11-17,51.299999,51.910000,51.160000,51.650002,43.337162,2659700
2017-11-20,51.740002,51.990002,51.500000,51.970001,43.605663,3538700
2017-11-21,52.040001,52.040001,51.639999,51.709999,43.387493,2696800
2017-11-22,51.709999,51.980000,51.650002,51.709999,43.387493,2550100
2017-11-24,51.930000,51.990002,51.720001,51.830002,43.488186,1303100
2017-11-27,51.830002,51.970001,51.130001,51.369999,43.102219,3746200
2017-11-28,51.549999,52.820000,51.500000,52.650002,44.176216,4918700
2017-11-29,53.000000,54.200001,52.950001,53.549999,44.931362,6341700
2017-11-30,54.000000,54.299999,53.389999,53.680000,45.040440,5533100
2017-12-01,53.970001,53.980000,51.959999,53.610001,44.981701,4819000
2017-12-04,54.290001,54.450001,53.599998,53.619999,44.990105,4118600
2017-12-05,53.790001,53.869999,52.880001,53.040001,44.503452,4131300
2017-12-06,53.049999,53.299999,52.689999,53.000000,44.469883,3500400
2017-12-07,52.889999,53.880001,52.880001,53.619999,44.990105,3808900
2017-12-08,53.939999,53.939999,53.419998,53.759998,45.107563,3690500
2017-12-11,53.889999,54.189999,53.480000,53.639999,45.006866,3558100
2017-12-12,53.700001,54.060001,53.360001,53.669998,45.032051,4704500
2017-12-13,53.500000,53.610001,52.759998,52.840000,44.335625,4944400
2017-12-14,53.000000,53.270000,52.360001,52.490002,44.041965,4281800
2017-12-15,51.509998,51.939999,50.889999,51.410000,43.135788,15455500
2017-12-18,51.730000,51.810001,50.660000,50.930000,42.733040,7867500
2017-12-19,51.259998,51.560001,50.770000,50.790001,42.615566,5710400
2017-12-20,51.000000,51.270000,50.790001,51.009998,42.800167,4923200
2017-12-21,51.330002,51.580002,50.919998,51.029999,42.816936,5034200
2017-12-22,51.270000,51.270000,50.509998,50.759998,42.590397,4236800
2017-12-26,50.820000,51.119999,50.610001,50.669998,42.514881,3074900
2017-12-27,50.700001,50.900002,50.560001,50.750000,42.582012,2825400
2017-12-28,50.750000,51.009998,50.689999,50.869999,42.682697,2931400
2017-12-29,51.090000,51.139999,50.549999,50.560001,42.422588,3424400
2018-01-02,50.810001,50.860001,49.650002,50.180000,42.103745,5424500
2018-01-03,50.080002,50.849998,50.049999,50.500000,42.372242,4124300
2018-01-04,50.840000,51.630001,50.750000,51.360001,43.093826,4373900
2018-01-05,51.529999,51.880001,51.220001,51.840000,43.496574,3419000
2018-01-08,51.720001,52.200001,51.450001,51.980000,43.614044,4216000
2018-01-09,52.209999,52.939999,52.160000,52.360001,43.932892,4536300
2018-01-10,52.490002,53.680000,52.389999,53.029999,44.495052,5025800
2018-01-11,53.279999,53.790001,53.279999,53.490002,44.881012,3583100
2018-01-12,53.709999,53.889999,53.009998,53.330002,44.746773,5480400
2018-01-16,53.340000,53.549999,51.619999,51.849998,43.504967,9410800
2018-01-17,52.150002,52.709999,52.060001,52.549999,44.092308,5947000
2018-01-18,52.700001,53.580002,52.549999,52.950001,44.427929,5429000
2018-01-19,52.930000,53.540001,52.619999,53.400002,44.805508,6660000
2018-01-22,53.509998,53.910000,53.189999,53.849998,45.183071,4481700
2018-01-23,53.750000,53.900002,53.189999,53.610001,44.981701,4139400
2018-01-24,54.119999,54.240002,53.720001,54.099998,45.392841,3996700
2018-01-25,54.250000,54.250000,53.810001,54.000000,45.308937,4389800
2018-01-26,54.250000,54.770000,54.020000,54.770000,45.955006,3660700
2018-01-29,54.630001,55.209999,54.369999,54.400002,45.644558,5624100
2018-01-30,50.250000,50.820000,49.000000,49.730000,41.726170,29493000
2018-01-31,48.470001,49.500000,48.009998,48.070000,40.333340,28761700
2018-02-01,48.009998,48.669998,47.720001,48.389999,40.601833,15853300
2018-02-02,47.889999,48.230000,47.419998,47.560001,40.238033,9583800
