Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,88.400002,89.050003,88.000000,88.419998,80.273453,657300
2017-09-25,88.400002,90.050003,88.180000,88.500000,80.346100,1272800
2017-09-26,89.059998,89.500000,88.120003,88.730003,80.554924,1080600
2017-09-27,88.750000,89.320000,87.540001,89.199997,80.981590,1252900
2017-09-28,88.070000,89.529999,87.849998,88.860001,81.127693,1353100
2017-09-29,88.949997,89.599998,88.129997,88.290001,80.607285,985200
2017-10-02,88.379997,89.059998,87.830002,88.980003,81.237244,738900
2017-10-03,89.470001,89.660004,88.500000,88.540001,80.835533,662200
2017-10-04,89.139999,89.849998,88.830002,89.480003,81.693741,1368800
2017-10-05,89.580002,89.709999,88.989998,89.430000,81.648079,815000
2017-10-06,89.150002,89.349998,88.019997,88.250000,80.570747,1291800
2017-10-09,88.559998,88.589996,86.580002,86.949997,79.383881,741900
2017-10-10,85.779999,87.540001,85.779999,87.220001,79.630402,1261200
2017-10-11,86.669998,86.900002,84.510002,85.199997,77.786148,1605100
2017-10-12,85.059998,85.419998,83.260002,85.260002,77.840935,1239000
2017-10-13,85.129997,86.250000,84.809998,85.040001,77.640076,1258000
2017-10-16,84.910004,86.510002,84.690002,86.050003,78.562218,1326300
2017-10-17,85.879997,86.860001,85.809998,86.010002,78.525688,886500
2017-10-18,86.339996,87.040001,85.209999,85.330002,77.904854,959000
2017-10-19,85.139999,86.769997,85.120003,86.379997,78.863487,732900
2017-10-20,87.160004,90.580002,86.980003,90.370003,82.506287,1840700
2017-10-23,89.199997,92.160004,89.199997,89.559998,81.766769,2003000
2017-10-24,89.480003,90.930000,89.480003,90.669998,82.780190,1450200
2017-10-25,90.800003,92.400002,90.199997,91.849998,83.857498,1511300
2017-10-26,91.870003,92.839996,91.220001,91.260002,83.318855,1412000
2017-10-27,90.500000,91.709999,89.830002,91.089996,83.163620,1300600
2017-10-30,90.430000,92.169998,90.050003,91.809998,83.820984,1951100
2017-10-31,91.250000,91.900002,89.050003,89.430000,81.648079,2034400
2017-11-01,90.209999,90.309998,88.510002,89.449997,81.666336,2374600
2017-11-02,95.000000,97.199997,88.690002,91.730003,83.747948,5252700
2017-11-03,91.730003,92.410004,89.709999,90.669998,82.780190,1588000
2017-11-06,91.000000,91.089996,87.150002,88.029999,80.369919,2247800
