Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,77.169998,77.599998,77.120003,77.379997,73.417717,601700
2017-09-25,77.349998,77.599998,76.620003,77.199997,73.246941,504100
2017-09-26,76.760002,76.989998,76.279999,76.300003,72.393028,445900
2017-09-27,76.620003,76.800003,75.279999,76.160004,72.260178,669700
2017-09-28,76.529999,76.760002,75.830002,76.110001,72.212753,445600
2017-09-29,76.010002,77.000000,75.830002,76.959999,73.019234,423600
2017-10-02,76.940002,77.440002,76.559998,77.410004,73.446190,349800
2017-10-03,77.320000,77.800003,76.180000,76.529999,72.611244,528800
2017-10-04,76.449997,77.379997,76.320000,77.269997,73.313347,508000
2017-10-05,77.260002,77.650002,76.910004,77.300003,73.341820,439500
2017-10-06,76.930000,77.360001,76.760002,77.250000,73.294395,352500
2017-10-09,77.110001,77.230003,75.949997,76.139999,72.241234,388400
2017-10-10,76.110001,76.269997,75.620003,76.209999,72.307625,443300
2017-10-11,76.410004,76.820000,76.019997,76.550003,72.630219,419600
2017-10-12,76.900002,77.639999,76.800003,77.589996,73.616974,546600
2017-10-13,77.809998,78.059998,77.269997,77.629997,73.654922,465800
2017-10-16,77.620003,78.019997,77.330002,77.730003,73.749794,449600
2017-10-17,77.750000,78.510002,77.510002,78.419998,74.404472,280700
2017-10-18,78.879997,79.129997,78.459999,78.870003,74.831436,422700
2017-10-19,78.550003,78.870003,77.750000,78.790001,74.755531,337600
2017-10-20,79.180000,79.440002,78.610001,79.000000,74.954765,462600
2017-10-23,78.599998,80.599998,78.599998,79.820000,75.732773,652400
2017-10-24,78.989998,79.279999,78.500000,79.050003,75.002220,677300
2017-10-25,78.580002,79.910004,77.709999,78.400002,74.385475,724800
2017-10-26,78.529999,79.650002,77.870003,78.610001,74.584724,836700
2017-10-27,81.879997,87.809998,81.010002,84.419998,80.097237,1970500
2017-10-30,84.550003,84.550003,82.739998,82.989998,78.740448,1142900
2017-10-31,83.349998,84.320000,83.199997,84.180000,79.869522,717200
2017-11-01,84.680000,85.879997,84.500000,85.769997,81.378113,988900
2017-11-02,84.680000,84.889999,82.330002,82.860001,78.617104,1133400
2017-11-03,82.089996,83.730003,81.750000,83.120003,78.863800,1129000
2017-11-06,83.199997,83.930000,82.650002,83.239998,78.977646,450200
2017-11-07,83.239998,83.379997,82.360001,82.489998,78.266060,824800
2017-11-08,82.160004,82.750000,81.779999,82.190002,78.313698,1230800
2017-11-09,82.050003,82.900002,81.970001,82.720001,78.818710,598000
2017-11-10,82.320000,83.070000,81.519997,83.059998,79.142685,374900
2017-11-13,82.389999,84.370003,81.900002,84.000000,80.038338,918200
2017-11-14,83.519997,84.250000,82.769997,84.220001,80.247978,668600
2017-11-15,84.000000,84.440002,83.370003,84.250000,80.276558,497200
2017-11-16,84.290001,85.199997,84.269997,84.980003,80.972107,649900
2017-11-17,84.839996,84.910004,83.650002,84.629997,80.638618,459000
2017-11-20,84.599998,84.730003,83.540001,84.709999,80.714859,422700
2017-11-21,84.830002,85.690002,84.360001,85.660004,81.620049,611400
2017-11-22,85.410004,85.410004,84.769997,85.269997,81.248444,637400
2017-11-24,85.269997,85.559998,84.489998,85.110001,81.095985,153600
2017-11-27,84.900002,85.010002,84.379997,84.680000,80.686272,506900
2017-11-28,84.709999,85.500000,84.089996,85.190002,81.172218,521100
2017-11-29,84.820000,85.489998,84.820000,85.250000,81.229393,406500
2017-11-30,85.370003,86.500000,85.080002,85.400002,81.372314,1042300
2017-12-01,85.360001,85.379997,82.809998,84.250000,80.276558,726100
2017-12-04,84.309998,84.720001,83.570000,83.570000,79.628624,962200
2017-12-05,83.879997,85.070000,83.599998,84.349998,80.371834,588400
2017-12-06,84.330002,85.279999,84.040001,85.180000,81.162689,444500
2017-12-07,85.169998,86.029999,84.930000,85.769997,81.724861,454400
2017-12-08,85.849998,86.540001,85.529999,86.370003,82.296570,550100
2017-12-11,86.300003,86.510002,85.870003,86.440002,82.363281,426900
2017-12-12,85.599998,86.699997,85.279999,85.839996,81.791550,493200
2017-12-13,85.330002,85.980003,85.010002,85.010002,81.000694,656700
2017-12-14,84.790001,84.959999,83.879997,83.930000,79.971649,562700
2017-12-15,84.510002,85.580002,84.370003,85.290001,81.267509,1367200
2017-12-18,85.709999,86.519997,85.489998,85.699997,81.658150,487000
2017-12-19,86.070000,86.449997,85.529999,86.120003,82.058365,405600
2017-12-20,86.199997,86.300003,85.529999,85.570000,81.534286,469700
2017-12-21,85.660004,85.930000,84.699997,84.980003,80.972107,472000
2017-12-22,85.089996,85.500000,84.639999,85.110001,81.095985,261300
2017-12-26,85.269997,86.070000,85.269997,85.589996,81.553360,281300
2017-12-27,85.559998,86.019997,85.169998,85.760002,81.715332,262000
2017-12-28,85.750000,86.300003,85.610001,86.260002,82.191757,313000
2017-12-29,86.330002,86.330002,84.669998,84.690002,80.695793,406200
2018-01-02,85.199997,86.120003,84.930000,85.529999,81.496170,328500
2018-01-03,85.379997,86.650002,85.309998,86.419998,82.344200,480800
2018-01-04,86.540001,86.849998,86.230003,86.540001,82.458549,627500
2018-01-05,86.589996,87.690002,86.120003,87.690002,83.554306,531600
2018-01-08,87.669998,88.489998,87.239998,88.190002,84.030731,713600
2018-01-09,87.930000,88.470001,87.220001,88.000000,83.849693,463500
2018-01-10,87.320000,87.610001,86.440002,87.099998,82.992126,340900
2018-01-11,86.489998,87.059998,86.260002,87.040001,82.934967,343100
2018-01-12,87.129997,87.940002,86.669998,87.779999,83.640068,339200
2018-01-16,88.180000,88.330002,87.599998,87.860001,83.716301,559400
2018-01-17,88.269997,89.099998,87.809998,88.730003,84.545265,569200
2018-01-18,88.150002,89.209999,87.910004,88.790001,84.602432,585400
2018-01-19,89.209999,89.720001,88.510002,88.680000,84.497612,855100
2018-01-22,88.370003,88.650002,87.099998,87.510002,83.382805,1119900
2018-01-23,98.730003,104.779999,97.370003,100.349998,95.617249,4695800
2018-01-24,99.599998,100.889999,99.250000,100.220001,95.493370,1923600
2018-01-25,100.680000,101.949997,99.750000,101.620003,96.827339,900700
2018-01-26,101.779999,102.980003,101.199997,102.800003,97.951691,673000
2018-01-29,102.800003,103.580002,102.440002,102.820000,97.970741,733900
2018-01-30,99.879997,102.250000,98.900002,100.669998,95.922134,1258100
2018-01-31,101.230003,101.489998,100.080002,100.790001,96.036469,798000
2018-02-01,100.250000,101.370003,99.290001,99.650002,94.950256,743300
2018-02-02,98.750000,99.139999,96.820000,96.970001,92.396622,764500
2018-02-05,95.989998,97.410004,93.139999,93.330002,88.928322,1024400
2018-02-06,91.790001,95.519997,91.470001,95.050003,90.567215,1203700
2018-02-07,93.320000,94.930000,92.559998,92.589996,88.549286,845800
2018-02-08,92.519997,92.959999,89.220001,89.260002,85.364594,764800
2018-02-09,90.260002,91.809998,87.669998,91.050003,87.076477,814200
2018-02-12,91.730003,92.440002,90.470001,91.730003,87.726807,663500
2018-02-13,90.889999,91.949997,90.209999,91.519997,87.525970,423300
2018-02-14,90.629997,93.849998,90.410004,93.470001,89.390862,748300
2018-02-15,93.230003,94.430000,92.800003,94.190002,90.079453,622000
2018-02-16,93.910004,95.150002,93.760002,93.809998,89.716042,810900
2018-02-20,93.000000,93.730003,92.599998,92.830002,88.778793,656500
2018-02-21,93.400002,94.949997,93.150002,93.199997,89.132652,642600
2018-02-22,93.790001,94.900002,93.550003,93.779999,89.687332,715800
2018-02-23,94.430000,95.449997,93.459999,95.419998,91.255775,418400
2018-02-26,95.440002,96.580002,95.019997,96.400002,92.192993,691800
2018-02-27,96.510002,97.550003,95.500000,95.500000,91.332275,736900
2018-02-28,96.029999,96.930000,95.059998,95.269997,91.112305,602400
