Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,72.007553,72.448082,71.825050,72.378853,64.193710,4502273
2017-09-25,72.322212,72.372559,71.560730,71.925735,63.791828,5879459
2017-09-26,72.108246,72.378853,71.887978,72.196350,64.031837,6388098
2017-09-27,72.284454,73.920708,72.271866,73.744492,65.404907,8859470
2017-09-28,73.624924,73.656387,72.611702,72.901199,64.656998,9580399
2017-09-29,72.573944,73.083702,72.051605,73.052231,64.790932,5196666
2017-10-02,73.089996,74.040276,72.964127,73.996223,65.628181,3703641
2017-10-03,74.260544,74.260544,73.807426,74.078033,65.700729,3513438
2017-10-04,74.178726,74.398994,73.958466,74.027687,65.656097,4449041
2017-10-05,74.027687,74.468216,73.908119,74.367523,65.957474,4252959
2017-10-06,74.197609,74.436752,74.008812,74.405289,65.990982,2844469
2017-10-09,74.443047,74.814346,74.317184,74.657021,66.214249,2779956
2017-10-10,74.644432,74.776588,74.103210,74.336060,65.929581,4234049
2017-10-11,74.455635,74.638138,73.901825,74.103210,65.723061,4903495
2017-10-12,74.052864,74.845818,74.027687,74.776588,66.320305,3774828
2017-10-13,74.933922,75.487724,74.713654,74.713654,66.264488,5517803
2017-10-16,74.789177,75.204529,74.512276,74.896164,66.426331,3437960
2017-10-17,74.657021,75.122719,74.373817,75.116425,66.621689,3220109
2017-10-18,75.204529,75.204529,74.638138,75.003143,66.521225,2948548
2017-10-19,74.952805,75.223412,74.398994,75.198235,66.694260,2592771
2017-10-20,75.494019,76.104469,75.368156,76.104469,67.498024,3995858
2017-10-23,75.997482,76.261803,75.814980,76.079292,67.475662,4095806
2017-10-24,75.487724,77.583389,74.858398,75.355568,66.833801,8632243
2017-10-25,75.336693,75.701698,74.808052,74.883575,66.415184,5859120
2017-10-26,75.173065,75.563248,74.889870,75.475143,66.939865,5372091
2017-10-27,75.280052,75.487724,74.864693,74.933922,66.459831,4533099
2017-10-30,75.147896,75.852737,74.795471,75.412209,66.884026,7043084
2017-10-31,75.544365,75.670235,75.204529,75.368156,66.844971,5467113
2017-11-01,75.865326,76.148521,75.475143,75.594711,67.045906,4275363
2017-11-02,75.575836,76.469475,75.336693,76.438011,67.793823,3119366
2017-11-03,76.620514,76.620514,75.758339,76.192574,67.576157,3822657
2017-11-06,76.312149,76.438011,75.752045,75.764633,67.196632,3838388
2017-11-07,75.940842,76.438011,75.758339,75.991188,67.397522,2945370
