Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,118.610001,119.180000,110.510002,111.930000,105.279312,1581300
2018-04-03,112.500000,113.879997,108.949997,111.910004,105.260513,1504200
2018-04-04,110.089996,114.980003,109.820000,114.480003,107.677795,851900
2018-04-05,115.459999,116.830002,113.519997,116.389999,109.474304,873500
2018-04-06,115.629997,116.370003,110.769997,111.910004,105.260513,1291200
2018-04-09,112.940002,114.889999,110.190002,110.349998,103.793213,829500
2018-04-10,111.139999,112.680000,109.529999,112.139999,105.476830,926800
2018-04-11,111.160004,112.320000,110.150002,110.930000,104.338730,577600
2018-04-12,111.459999,112.589996,110.360001,110.570000,104.000114,850700
2018-04-13,111.139999,112.400002,105.389999,106.610001,100.275429,1530400
2018-04-16,106.930000,108.029999,105.019997,106.449997,100.124924,971500
2018-04-17,108.750000,109.930000,106.779999,108.199997,101.770950,1254300
2018-04-18,108.849998,109.720001,106.550003,107.389999,101.009064,1303600
2018-04-19,107.550003,108.209999,103.489998,105.180000,98.930389,1516400
2018-04-20,105.279999,106.449997,102.900002,103.760002,97.594772,1064500
2018-04-23,103.260002,105.599998,102.150002,105.519997,99.250160,1029500
2018-04-24,105.760002,107.830002,105.199997,106.930000,100.576424,1162900
2018-04-25,106.820000,109.309998,106.440002,107.820000,101.413528,1031300
2018-04-26,112.019997,115.120003,110.080002,113.180000,106.455048,1672500
2018-04-27,113.150002,116.610001,112.650002,116.339996,109.427284,1158600
2018-04-30,116.459999,116.680000,113.860001,114.449997,107.649582,1057400
2018-05-01,113.860001,115.699997,113.089996,115.580002,108.712440,806900
2018-05-02,115.510002,117.089996,113.800003,115.900002,109.013420,1113000
2018-05-03,115.580002,116.610001,114.540001,115.430000,108.571350,711400
2018-05-04,115.000000,117.730003,113.839996,116.669998,109.737663,860800
2018-05-07,116.989998,117.500000,115.089996,116.139999,109.239166,672500
2018-05-08,118.809998,118.970001,116.309998,116.800003,109.859955,1084900
2018-05-09,116.870003,118.139999,111.860001,117.989998,110.979248,1476400
2018-05-10,118.250000,118.589996,116.779999,118.230003,111.204987,594200
2018-05-11,118.309998,122.300003,117.589996,119.940002,112.813385,1354700
2018-05-14,119.879997,121.900002,119.260002,121.610001,114.384155,939200
2018-05-15,121.290001,121.440002,118.779999,119.919998,112.794563,878100
2018-05-16,120.639999,121.500000,118.660004,119.029999,111.957458,855200
2018-05-17,119.139999,120.580002,118.080002,119.790001,112.672302,1054900
2018-05-18,119.370003,119.860001,118.209999,118.320000,111.289642,1087000
2018-05-21,118.400002,119.639999,116.379997,119.150002,112.070320,1482900
2018-05-22,123.550003,125.889999,113.610001,115.330002,108.477310,3940200
2018-05-23,115.820000,123.629997,115.629997,123.250000,115.926712,1964800
2018-05-24,123.320000,126.000000,120.959999,125.169998,117.732635,1270200
2018-05-25,124.690002,126.239998,124.410004,124.910004,117.488075,1173100
2018-05-29,124.360001,124.989998,123.059998,123.959999,116.594521,1163300
2018-05-30,124.000000,128.660004,123.519997,128.529999,120.892967,1223900
2018-05-31,128.339996,129.410004,126.000000,128.619995,120.977638,1535200
2018-06-01,128.839996,129.669998,127.260002,128.339996,120.714249,993000
2018-06-04,129.000000,131.979996,128.990005,129.910004,122.190994,1008600
2018-06-05,129.770004,130.860001,129.240005,129.949997,122.228600,881200
2018-06-06,130.110001,131.490005,129.470001,130.589996,122.830574,1173200
2018-06-07,131.000000,131.979996,129.660004,130.050003,122.322655,1506100
2018-06-08,129.910004,132.669998,128.509995,131.710007,123.884033,863800
2018-06-11,132.240005,133.179993,131.339996,132.729996,124.843422,875600
2018-06-12,133.649994,134.750000,132.830002,133.639999,125.699356,887700
2018-06-13,133.369995,133.580002,131.490005,132.679993,124.796394,771100
2018-06-14,133.270004,133.990005,132.570007,133.500000,125.567657,816200
2018-06-15,133.490005,137.330002,133.020004,137.160004,129.010208,1652900
2018-06-18,136.139999,138.380005,135.830002,138.240005,130.026016,1226100
2018-06-19,136.899994,139.169998,136.399994,138.300003,130.082443,986100
2018-06-20,139.199997,140.220001,137.470001,139.160004,130.891357,849600
2018-06-21,139.100006,140.100006,137.789993,139.500000,131.267746,783800
2018-06-22,143.419998,143.419998,137.809998,138.850006,130.656143,1377800
2018-06-25,137.940002,137.990005,135.210007,137.270004,129.169373,915900
2018-06-26,137.520004,139.169998,136.460007,137.070007,128.981171,745600
2018-06-27,137.119995,137.690002,134.009995,134.380005,126.449921,1124400
2018-06-28,134.199997,136.179993,133.320007,135.110001,127.136833,1039800
2018-06-29,135.809998,137.869995,135.270004,135.699997,127.692024,725300
2018-07-02,135.000000,135.160004,133.419998,134.699997,126.751022,662500
2018-07-03,136.149994,136.639999,134.399994,135.009995,127.042732,339600
2018-07-05,135.440002,135.899994,134.000000,135.860001,127.842583,957000
2018-07-06,137.220001,138.000000,136.020004,137.169998,129.075256,889500
2018-07-09,137.589996,141.580002,137.470001,140.949997,132.632172,950800
2018-07-10,140.940002,141.910004,139.399994,140.649994,132.349884,963300
2018-07-11,139.820007,139.820007,136.369995,139.080002,130.872543,710200
2018-07-12,140.369995,140.889999,138.190002,138.789993,130.599640,441200
2018-07-13,139.300003,141.699997,138.919998,139.339996,131.117172,835000
2018-07-16,139.669998,140.539993,139.020004,139.669998,131.427719,505100
2018-07-17,139.149994,141.289993,139.149994,140.279999,132.001755,809100
2018-07-18,140.190002,140.839996,139.089996,139.970001,131.710022,685800
2018-07-19,139.850006,143.699997,139.440002,143.369995,134.909363,1123700
2018-07-20,142.850006,143.440002,141.729996,142.669998,134.250702,585700
2018-07-23,142.139999,145.199997,142.139999,144.660004,136.123245,686100
2018-07-24,145.100006,145.149994,139.440002,139.990005,131.728867,800400
2018-07-25,139.399994,140.649994,138.669998,140.470001,132.180496,794700
2018-07-26,141.000000,143.809998,140.320007,141.779999,133.413193,775700
2018-07-27,142.410004,143.130005,139.429993,139.850006,131.597107,370300
2018-07-30,139.850006,141.399994,139.589996,140.679993,132.378113,428100
2018-07-31,140.869995,141.979996,139.800003,141.229996,132.895660,463100
