Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,43.064999,43.139999,41.365002,42.025002,39.948471,2649200
2018-04-03,42.139999,42.435001,41.584999,42.400002,40.304943,2747800
2018-04-04,41.064999,42.580002,41.064999,42.494999,40.395241,3042600
2018-04-05,42.770000,42.869999,42.240002,42.384998,40.290684,2329400
2018-04-06,42.160000,42.285000,40.950001,41.285000,39.245033,2471400
2018-04-09,41.564999,42.305000,41.389999,41.790001,39.725086,2851800
2018-04-10,42.459999,42.860001,42.275002,42.685001,40.575855,3848800
2018-04-11,42.435001,42.974998,42.424999,42.639999,40.533073,3225000
2018-04-12,42.895000,43.244999,42.660000,43.070000,40.941830,2070800
2018-04-13,43.250000,43.334999,42.685001,42.805000,40.689934,1499000
2018-04-16,43.150002,43.404999,42.875000,43.235001,41.098686,1509600
2018-04-17,43.404999,43.570000,43.145000,43.410000,41.265038,1999800
2018-04-18,43.605000,43.834999,43.360001,43.599998,41.445633,1526400
2018-04-19,43.540001,43.555000,43.005001,43.099998,40.970352,2067800
2018-04-20,42.974998,42.980000,42.334999,42.605000,40.499802,3031600
2018-04-23,42.799999,42.845001,42.139999,42.200001,40.114811,3056000
2018-04-24,42.480000,42.549999,41.014999,41.384998,39.340088,4785800
2018-04-25,41.825001,41.974998,40.209999,41.439999,39.392368,5603000
2018-04-26,41.575001,41.904999,41.299999,41.895000,39.824890,3160200
2018-04-27,41.950001,42.305000,41.755001,42.139999,40.057781,3578400
2018-04-30,42.195000,42.424999,41.855000,41.855000,39.786865,3069400
2018-05-01,41.674999,42.070000,41.384998,41.970001,39.896191,2580600
2018-05-02,42.099998,42.389999,41.875000,41.980000,39.905693,3484800
2018-05-03,41.705002,42.230000,41.415001,42.139999,40.057781,2586000
2018-05-04,41.889999,42.794998,41.825001,42.674999,40.566345,2830000
2018-05-07,42.735001,43.080002,42.735001,42.910000,40.789730,2740200
2018-05-08,42.939999,42.994999,42.584999,42.869999,40.751713,2565000
2018-05-09,42.889999,43.235001,42.630001,43.154999,41.022625,2249200
2018-05-10,43.410000,43.654999,43.070000,43.634998,41.478920,1955000
2018-05-11,43.544998,44.009998,43.500000,43.990002,41.816380,2364600
2018-05-14,44.070000,44.154999,43.889999,44.095001,41.916199,2145600
2018-05-15,44.029999,44.084999,43.790001,43.930000,41.759338,2220200
2018-05-16,44.115002,44.345001,43.805000,44.174999,41.992233,2040000
2018-05-17,44.110001,44.345001,43.959999,44.060001,41.882919,1998200
2018-05-18,43.959999,44.185001,43.810001,43.990002,41.816380,1814600
2018-05-21,44.244999,44.470001,44.110001,44.465000,42.267910,1983400
2018-05-22,44.599998,44.599998,44.014999,44.049999,41.873405,2183800
2018-05-23,43.805000,44.110001,43.529999,44.099998,41.920940,2236800
2018-05-24,44.055000,44.305000,43.695000,43.900002,41.730808,1615600
2018-05-25,43.840000,43.904999,43.410000,43.634998,41.478920,2200800
2018-05-29,43.270000,43.820000,43.130001,43.490002,41.341076,2879600
2018-05-30,43.744999,43.974998,43.695000,43.785000,41.621506,1913200
2018-05-31,43.209999,43.895000,43.169998,43.465000,41.317310,3586800
2018-06-01,43.785000,44.259998,43.674999,44.185001,42.001747,2098600
2018-06-04,44.205002,44.349998,43.974998,44.044998,41.868660,2429000
2018-06-05,44.005001,44.990002,43.610001,44.974998,42.752697,2669400
2018-06-06,45.000000,45.220001,44.709999,45.220001,42.985600,2096200
2018-06-07,45.250000,45.435001,45.119999,45.404999,43.161449,2973400
2018-06-08,45.230000,45.490002,45.035000,45.455002,43.208992,2171800
2018-06-11,45.485001,45.549999,45.290001,45.360001,43.118671,2778400
2018-06-12,45.264999,45.439999,44.755001,45.435001,43.189983,2729800
2018-06-13,45.459999,45.634998,45.330002,45.525002,43.275528,2210400
2018-06-14,45.584999,45.770000,45.360001,45.599998,43.346821,2108000
2018-06-15,45.340000,45.985001,45.095001,45.660000,43.513599,3486000
2018-06-18,45.290001,45.400002,44.939999,45.400002,43.265827,1611000
2018-06-19,44.785000,44.910000,44.325001,44.840000,42.732136,1898600
2018-06-20,45.009998,45.105000,44.705002,44.919998,42.808376,1941800
2018-06-21,44.904999,44.924999,44.154999,44.230000,42.150810,2097600
2018-06-22,44.474998,44.680000,44.160000,44.599998,42.503418,2505600
2018-06-25,44.500000,44.500000,43.445000,43.895000,41.831562,2678400
2018-06-26,43.820000,44.154999,43.575001,43.584999,41.536137,2777400
2018-06-27,43.669998,43.930000,43.125000,43.134998,41.107281,3192600
2018-06-28,43.110001,43.555000,42.779999,43.529999,41.483719,3002800
2018-06-29,43.639999,43.959999,43.509998,43.575001,41.526604,3685000
2018-07-02,43.275002,43.584999,42.775002,43.555000,41.507545,2303000
2018-07-03,43.750000,43.750000,43.290001,43.355000,41.316940,859200
2018-07-05,43.599998,43.915001,43.275002,43.904999,41.841095,1557200
2018-07-06,43.990002,44.240002,43.735001,44.095001,42.022175,1623600
2018-07-09,44.404999,44.715000,44.209999,44.685001,42.584427,1627400
2018-07-10,44.564999,44.779999,44.520000,44.634998,42.536774,1312800
2018-07-11,42.965000,44.365002,42.965000,43.825001,41.764854,1583800
2018-07-12,44.070000,44.544998,44.060001,44.525002,42.431942,1639800
2018-07-13,44.610001,44.665001,44.325001,44.355000,42.269936,1356000
2018-07-16,44.404999,44.560001,44.200001,44.264999,42.184166,1537600
2018-07-17,44.139999,44.590000,44.005001,44.505001,42.412888,2176400
2018-07-18,44.529999,44.750000,44.395000,44.564999,42.470062,1908200
2018-07-19,44.365002,44.645000,44.200001,44.294998,42.212765,1836200
2018-07-20,44.139999,44.404999,44.060001,44.200001,42.122227,2241800
2018-07-23,44.090000,44.145000,43.855000,44.000000,41.931629,2143600
2018-07-24,44.220001,44.665001,44.174999,44.439999,42.350941,3216200
2018-07-25,45.000000,46.584999,45.000000,46.520000,44.333164,4351000
2018-07-26,46.770000,47.849998,46.570000,47.764999,45.519642,4015000
2018-07-27,47.764999,47.950001,46.810001,46.980000,44.771545,4569800
2018-07-30,46.790001,47.020000,46.090000,46.125000,43.956738,2122600
2018-07-31,46.230000,46.810001,46.110001,46.755001,44.557117,3816800
2018-08-01,46.755001,46.895000,46.419998,46.689999,44.495174,2232200
2018-08-02,46.514999,47.125000,46.400002,46.919998,44.714355,2154400
2018-08-03,47.080002,47.080002,46.709999,46.930000,44.723881,1830800
2018-08-06,46.889999,47.084999,46.810001,46.985001,44.776314,1492600
2018-08-07,46.985001,47.355000,46.895000,47.290001,45.066963,1495000
2018-08-08,47.340000,47.389999,47.174999,47.230000,45.009796,1266800
2018-08-09,47.500000,47.799999,47.139999,47.160000,44.943077,2263200
2018-08-10,46.930000,47.105000,46.779999,46.875000,44.671486,1614800
2018-08-13,47.005001,47.259998,46.799999,46.924999,44.719128,2476800
2018-08-14,46.840000,47.255001,46.750000,47.035000,44.823952,2264000
2018-08-15,46.724998,47.049999,46.465000,46.965000,44.757240,3205400
2018-08-16,47.060001,47.360001,46.939999,47.029999,44.819199,2063400
2018-08-17,46.994999,47.130001,46.785000,47.025002,44.814430,2207200
2018-08-20,47.244999,47.299999,47.049999,47.150002,44.933552,1979800
2018-08-21,47.115002,47.299999,46.974998,47.075001,44.862076,1793800
2018-08-22,47.000000,47.009998,46.660000,46.695000,44.499943,2666200
2018-08-23,46.764999,46.974998,46.660000,46.750000,44.552349,3331200
2018-08-24,46.919998,46.924999,46.645000,46.799999,44.600002,4567000
2018-08-27,47.044998,47.395000,46.970001,47.224998,45.005028,3671200
2018-08-28,47.395000,47.439999,47.025002,47.310001,45.086029,3762200
2018-08-29,47.389999,47.695000,47.389999,47.514999,45.281391,1750200
2018-08-30,47.500000,47.500000,47.075001,47.189999,44.971664,1488400
2018-08-31,47.044998,47.349998,46.884998,47.290001,45.066963,2172800
2018-09-04,47.325001,47.325001,46.930000,47.264999,45.043148,2125200
2018-09-05,47.325001,47.645000,47.000000,47.560001,45.324287,2241600
2018-09-06,47.560001,47.825001,47.465000,47.764999,45.519642,1933200
2018-09-07,47.709999,47.910000,47.485001,47.674999,45.433868,2680000
2018-09-10,47.775002,48.294998,47.775002,48.160000,45.896065,2898000
2018-09-11,48.000000,48.389999,47.959999,48.355000,46.081909,3082400
2018-09-12,48.275002,48.404999,47.820000,47.820000,45.572067,3702000
2018-09-13,48.005001,48.509998,48.005001,48.494999,46.215321,1720800
2018-09-14,48.500000,48.779999,48.200001,48.415001,46.248768,2749000
2018-09-17,48.400002,48.680000,48.000000,48.095001,45.943073,3066200
2018-09-18,48.180000,48.200001,47.605000,47.685001,45.551422,1975400
2018-09-19,47.674999,47.810001,47.355000,47.685001,45.551422,1960600
2018-09-20,47.965000,48.174999,47.855000,48.029999,45.880981,2353800
2018-09-21,48.000000,48.365002,47.595001,47.680000,45.546646,5531400
2018-09-24,47.560001,47.560001,47.020000,47.340000,45.221859,2990600
2018-09-25,47.174999,47.255001,46.755001,47.025002,44.920956,2621600
2018-09-26,47.000000,47.169998,46.755001,46.799999,44.706017,2033000
2018-09-27,46.919998,47.044998,46.709999,46.735001,44.643932,1714600
2018-09-28,46.645000,47.105000,46.549999,47.009998,44.906616,2513000
2018-10-01,47.235001,47.279999,46.970001,47.235001,45.121563,1899400
2018-10-02,47.009998,47.470001,46.939999,46.980000,44.877968,1715200
2018-10-03,47.060001,47.139999,46.615002,46.755001,44.663033,1812800
2018-10-04,46.580002,46.630001,45.294998,45.799999,43.750759,2842000
2018-10-05,45.770000,45.900002,44.965000,45.259998,43.234921,2643800
2018-10-08,45.160000,45.209999,44.279999,44.650002,42.652222,2146200
2018-10-09,45.165001,45.294998,44.709999,45.095001,43.077309,4160800
2018-10-10,44.825001,44.825001,43.139999,43.200001,41.267097,3100200
2018-10-11,43.209999,43.340000,42.005001,42.130001,40.244965,5217200
2018-10-12,42.785000,43.000000,42.060001,42.514999,40.612743,3335400
2018-10-15,42.424999,42.615002,42.174999,42.185001,40.297508,2250000
2018-10-16,42.474998,43.195000,42.375000,43.154999,41.224106,3737600
