Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,95.620003,96.209999,92.559998,93.820000,75.954170,1595600
2018-04-03,94.120003,95.800003,93.830002,95.440002,77.265694,1615100
2018-04-04,93.769997,97.029999,93.389999,96.730003,78.310043,1584200
2018-04-05,97.760002,98.599998,97.139999,97.940002,79.289627,1457900
2018-04-06,96.910004,97.309998,93.949997,94.919998,76.844711,1589500
2018-04-09,96.190002,97.970001,95.449997,95.550003,77.354736,1642100
2018-04-10,98.070000,98.070000,96.150002,97.379997,78.836273,1322600
2018-04-11,96.320000,97.230003,95.900002,96.260002,77.929543,928900
2018-04-12,97.190002,99.099998,96.760002,98.480003,79.726799,1332200
2018-04-13,99.150002,99.370003,95.349998,96.070000,77.775711,1443900
2018-04-16,96.629997,97.199997,95.379997,96.110001,77.808098,2128100
2018-04-17,94.599998,94.900002,91.949997,92.739998,75.079826,4065300
2018-04-18,92.919998,94.540001,92.110001,93.279999,75.517021,2225400
2018-04-19,93.510002,95.430000,93.250000,95.040001,76.941856,1779300
2018-04-20,95.019997,96.269997,94.860001,95.489998,77.306168,1650900
2018-04-23,95.860001,96.529999,95.239998,96.010002,77.727165,952400
2018-04-24,96.830002,98.250000,95.110001,96.269997,77.937637,1868200
2018-04-25,95.860001,96.809998,94.709999,96.070000,77.775711,1152300
2018-04-26,95.699997,96.440002,95.070000,95.699997,77.476173,974400
2018-04-27,95.410004,96.480003,95.300003,96.290001,77.953819,1246400
2018-04-30,96.620003,97.400002,94.570000,94.580002,76.569450,870200
2018-05-01,94.419998,95.059998,93.449997,94.849998,76.788040,1137900
2018-05-02,94.589996,95.930000,94.080002,94.300003,76.342773,1820000
2018-05-03,93.910004,94.019997,91.529999,92.980003,75.274124,1479700
2018-05-04,92.070000,94.699997,91.489998,94.080002,76.164673,885100
2018-05-07,94.370003,94.629997,93.290001,94.050003,76.140388,1136300
2018-05-08,94.279999,96.809998,94.209999,95.769997,77.532845,1945000
2018-05-09,96.290001,97.769997,95.730003,97.320000,78.787682,1193400
2018-05-10,97.239998,98.580002,96.739998,97.910004,79.265358,848100
2018-05-11,98.150002,98.620003,97.279999,97.900002,79.257240,1097700
2018-05-14,98.360001,98.599998,97.459999,98.019997,79.354393,1015700
2018-05-15,97.730003,99.250000,97.730003,98.400002,79.662041,1164000
2018-05-16,98.099998,99.599998,98.099998,99.019997,80.163963,1260800
2018-05-17,98.680000,99.480003,98.139999,99.370003,80.447311,1316100
2018-05-18,99.029999,99.269997,98.110001,98.360001,79.629639,972200
2018-05-21,98.690002,99.650002,98.580002,98.800003,79.985870,1485200
2018-05-22,99.099998,101.050003,99.000000,100.309998,81.208305,1743800
2018-05-23,99.599998,100.250000,98.449997,98.989998,80.139664,1354900
2018-05-24,98.660004,99.190002,97.040001,99.000000,80.147758,962900
2018-05-25,98.070000,98.709999,97.459999,97.760002,79.143906,1082500
2018-05-29,96.370003,96.809998,93.150002,93.760002,75.905617,2178200
2018-05-30,95.129997,95.570000,94.019997,95.000000,76.909485,1467800
2018-05-31,94.919998,95.540001,94.000000,94.290001,76.334679,2061700
2018-06-01,95.699997,96.300003,95.269997,95.750000,77.516663,1323400
2018-06-04,96.120003,96.639999,95.860001,96.620003,78.220985,1634400
2018-06-05,96.400002,96.419998,95.290001,95.669998,77.451889,948000
2018-06-06,96.400002,98.250000,96.160004,97.430000,78.876740,1999100
2018-06-07,97.849998,98.300003,96.269997,96.720001,78.301949,2018100
2018-06-08,96.910004,97.180000,95.959999,96.470001,78.099564,1252200
2018-06-11,96.620003,97.040001,94.480003,94.709999,76.674698,2145200
2018-06-12,95.330002,96.519997,94.919998,95.769997,77.532845,2147800
2018-06-13,96.309998,97.790001,95.500000,95.879997,77.621887,1502100
2018-06-14,96.180000,96.959999,94.410004,95.180000,77.329414,1514800
2018-06-15,94.680000,95.190002,93.169998,94.570000,76.833832,2476000
2018-06-18,93.709999,95.169998,93.050003,94.680000,76.923195,1619400
2018-06-19,93.750000,95.570000,93.639999,95.309998,77.435043,1661100
2018-06-20,96.110001,96.349998,95.440002,95.540001,77.621887,1408900
2018-06-21,95.449997,96.470001,94.699997,96.010002,78.003777,1699500
2018-06-22,97.250000,98.250000,94.839996,95.440002,77.540672,3323300
2018-06-25,94.709999,94.839996,92.709999,93.989998,76.362587,1761300
2018-06-26,94.129997,94.300003,92.279999,92.809998,75.403877,2007800
2018-06-27,92.589996,92.900002,90.400002,91.000000,73.933350,2423700
2018-06-28,91.180000,91.809998,90.400002,91.339996,74.209579,2183300
2018-06-29,92.330002,93.160004,90.879997,90.919998,73.868378,1754800
2018-07-02,90.480003,91.879997,90.360001,91.769997,74.558945,1597300
2018-07-03,91.940002,92.440002,90.230003,90.440002,73.478378,1068400
2018-07-05,91.209999,91.260002,89.940002,90.330002,73.389015,1266000
2018-07-06,89.919998,91.150002,89.400002,90.620003,73.624619,1052400
2018-07-09,91.389999,93.370003,90.879997,93.120003,75.655754,2351400
2018-07-10,93.489998,93.879997,92.070000,92.480003,75.135788,1446400
2018-07-11,91.919998,92.680000,91.449997,91.620003,74.437065,1401900
2018-07-12,92.449997,92.449997,89.629997,90.489998,73.519012,1630100
2018-07-13,90.000000,90.000000,88.629997,89.459999,72.682167,2221900
2018-07-16,89.790001,91.190002,89.720001,90.699997,73.689636,1654000
2018-07-17,90.989998,92.769997,89.629997,91.860001,74.632080,3593000
2018-07-18,93.000000,93.959999,92.010002,93.769997,76.183853,2866600
2018-07-19,93.489998,94.059998,92.209999,93.570000,76.021362,2026200
2018-07-20,93.699997,95.080002,92.849998,94.220001,76.549461,1971500
2018-07-23,94.269997,95.989998,94.220001,95.769997,77.808762,1683400
2018-07-24,96.000000,96.459999,95.099998,95.500000,77.589401,2052200
2018-07-25,96.730003,97.570000,94.989998,96.099998,78.076881,2060800
2018-07-26,96.300003,96.750000,95.160004,95.250000,77.386284,1402000
2018-07-27,95.559998,96.629997,95.370003,96.290001,78.231239,1442100
2018-07-30,96.540001,97.150002,95.779999,96.620003,78.499359,1807500
2018-07-31,96.779999,97.769997,95.980003,96.940002,78.759346,2820200
2018-08-01,97.669998,99.480003,97.599998,97.620003,79.311798,1865200
2018-08-02,96.830002,98.779999,96.570000,98.389999,79.937393,1986600
2018-08-03,98.209999,98.860001,97.800003,98.019997,79.636795,1925200
2018-08-06,98.150002,98.190002,96.930000,97.559998,79.263069,1089200
2018-08-07,98.150002,98.540001,97.680000,97.959999,79.588036,1060200
2018-08-08,97.959999,98.959999,97.400002,98.610001,80.116142,1067800
2018-08-09,98.370003,98.629997,97.620003,97.910004,79.547432,921900
2018-08-10,96.790001,97.470001,96.400002,97.139999,78.921829,1203000
2018-08-13,97.129997,97.470001,96.139999,96.260002,78.206871,1098700
2018-08-14,96.550003,97.900002,96.550003,97.580002,79.279320,1246700
2018-08-15,96.870003,97.529999,96.209999,96.660004,78.531860,1068300
2018-08-16,97.129997,99.570000,97.129997,98.690002,80.181152,1911700
2018-08-17,98.540001,99.440002,98.180000,99.230003,80.619858,1196100
2018-08-20,99.139999,99.660004,98.849998,99.269997,80.652367,1064100
2018-08-21,99.620003,100.639999,99.180000,99.430000,80.782341,1565600
2018-08-22,99.300003,99.769997,98.680000,99.260002,80.644234,1412900
2018-08-23,99.180000,99.370003,98.320000,98.599998,80.108025,947000
2018-08-24,99.160004,99.320000,98.449997,98.629997,80.132385,1306000
2018-08-27,98.629997,99.610001,98.629997,98.849998,80.311134,1265000
2018-08-28,99.099998,99.120003,98.180000,98.720001,80.205521,1298200
2018-08-29,98.900002,98.959999,97.889999,98.430000,79.969894,1147500
2018-08-30,98.230003,98.230003,96.529999,96.739998,78.596840,1620600
2018-08-31,96.419998,97.699997,95.889999,97.480003,79.198059,1491500
2018-09-04,97.639999,98.070000,97.059998,97.739998,79.409286,1581500
2018-09-05,97.529999,98.570000,97.529999,97.980003,79.604301,1712400
2018-09-06,98.050003,98.400002,97.160004,97.879997,79.523033,1798100
2018-09-07,98.080002,98.279999,96.959999,97.279999,79.035553,1327300
2018-09-10,97.730003,97.760002,97.050003,97.129997,78.913704,1234500
2018-09-11,97.059998,98.750000,96.949997,98.330002,79.888641,2422900
2018-09-12,97.709999,98.070000,94.660004,94.949997,77.142555,2841700
2018-09-13,94.680000,94.889999,92.480003,93.010002,76.046944,2519100
2018-09-14,93.190002,94.059998,92.959999,93.190002,76.194122,1645600
2018-09-17,93.430000,93.940002,92.010002,92.739998,75.826180,1281900
2018-09-18,92.720001,92.919998,92.000000,92.389999,75.540016,1671300
2018-09-19,92.430000,94.160004,92.360001,93.860001,76.741920,1331500
2018-09-20,94.230003,95.389999,94.230003,94.690002,77.420555,1121200
2018-09-21,94.839996,94.849998,94.199997,94.629997,77.371490,1820100
2018-09-24,94.519997,94.629997,93.410004,93.750000,76.651978,1085100
2018-09-25,94.300003,94.519997,93.360001,93.440002,76.398514,913300
2018-09-26,93.900002,94.139999,91.440002,91.669998,74.951332,1843800
2018-09-27,91.769997,91.889999,90.540001,91.010002,74.411697,1359700
2018-09-28,90.470001,91.000000,89.980003,90.199997,73.749413,1393000
2018-10-01,91.360001,91.519997,90.139999,90.230003,73.773949,1426400
2018-10-02,90.300003,90.639999,89.419998,89.779999,73.406036,2026300
2018-10-03,90.500000,92.290001,90.500000,92.089996,75.294716,2107400
2018-10-04,92.370003,93.800003,91.709999,92.720001,75.809830,1369800
2018-10-05,93.029999,93.279999,91.599998,92.040001,75.253845,816500
2018-10-08,92.230003,92.820000,91.389999,92.489998,75.621765,709400
2018-10-09,92.250000,92.540001,91.500000,91.919998,75.155731,729300
2018-10-10,91.889999,92.339996,89.059998,89.169998,72.907280,1886100
2018-10-11,88.650002,89.139999,85.720001,85.800003,70.151894,2493400
2018-10-12,86.910004,86.949997,82.349998,84.730003,69.277039,3012900
2018-10-15,84.150002,84.709999,82.919998,83.519997,68.287704,2834500
2018-10-16,84.010002,85.419998,81.820000,83.900002,68.598412,4937800
2018-10-17,83.980003,86.000000,82.099998,85.080002,69.563210,3221000
2018-10-18,84.480003,85.699997,83.400002,83.550003,68.312248,2120900
2018-10-19,83.610001,85.739998,82.970001,84.410004,69.015404,2053100
2018-10-22,84.730003,84.949997,81.000000,81.139999,66.341766,1529700
2018-10-23,79.800003,81.769997,78.250000,81.050003,66.268188,1978000
2018-10-24,80.820000,81.070000,78.110001,78.269997,63.995193,2218400
2018-10-25,78.980003,80.540001,78.510002,79.709999,65.172577,1561800
2018-10-26,79.050003,80.089996,78.300003,78.809998,64.436714,1752000
