Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,37.830002,37.880001,36.619999,37.150002,36.077454,1289000
2018-04-03,37.330002,37.959999,37.330002,37.790001,36.698975,2361400
2018-04-04,37.380001,38.439999,37.020000,38.230000,37.126270,1879300
2018-04-05,38.509998,38.889999,38.090000,38.730000,37.611835,1292300
2018-04-06,38.509998,38.830002,37.820000,38.180000,37.077717,1215100
2018-04-09,38.389999,38.529999,38.080002,38.110001,37.009735,1590400
2018-04-10,38.590000,38.590000,38.099998,38.130001,37.029163,1627700
2018-04-11,37.790001,38.189999,37.720001,38.049999,36.951466,1332100
2018-04-12,38.220001,38.509998,37.970001,38.290001,37.184536,1183900
2018-04-13,38.500000,38.959999,38.090000,38.189999,37.087425,1249500
2018-04-16,38.549999,38.970001,38.410000,38.619999,37.505013,1298700
2018-04-17,38.630001,39.070000,38.459999,39.040001,37.912888,1838400
2018-04-18,39.000000,39.369999,38.610001,39.230000,38.097401,1322300
2018-04-19,39.270000,39.509998,38.509998,38.630001,37.514729,1119900
2018-04-20,38.820000,38.889999,38.240002,38.250000,37.145691,1531400
2018-04-23,38.259998,38.540001,38.060001,38.340000,37.233097,2306700
2018-04-24,38.619999,38.630001,37.330002,37.500000,36.417347,2023300
2018-04-25,37.369999,37.880001,37.200001,37.590000,36.504749,2325400
2018-04-26,33.000000,33.000000,29.600000,30.420000,29.541750,15432200
2018-04-27,31.010000,32.570000,30.900000,31.650000,30.736237,9380800
2018-04-30,31.530001,31.790001,30.830000,31.020000,30.124430,4192100
2018-05-01,30.959999,31.020000,29.860001,30.270000,29.396084,5723800
2018-05-02,30.190001,30.500000,30.090000,30.270000,29.396084,4589900
2018-05-03,30.150000,30.340000,29.700001,30.240000,29.366947,3333100
2018-05-04,30.230000,30.230000,29.900000,30.129999,29.260122,2733100
2018-05-07,30.320000,30.760000,30.129999,30.639999,29.755400,2777200
2018-05-08,30.559999,30.709999,30.379999,30.530001,29.648573,3521500
2018-05-09,30.530001,30.719999,30.100000,30.200001,29.328104,1690200
2018-05-10,30.290001,30.670000,30.120001,30.280001,29.405796,1877900
2018-05-11,30.250000,30.430000,30.020000,30.280001,29.405796,1970800
2018-05-14,30.450001,30.809999,30.350000,30.600000,29.716558,2018800
2018-05-15,30.389999,30.540001,30.240000,30.320000,29.444637,1731500
2018-05-16,30.410000,30.809999,30.250000,30.620001,29.735979,1878600
2018-05-17,30.500000,30.650000,30.379999,30.530001,29.648573,1207400
2018-05-18,30.420000,30.580000,30.340000,30.480000,29.600019,1750700
2018-05-21,30.670000,30.879999,30.520000,30.770000,29.881645,1496200
2018-05-22,30.780001,30.990000,30.139999,30.150000,29.279549,1316900
2018-05-23,30.080000,30.110001,29.650000,29.770000,28.910517,2365100
2018-05-24,29.809999,30.209999,29.709999,30.070000,29.201857,3050800
2018-05-25,30.139999,30.780001,30.129999,30.760000,29.871935,2190500
2018-05-29,30.500000,31.110001,30.209999,30.580000,29.697134,2900200
2018-05-30,31.120001,31.580000,30.719999,31.209999,30.308943,3298200
2018-05-31,31.219999,31.990000,31.040001,31.770000,30.852776,4699200
2018-06-01,31.950001,32.709999,31.870001,31.930000,31.008158,3549200
2018-06-04,31.870001,32.509998,31.870001,32.490002,31.551991,2836000
2018-06-05,32.509998,32.779999,32.169998,32.490002,31.551991,3286400
2018-06-06,32.660000,32.799999,32.299999,32.660000,31.717081,2001000
2018-06-07,32.570000,32.790001,32.369999,32.570000,31.629683,2507700
2018-06-08,32.599998,32.750000,32.360001,32.590000,31.649099,1486000
2018-06-11,32.639999,32.980000,32.639999,32.709999,31.765638,2041200
2018-06-12,32.730000,32.889999,32.590000,32.740002,31.794771,1913300
2018-06-13,32.830002,33.180000,32.630001,32.810001,31.862751,2613900
2018-06-14,32.910000,33.330002,32.700001,33.150002,32.192940,1767400
