Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,140.259995,142.419998,137.539993,139.809998,133.320328,1916400
2018-04-03,140.550003,141.339996,138.000000,140.529999,134.006912,1496500
2018-04-04,138.839996,142.149994,138.809998,141.350006,134.788895,1752500
2018-04-05,142.270004,143.800003,140.770004,142.610001,135.990356,1420400
2018-04-06,141.460007,142.089996,139.130005,139.710007,133.224960,2013000
2018-04-09,140.220001,141.990005,138.750000,140.029999,133.530136,911600
2018-04-10,141.589996,144.270004,141.119995,143.199997,136.552979,1391300
2018-04-11,141.470001,144.179993,141.199997,143.080002,136.438568,790700
2018-04-12,143.690002,144.559998,142.600006,143.940002,137.258621,1516600
2018-04-13,144.389999,144.809998,141.610001,142.850006,136.219223,1601200
2018-04-16,143.699997,150.699997,141.889999,147.880005,141.015717,3443500
2018-04-17,148.940002,150.759995,148.050003,149.500000,142.560516,2123700
2018-04-18,149.320007,150.839996,148.800003,149.279999,142.350754,1701700
2018-04-19,148.470001,148.750000,146.199997,147.100006,140.271973,1188800
2018-04-20,147.619995,147.619995,145.100006,146.250000,139.461380,1007900
2018-04-23,146.479996,148.880005,146.479996,148.330002,141.444839,1189600
2018-04-24,149.479996,151.139999,147.899994,148.889999,141.978867,1282800
2018-04-25,147.979996,152.160004,147.889999,151.710007,144.667953,1512000
2018-04-26,153.000000,154.199997,150.169998,153.960007,146.813538,1818500
2018-04-27,153.800003,158.660004,152.979996,158.130005,150.789963,1799400
2018-04-30,158.220001,160.839996,156.190002,156.210007,148.959045,2110400
2018-05-01,155.610001,156.899994,152.960007,154.210007,147.051910,1439300
2018-05-02,153.830002,158.250000,153.490005,154.630005,147.452438,1512500
2018-05-03,150.440002,151.000000,145.630005,146.589996,139.785614,3794800
2018-05-04,146.320007,148.100006,145.320007,146.820007,140.004974,1682500
2018-05-07,146.850006,148.479996,143.490005,144.279999,137.582855,2534300
2018-05-08,145.740005,145.740005,142.570007,144.009995,137.325363,1515200
2018-05-09,144.440002,145.830002,143.589996,144.809998,138.088242,1325900
2018-05-10,145.500000,149.119995,145.500000,147.259995,140.424484,1301200
2018-05-11,147.080002,150.500000,145.740005,149.210007,142.284027,1739600
2018-05-14,150.050003,151.740005,150.050003,151.020004,144.010010,914700
2018-05-15,150.630005,151.759995,148.779999,149.589996,142.646332,910700
2018-05-16,150.149994,151.179993,149.009995,150.160004,143.189941,1001400
2018-05-17,150.550003,151.860001,149.500000,150.990005,143.981369,1247000
2018-05-18,151.080002,151.529999,148.850006,148.919998,142.007477,1090900
2018-05-21,149.070007,149.479996,146.130005,146.500000,139.699753,1531900
2018-05-22,146.669998,147.740005,145.820007,146.440002,139.642593,2304200
2018-05-23,146.460007,147.429993,145.910004,146.830002,140.014465,2145500
2018-05-24,143.990005,145.289993,138.759995,144.029999,137.344406,3543400
2018-05-25,143.929993,146.679993,143.050003,145.809998,139.041840,2076900
2018-05-29,144.899994,144.899994,140.130005,141.220001,134.664841,2649600
2018-05-30,142.000000,145.089996,141.479996,144.429993,137.725876,1870700
2018-05-31,143.779999,143.779999,141.240005,141.940002,135.670853,2331000
2018-06-01,142.949997,143.160004,141.429993,142.240005,135.957596,1026200
2018-06-04,142.000000,143.910004,141.550003,142.800003,136.492844,1567600
2018-06-05,142.750000,143.880005,142.429993,143.770004,137.420044,2405000
2018-06-06,144.630005,146.350006,143.899994,145.639999,139.207382,2279400
2018-06-07,144.149994,146.369995,143.800003,145.630005,139.197845,1180800
2018-06-08,146.009995,146.160004,143.889999,145.369995,138.949341,1136500
2018-06-11,145.289993,146.380005,144.360001,145.210007,138.796417,1251400
2018-06-12,145.669998,145.910004,143.770004,145.539993,139.111832,1366700
2018-06-13,146.119995,150.339996,146.089996,149.520004,142.916046,3584900
2018-06-14,150.000000,151.240005,148.789993,150.000000,143.374847,2024500
2018-06-15,149.729996,151.070007,149.199997,150.000000,143.374847,3216200
2018-06-18,149.429993,149.429993,145.660004,146.039993,139.589783,1775600
2018-06-19,145.000000,147.100006,144.300003,146.740005,140.258850,1119200
2018-06-20,146.699997,148.529999,145.979996,147.500000,140.985275,1347700
2018-06-21,147.960007,148.320007,146.279999,146.460007,139.991180,1163900
2018-06-22,147.339996,149.429993,147.029999,148.880005,142.304306,1788300
2018-06-25,148.289993,149.039993,145.440002,146.070007,139.618439,1237900
2018-06-26,146.080002,146.639999,143.869995,144.929993,138.528763,1026500
2018-06-27,144.929993,146.059998,143.759995,144.660004,138.270691,1150700
2018-06-28,138.339996,139.250000,131.429993,135.800003,129.802032,4687800
2018-06-29,135.899994,136.259995,132.839996,133.399994,127.508018,2260200
2018-07-02,133.229996,135.550003,132.050003,134.880005,128.922668,1548100
2018-07-03,134.960007,135.589996,133.800003,134.570007,128.626358,693700
2018-07-05,135.369995,136.789993,134.130005,136.039993,130.031418,1884000
2018-07-06,136.080002,138.309998,135.800003,137.880005,131.790192,1024400
2018-07-09,138.460007,139.770004,137.369995,138.270004,132.162903,1389600
2018-07-10,138.860001,139.860001,138.149994,138.520004,132.401901,1162300
2018-07-11,137.169998,137.169998,133.960007,134.699997,128.750641,1603500
2018-07-12,135.509995,136.029999,134.339996,135.979996,129.974075,1320400
