Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,93.959999,94.220001,90.540001,91.019997,86.768517,406300
2018-04-03,91.519997,92.949997,90.930000,92.459999,88.141251,407000
2018-04-04,91.519997,93.070000,91.099998,92.879997,88.541626,261500
2018-04-05,93.570000,94.820000,92.870003,94.199997,89.799980,461700
2018-04-06,93.400002,93.940002,91.180000,92.250000,87.941063,293600
2018-04-09,92.489998,94.120003,92.489998,93.099998,88.751366,215900
2018-04-10,93.919998,94.870003,93.860001,94.250000,89.847641,315500
2018-04-11,93.599998,93.970001,93.080002,93.750000,89.371002,228600
2018-04-12,94.190002,94.919998,93.870003,94.389999,89.981102,428100
2018-04-13,94.739998,95.059998,94.029999,94.410004,90.000175,209200
2018-04-16,95.370003,96.209999,94.800003,95.889999,91.411041,229900
2018-04-17,96.150002,97.470001,95.660004,96.959999,92.431068,201200
2018-04-18,97.449997,97.449997,96.660004,96.860001,92.335754,285400
2018-04-19,96.900002,96.900002,95.730003,96.220001,91.725609,466100
2018-04-20,96.169998,96.910004,95.779999,96.040001,91.554031,228600
2018-04-23,96.449997,97.120003,95.580002,96.430000,91.925804,190700
2018-04-24,96.919998,97.089996,94.459999,95.269997,90.819992,305400
2018-04-25,94.930000,95.339996,94.029999,95.099998,90.657951,578400
2018-04-26,95.220001,96.639999,94.699997,95.930000,91.449173,324800
2018-04-27,96.410004,96.519997,95.080002,95.410004,90.953445,310600
2018-04-30,95.559998,96.000000,94.510002,94.519997,90.105049,281500
2018-05-01,94.180000,95.400002,94.099998,95.099998,90.657951,248500
2018-05-02,95.080002,95.320000,94.489998,94.900002,90.467293,358100
2018-05-03,94.410004,95.209999,93.500000,94.440002,90.028770,317500
2018-05-04,94.320000,96.900002,93.830002,96.559998,92.049744,378100
2018-05-07,96.449997,97.419998,96.250000,97.040001,92.507332,455800
2018-05-08,97.040001,98.559998,96.610001,98.099998,93.517815,826900
2018-05-09,97.500000,101.940002,96.949997,101.019997,96.301422,796200
2018-05-10,101.199997,103.320000,101.010002,102.669998,97.874367,764900
2018-05-11,102.650002,104.089996,102.110001,103.699997,98.856255,404700
2018-05-14,104.000000,104.309998,102.400002,102.599998,97.807632,560400
2018-05-15,102.120003,102.300003,100.800003,101.239998,96.511147,557100
2018-05-16,101.379997,103.250000,101.279999,102.919998,98.112694,585100
2018-05-17,103.019997,103.669998,102.459999,103.269997,98.446320,388800
2018-05-18,103.139999,103.820000,103.110001,103.459999,98.627449,361700
2018-05-21,104.150002,105.089996,103.519997,104.660004,99.771416,474400
2018-05-22,104.830002,105.010002,103.790001,104.080002,99.218506,240500
2018-05-23,103.529999,104.879997,103.529999,104.680000,99.790459,229400
2018-05-24,104.779999,105.379997,104.120003,104.489998,99.609344,295200
2018-05-25,104.209999,105.389999,103.180000,103.690002,98.846718,249400
2018-05-29,102.970001,104.160004,102.529999,103.970001,99.113617,398100
2018-05-30,104.339996,105.480003,104.339996,104.570000,99.685600,308600
2018-05-31,104.540001,104.930000,103.830002,103.839996,98.989708,356700
2018-06-01,104.750000,105.320000,104.080002,104.570000,99.685600,319800
2018-06-04,104.919998,105.360001,104.370003,105.129997,100.219444,335000
2018-06-05,105.209999,105.849998,104.580002,105.620003,100.686569,305100
2018-06-06,105.699997,106.480003,105.300003,106.300003,101.334793,273600
2018-06-07,105.900002,106.160004,104.040001,104.699997,100.101448,300500
2018-06-08,104.720001,106.730003,104.720001,106.570000,101.889343,352000
2018-06-11,106.529999,107.160004,105.839996,106.820000,102.128342,180300
2018-06-12,106.800003,107.620003,105.970001,106.059998,101.401726,372100
2018-06-13,106.099998,106.949997,105.199997,105.370003,100.742035,393200
2018-06-14,105.949997,106.680000,105.570000,106.629997,101.946701,257600
2018-06-15,106.589996,106.599998,105.489998,106.070000,101.411301,539200
2018-06-18,105.849998,107.720001,105.360001,107.540001,102.816727,250900
2018-06-19,106.559998,107.389999,106.260002,106.750000,102.061440,555600
2018-06-20,107.580002,107.580002,106.300003,106.970001,102.271774,319900
2018-06-21,106.919998,107.470001,106.230003,106.820000,102.128342,370900
2018-06-22,107.300003,107.970001,106.339996,106.480003,101.803291,594500
2018-06-25,106.379997,106.379997,104.580002,105.000000,100.388290,344300
2018-06-26,105.110001,106.190002,104.510002,104.750000,100.149261,1171400
2018-06-27,104.809998,105.290001,103.169998,103.199997,98.667343,630900
2018-06-28,103.110001,103.980003,102.800003,103.459999,98.915939,519600
2018-06-29,103.650002,106.029999,103.570000,105.010002,100.397865,466300
2018-07-02,104.879997,106.970001,104.790001,106.690002,102.004059,409700
2018-07-03,107.019997,107.339996,106.099998,106.269997,101.602493,165300
2018-07-05,106.820000,106.820000,105.839996,106.669998,101.984924,405900
2018-07-06,106.949997,108.699997,106.830002,108.620003,103.849304,337000
2018-07-09,108.779999,109.389999,108.660004,109.010002,104.222160,331000
2018-07-10,109.760002,110.360001,109.059998,109.680000,104.862747,264400
2018-07-11,109.080002,109.830002,108.690002,109.239998,104.442062,194400
2018-07-12,109.989998,110.500000,109.410004,110.169998,105.331215,240400
2018-07-13,110.070000,111.029999,109.629997,110.379997,105.531975,300200
2018-07-16,111.190002,111.190002,109.620003,109.720001,104.900970,280300
2018-07-17,109.720001,110.510002,109.279999,110.199997,105.359886,357600
2018-07-18,110.129997,110.739998,109.610001,110.489998,105.637154,252400
2018-07-19,110.620003,111.559998,110.410004,111.309998,106.421135,314300
2018-07-20,111.279999,112.080002,111.000000,111.959999,107.042572,232700
2018-07-23,111.720001,112.970001,111.010002,112.519997,107.577995,270000
2018-07-24,113.059998,113.260002,111.940002,112.699997,107.750107,376700
2018-07-25,112.820000,113.559998,112.500000,113.160004,108.189896,556800
2018-07-26,113.379997,114.290001,112.980003,113.500000,108.514961,378900
2018-07-27,113.400002,113.400002,111.400002,112.820000,107.864822,688900
2018-07-30,112.879997,113.250000,112.110001,112.199997,107.272034,273100
2018-07-31,112.620003,114.889999,111.820000,114.470001,109.442360,386200
2018-08-01,114.360001,115.209999,113.839996,115.010002,109.958641,320000
2018-08-02,114.510002,117.110001,114.470001,116.400002,111.287590,458500
2018-08-03,115.699997,116.800003,115.089996,116.750000,111.622200,538800
2018-08-06,117.000000,117.480003,115.949997,116.199997,111.096367,720600
2018-08-07,116.540001,116.750000,114.849998,115.519997,110.446251,764100
2018-08-08,112.750000,113.820000,105.980003,113.389999,108.409790,717500
2018-08-09,116.150002,117.360001,114.660004,114.739998,109.700500,530800
2018-08-10,113.910004,115.650002,113.760002,114.830002,109.786552,472300
2018-08-13,114.599998,115.750000,114.010002,114.279999,109.260696,393500
2018-08-14,114.389999,115.190002,114.239998,114.540001,109.509270,690700
2018-08-15,114.169998,114.500000,112.620003,113.000000,108.036919,442700
2018-08-16,113.379997,114.000000,112.550003,113.349998,108.371521,514600
2018-08-17,113.430000,114.239998,112.730003,114.110001,109.098167,403900
2018-08-20,114.489998,114.940002,114.129997,114.300003,109.279823,164000
2018-08-21,114.989998,115.309998,114.349998,115.029999,109.977760,339300
2018-08-22,114.599998,115.620003,114.410004,115.440002,110.369751,162900
2018-08-23,115.400002,115.980003,115.110001,115.379997,110.312378,150000
2018-08-24,115.199997,115.769997,114.120003,114.949997,109.901276,305000
2018-08-27,115.449997,115.879997,114.919998,115.089996,110.035118,232000
2018-08-28,114.980003,115.489998,114.440002,114.930000,110.207718,212200
2018-08-29,115.209999,115.269997,114.480003,114.989998,110.265259,160000
2018-08-30,114.750000,114.959999,114.110001,114.239998,109.546082,258900
2018-08-31,114.089996,114.809998,113.540001,114.419998,109.718681,205700
2018-09-04,114.389999,114.989998,113.290001,113.779999,109.104988,196600
2018-09-05,113.120003,113.160004,112.040001,112.970001,108.328255,199500
2018-09-06,112.970001,113.879997,112.529999,113.339996,108.683052,215400
2018-09-07,113.089996,114.500000,112.970001,113.320000,108.663887,198900
2018-09-10,113.650002,113.680000,112.720001,113.070000,108.424149,184900
2018-09-11,112.879997,114.129997,112.860001,113.839996,109.162506,250000
2018-09-12,114.019997,114.150002,112.550003,113.349998,108.692627,241000
2018-09-13,113.690002,114.260002,112.830002,113.099998,108.452904,262400
2018-09-14,113.129997,115.620003,113.129997,115.250000,110.514565,477300
2018-09-17,115.209999,115.209999,112.989998,113.099998,108.452904,360000
2018-09-18,112.830002,115.019997,112.300003,114.550003,109.843338,417000
2018-09-19,114.680000,114.839996,113.169998,113.589996,108.922760,215800
2018-09-20,114.089996,114.459999,113.900002,114.260002,109.565254,277500
2018-09-21,114.209999,114.580002,113.790001,113.970001,109.287170,546200
2018-09-24,113.889999,114.209999,113.239998,114.110001,109.421417,286800
2018-09-25,114.089996,115.000000,113.940002,114.480003,109.776222,271300
2018-09-26,114.680000,114.879997,113.570000,113.599998,108.932365,252400
2018-09-27,113.739998,114.059998,112.690002,113.470001,108.807709,336100
2018-09-28,113.440002,115.000000,113.440002,114.400002,109.699486,274800
2018-10-01,115.019997,115.400002,113.820000,114.160004,109.469360,303300
2018-10-02,113.970001,114.139999,112.500000,112.790001,108.155663,276800
2018-10-03,113.019997,113.510002,111.029999,111.260002,106.688507,221900
2018-10-04,110.889999,111.059998,108.809998,109.309998,104.818642,337700
2018-10-05,109.480003,109.879997,108.370003,108.989998,104.511787,318400
2018-10-08,108.720001,109.449997,106.180000,107.709999,103.284386,378900
2018-10-09,107.730003,108.169998,106.250000,107.709999,103.284386,351000
2018-10-10,107.650002,107.839996,104.790001,104.970001,100.656944,402300
2018-10-11,104.660004,106.849998,104.309998,104.760002,100.455582,670400
2018-10-12,106.459999,106.639999,104.800003,106.099998,101.740532,469300
2018-10-15,105.690002,107.339996,105.160004,106.440002,102.066559,307200
2018-10-16,107.320000,110.430000,107.099998,110.230003,105.700836,338800
2018-10-17,110.120003,110.800003,109.349998,110.010002,105.489876,264100
2018-10-18,109.949997,110.379997,108.220001,108.639999,104.176170,290200
2018-10-19,109.070000,109.389999,106.250000,106.680000,102.296692,332600
2018-10-22,106.930000,106.930000,105.599998,105.680000,101.337799,310600
2018-10-23,104.589996,106.389999,103.360001,105.410004,101.078888,409000
2018-10-24,105.279999,107.769997,105.279999,106.389999,102.018623,515300
2018-10-25,106.940002,108.410004,105.559998,107.800003,103.370689,602200
2018-10-26,107.000000,107.690002,105.360001,105.820000,101.472038,307200
2018-10-29,107.209999,108.190002,106.410004,107.940002,103.504936,345300
2018-10-30,107.949997,108.779999,106.830002,107.830002,103.399452,326900
2018-10-31,108.970001,109.980003,107.860001,109.309998,104.818642,449900
2018-11-01,109.629997,111.940002,109.629997,111.769997,107.177567,498300
2018-11-02,112.459999,113.360001,110.580002,111.870003,107.273453,280100
2018-11-05,111.870003,112.669998,111.220001,112.040001,107.436447,350500
2018-11-06,111.550003,117.959999,111.550003,117.459999,112.633774,754100
2018-11-07,118.000000,120.970001,117.550003,119.889999,114.963921,630000
2018-11-08,119.830002,121.669998,119.830002,120.699997,115.740631,521400
2018-11-09,120.669998,121.199997,119.440002,120.349998,115.405006,495900
2018-11-12,120.320000,121.110001,118.889999,119.940002,115.011902,500000
2018-11-13,121.000000,121.269997,118.349998,118.540001,113.669395,419700
2018-11-14,119.489998,119.489998,115.650002,116.410004,111.626907,503700
2018-11-15,115.680000,118.440002,115.430000,118.150002,113.295418,348700
2018-11-16,117.760002,119.370003,117.510002,118.370003,113.506378,703600
2018-11-19,118.370003,118.470001,115.320000,115.750000,110.994034,343500
2018-11-20,115.309998,115.309998,112.320000,112.680000,108.050171,483300
2018-11-21,112.940002,113.750000,112.080002,113.250000,108.596748,334100
2018-11-23,112.370003,114.349998,112.370003,113.360001,108.702232,111000
2018-11-26,114.739998,115.010002,113.300003,114.040001,109.354294,427900
2018-11-27,113.500000,115.059998,113.000000,114.809998,110.421875,279600
2018-11-28,115.389999,119.309998,115.389999,119.000000,114.451729,645300
2018-11-29,118.279999,120.970001,118.080002,119.540001,114.971085,579600
2018-11-30,119.699997,120.830002,118.529999,119.080002,114.528648,516600
2018-12-03,119.660004,120.470001,118.550003,120.309998,115.711655,479300
2018-12-04,120.459999,121.080002,117.660004,119.190002,114.634468,387600
2018-12-06,118.269997,121.260002,115.639999,118.120003,113.605354,647900
2018-12-07,117.260002,118.290001,112.989998,113.940002,109.585129,536000
2018-12-10,114.050003,115.489998,112.410004,115.099998,110.700768,340900
2018-12-11,116.459999,116.959999,114.180000,114.559998,110.181442,429700
2018-12-12,116.209999,118.750000,115.910004,117.010002,112.537773,469400
2018-12-13,117.620003,118.209999,113.449997,114.440002,110.066017,317200
2018-12-14,113.800003,115.459999,112.589996,113.150002,108.825310,577400
