Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,62.549999,63.009998,59.799999,60.389999,56.259579,2703000
2018-04-03,60.869999,61.480000,60.290001,60.810001,56.650856,1545600
2018-04-04,59.950001,62.340000,59.799999,61.880001,57.647671,1640200
2018-04-05,62.180000,62.279999,60.759998,61.360001,57.163239,2158400
2018-04-06,60.840000,61.380001,58.889999,59.700001,55.616768,1665700
2018-04-09,59.750000,60.470001,59.270000,59.400002,55.337296,1818000
2018-04-10,60.049999,61.790001,60.020000,61.450001,57.247074,1947300
2018-04-11,60.830002,61.740002,60.639999,61.340000,57.144611,1750000
2018-04-12,61.630001,61.959999,60.070000,60.200001,56.082569,1543100
2018-04-13,60.400002,60.400002,58.270000,58.320000,54.331158,1971200
2018-04-16,60.220001,60.500000,59.299999,59.770000,55.681980,3377200
2018-04-17,59.980000,60.119999,58.500000,58.650002,54.638596,3146400
2018-04-18,59.130001,61.790001,58.840000,60.660000,56.511116,2476500
2018-04-19,60.230000,60.439999,59.480000,59.880001,55.784470,1508400
2018-04-20,61.180000,62.630001,60.139999,60.330002,56.203682,1962600
2018-04-23,60.259998,62.299999,60.139999,61.639999,57.424088,1802800
2018-04-24,62.250000,62.570000,60.950001,61.189999,57.004864,1639700
2018-04-25,60.959999,62.230000,60.029999,62.189999,57.936470,2600900
2018-04-26,62.770000,67.699997,62.500000,66.660004,62.100742,5087600
2018-04-27,67.269997,68.690002,66.580002,68.430000,63.749691,3454300
2018-04-30,68.610001,68.879997,67.570000,68.000000,63.349098,1779000
2018-05-01,67.739998,68.879997,66.889999,67.760002,63.125507,1745300
2018-05-02,67.709999,69.099998,67.180000,68.199997,63.535393,1939300
2018-05-03,66.650002,66.820000,64.160004,66.150002,61.625618,2278200
2018-05-04,65.820000,67.309998,64.699997,66.959999,62.380219,1117500
2018-05-07,66.889999,67.029999,66.300003,66.809998,62.240486,1607000
2018-05-08,66.519997,67.510002,66.029999,66.480003,61.933060,1526300
2018-05-09,66.660004,67.220001,66.120003,66.690002,62.128689,2110800
2018-05-10,66.750000,67.830002,66.660004,67.800003,63.162758,1563000
2018-05-11,68.000000,69.699997,67.989998,69.620003,64.858292,1749400
2018-05-14,69.500000,71.709999,68.930000,71.209999,66.339531,2828700
2018-05-15,70.860001,71.629997,70.150002,70.860001,66.013474,1577900
2018-05-16,71.120003,71.949997,70.519997,71.010002,66.153214,1055900
2018-05-17,70.760002,72.099998,70.750000,71.669998,66.768082,1065200
2018-05-18,71.809998,72.900002,71.809998,72.820000,67.839417,1339000
2018-05-21,73.040001,74.400002,72.949997,73.639999,68.603333,2136400
2018-05-22,74.580002,75.300003,72.589996,73.690002,68.649902,2449000
2018-05-23,73.650002,74.430000,72.349998,74.339996,69.255455,1468500
2018-05-24,74.010002,74.720001,72.989998,74.209999,69.134361,1084500
2018-05-25,74.059998,74.199997,72.980003,73.339996,68.610458,1391800
2018-05-29,73.040001,73.610001,72.720001,73.550003,68.806931,1586100
2018-05-30,73.870003,75.470001,73.680000,75.339996,70.481476,1723300
2018-05-31,75.459999,75.459999,74.279999,74.309998,69.517914,1679100
2018-06-01,74.830002,75.500000,74.419998,75.129997,70.285034,1607000
2018-06-04,75.349998,75.650002,74.800003,75.529999,70.659233,2328500
2018-06-05,75.510002,76.190002,75.110001,75.830002,70.939888,2035100
2018-06-06,76.160004,76.830002,75.860001,76.769997,71.819267,2110500
2018-06-07,77.000000,77.239998,76.389999,76.779999,71.828621,1529400
2018-06-08,76.650002,77.099998,76.239998,76.580002,71.641548,1880700
2018-06-11,76.699997,76.760002,75.620003,75.919998,71.024094,1926100
2018-06-12,76.260002,76.570000,75.669998,75.779999,70.893120,1670000
2018-06-13,75.930000,76.199997,75.120003,75.220001,70.369232,1789800
2018-06-14,75.430000,75.690002,73.459999,74.320000,69.527260,2108400
2018-06-15,74.230003,74.570000,74.000000,74.400002,69.602104,2377800
