Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,18.350000,18.389999,18.139999,18.290001,14.067056,5131100
2018-04-03,18.330000,18.350000,18.139999,18.270000,14.051676,1757600
2018-04-04,18.160000,18.340000,18.000000,18.129999,13.943998,3282400
2018-04-05,18.170000,18.290001,18.049999,18.180000,13.982453,3853800
2018-04-06,18.170000,18.340000,18.080000,18.280001,14.059364,2187100
2018-04-09,18.290001,18.344999,18.100000,18.139999,13.951688,2919500
2018-04-10,18.290001,18.330000,18.010000,18.160000,13.967072,1523700
2018-04-11,18.049999,18.215000,17.980000,18.170000,13.974763,1926700
2018-04-12,18.170000,18.320000,17.910000,18.170000,13.974763,896800
2018-04-13,18.200001,18.245001,18.030001,18.200001,13.997838,1426600
2018-04-16,18.200001,18.370001,18.139999,18.230000,14.020911,2935700
2018-04-17,18.270000,18.420000,18.240000,18.270000,14.051676,1570000
2018-04-18,18.290001,18.410000,18.240000,18.379999,14.136276,1460400
2018-04-19,18.379999,18.389999,18.200001,18.230000,14.020911,1343600
2018-04-20,18.250000,18.340000,18.065001,18.180000,13.982453,1074800
2018-04-23,18.240000,18.240000,17.580000,18.090000,13.913235,931100
2018-04-24,18.080000,18.230000,17.950001,18.040001,13.874779,1068500
2018-04-25,17.950001,18.150000,17.950001,18.040001,13.874779,1006700
2018-04-26,18.030001,18.110001,17.980000,18.010000,13.851704,1440300
2018-04-27,17.980000,18.090000,17.820000,18.049999,13.882466,1188900
2018-04-30,18.059999,18.200001,17.990000,18.180000,13.982453,1640800
2018-05-01,18.100000,18.240000,17.900000,18.209999,14.005529,3781900
2018-05-02,18.120001,18.160000,17.830000,17.870001,13.744031,3561000
2018-05-03,17.830000,18.049999,17.820000,17.850000,13.728649,2176800
2018-05-04,17.850000,18.299999,17.790001,18.020000,13.859397,2616400
2018-05-07,18.000000,18.270000,17.980000,18.160000,13.967072,3572200
2018-05-08,18.139999,18.600000,18.129999,18.410000,14.159350,3328100
2018-05-09,18.750000,19.440001,18.750000,18.889999,14.528523,4145400
2018-05-10,19.000000,19.180000,18.980000,19.120001,14.705420,2574200
2018-05-11,19.080000,19.100000,18.855000,19.000000,14.613126,1535400
2018-05-14,19.100000,19.315001,19.080000,19.299999,14.843861,3418500
2018-05-15,19.280001,19.520000,19.250000,19.350000,14.882314,5147500
2018-05-16,19.309999,19.780001,19.309999,19.650000,15.113046,3603900
2018-05-17,19.790001,20.049999,19.695000,19.700001,15.151503,3875400
2018-05-18,19.760000,19.790001,19.450001,19.559999,15.043828,2095400
2018-05-21,19.639999,19.950001,19.600000,19.760000,15.197649,3213100
2018-05-22,19.820000,19.879999,19.660000,19.750000,15.189957,3009900
2018-05-23,19.730000,19.920000,19.709999,19.900000,15.305326,1862500
2018-05-24,19.920000,19.943001,19.760000,19.850000,15.266872,1574500
2018-05-25,19.850000,19.980000,19.760000,19.860001,15.274564,1921300
2018-05-29,19.879999,20.010000,19.799999,19.940001,15.336087,2400300
2018-05-30,20.030001,20.049999,19.860001,19.950001,15.343782,5212400
2018-05-31,19.879999,20.020000,19.320000,19.370001,14.897699,12951500
2018-06-01,19.660000,19.940001,19.475000,19.879999,15.289942,3060900
2018-06-04,20.170000,20.480000,20.000000,20.370001,15.666807,7235800
2018-06-05,20.379999,20.490000,19.965000,20.110001,15.466836,4659500
2018-06-06,20.070000,20.240000,19.930000,19.980000,15.366856,2291800
2018-06-07,20.070000,20.170000,19.910000,20.010000,15.389926,4128300
2018-06-08,20.049999,20.879999,19.980000,20.440001,15.720648,6319600
2018-06-11,20.500000,20.650000,20.410000,20.530001,15.789867,3007800
2018-06-12,20.490000,20.665001,20.400000,20.600000,15.843702,3311800
2018-06-13,20.610001,20.719999,20.520000,20.600000,15.843702,5153400
2018-06-14,20.650000,20.745001,20.469999,20.530001,15.789867,5072000
2018-06-15,20.500000,20.760000,20.459999,20.520000,15.782174,8947200
2018-06-18,20.430000,20.750000,20.430000,20.600000,15.843702,5838900
2018-06-19,20.500000,20.850000,20.500000,20.650000,15.882157,5068100
2018-06-20,20.670000,21.020000,20.600000,20.940001,16.105204,5324700
2018-06-21,20.980000,21.000000,20.850000,20.969999,16.128275,2542700
2018-06-22,21.090000,21.090000,20.840000,20.980000,16.135965,2493700
