Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,11.380000,11.470000,11.340000,11.430000,9.637219,3405600
2017-04-18,11.400000,11.450000,11.340000,11.410000,9.620355,5916000
2017-04-19,11.420000,11.450000,11.300000,11.370000,9.586628,5732700
2017-04-20,11.370000,11.430000,11.250000,11.420000,9.628786,6281600
2017-04-21,11.380000,11.440000,11.320000,11.380000,9.595059,5026200
2017-04-24,11.400000,11.600000,11.360000,11.590000,9.772120,6947300
2017-04-25,11.550000,11.620000,11.520000,11.620000,9.797414,4193100
2017-04-26,11.600000,11.600000,11.430000,11.450000,9.654080,5299000
2017-04-27,11.300000,11.450000,11.230000,11.290000,9.619997,12780700
2017-04-28,11.300000,11.380000,11.210000,11.310000,9.637040,6136700
2017-05-01,11.310000,11.410000,11.300000,11.310000,9.637040,5087700
2017-05-02,11.330000,11.340000,11.240000,11.300000,9.628517,3563400
2017-05-03,11.270000,11.300000,11.180000,11.190000,9.534788,5099400
2017-05-04,11.170000,11.220000,11.050000,11.090000,9.449580,5737900
2017-05-05,11.140000,11.330000,11.060000,11.320000,9.645557,3918900
2017-05-08,11.080000,11.370000,10.950000,11.310000,9.637040,7730600
2017-05-09,11.260000,11.470000,11.230000,11.340000,9.662601,5450400
2017-05-10,11.340000,11.700000,11.290000,11.570000,9.858579,7413300
2017-05-11,11.570000,11.600000,11.450000,11.470000,9.773371,6102200
2017-05-12,11.500000,11.510000,11.280000,11.330000,9.654080,3927700
2017-05-15,11.340000,11.450000,11.310000,11.400000,9.713725,3727400
2017-05-16,11.430000,11.510000,11.310000,11.320000,9.645557,4295900
2017-05-17,11.320000,11.420000,11.250000,11.330000,9.654080,3927700
2017-05-18,11.300000,11.330000,10.980000,11.180000,9.526268,6620100
2017-05-19,11.220000,11.240000,11.080000,11.200000,9.543311,6100500
2017-05-22,11.170000,11.380000,11.150000,11.360000,9.679644,5721900
2017-05-23,11.380000,11.550000,11.350000,11.370000,9.688163,3695600
2017-05-24,11.360000,11.830000,11.360000,11.750000,10.011955,8910000
2017-05-25,11.710000,11.810000,11.670000,11.780000,10.037517,4913100
2017-05-26,11.760000,11.850000,11.680000,11.790000,10.046039,2565100
2017-05-30,11.760000,11.790000,11.680000,11.700000,9.969351,2884000
2017-05-31,11.730000,11.790000,11.580000,11.680000,9.952308,6780000
2017-06-01,11.680000,11.950000,11.640000,11.950000,10.182371,4574400
2017-06-02,11.990000,12.000000,11.820000,11.910000,10.148290,5061600
2017-06-05,11.870000,11.940000,11.710000,11.710000,9.977871,3925400
2017-06-06,11.800000,12.000000,11.650000,11.910000,10.148290,7884800
2017-06-07,11.920000,11.920000,11.550000,11.570000,9.858579,5520300
2017-06-08,11.570000,11.600000,11.430000,11.560000,9.850059,3954000
2017-06-09,11.530000,11.720000,11.530000,11.720000,9.986391,2672400
