Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,34.189999,34.500000,34.099998,34.459999,31.096489,1320000
2017-04-18,34.470001,34.889999,34.439999,34.750000,31.358187,1662800
2017-04-19,34.759998,34.900002,34.520000,34.540001,31.168684,1147400
2017-04-20,34.570000,34.700001,34.250000,34.529999,31.159668,2002200
2017-04-21,34.509998,34.889999,34.500000,34.689999,31.304035,2009800
2017-04-24,34.900002,34.970001,34.770000,34.939999,31.529644,1476300
2017-04-25,34.970001,35.450001,34.950001,35.430000,31.971821,2620300
2017-04-26,35.369999,35.369999,34.889999,34.939999,31.529644,2438300
2017-04-27,35.040001,35.099998,34.910000,34.990002,31.574766,1352000
2017-04-28,34.950001,35.119999,34.889999,35.080002,31.655979,2166700
2017-05-01,34.869999,35.000000,34.779999,34.900002,31.493555,1865100
2017-05-02,34.900002,34.970001,34.689999,34.810001,31.412331,1223600
2017-05-03,34.799999,34.860001,34.430000,34.580002,31.204781,1446900
2017-05-04,34.560001,35.029999,34.529999,34.750000,31.358187,1518400
2017-05-05,34.860001,35.009998,34.560001,34.750000,31.358187,1109800
2017-05-08,34.779999,34.990002,34.320000,34.480000,31.114540,2103400
2017-05-09,34.549999,34.689999,34.320000,34.580002,31.204781,1747600
2017-05-10,34.610001,34.740002,34.389999,34.419998,31.060402,2239300
2017-05-11,34.250000,34.459999,34.110001,34.389999,31.033325,1424100
2017-05-12,34.380001,34.770000,34.349998,34.410000,31.051373,1245300
2017-05-15,34.400002,34.599998,34.259998,34.529999,31.159668,1682300
2017-05-16,34.549999,34.580002,34.169998,34.180000,30.843826,1873300
2017-05-17,34.180000,34.430000,34.130001,34.189999,30.852850,2583400
2017-05-18,34.169998,34.340000,33.840000,34.150002,30.816751,3416700
2017-05-19,34.290001,34.919998,34.200001,34.830002,31.430384,2554600
2017-05-22,34.930000,35.349998,34.790001,35.209999,31.773296,2267400
2017-05-23,35.209999,35.419998,35.139999,35.209999,31.773296,2120000
2017-05-24,35.230000,35.480000,35.119999,35.400002,31.944746,2347100
2017-05-25,34.049999,34.639999,32.939999,33.130001,29.896311,7972600
2017-05-26,33.090000,33.610001,33.070000,33.119999,29.887281,4113000
2017-05-30,33.049999,33.369999,32.900002,33.270000,30.022648,2767700
2017-05-31,33.340000,33.700001,33.320000,33.630001,30.347515,3091900
2017-06-01,33.820000,33.939999,33.480000,33.910000,30.600180,2365600
2017-06-02,34.009998,34.150002,33.900002,34.110001,30.780657,1972400
2017-06-05,34.070000,34.220001,33.860001,34.160000,30.825777,1113500
2017-06-06,34.169998,34.509998,34.099998,34.500000,31.132587,1858800
2017-06-07,34.509998,34.990002,34.509998,34.980000,31.565748,2022700
2017-06-08,34.980000,35.000000,34.000000,34.180000,30.843826,2359000
2017-06-09,34.279999,34.840000,34.230000,34.770000,31.376234,1995300
2017-06-12,34.810001,35.040001,34.730000,34.730000,31.340147,1653000
2017-06-13,34.750000,34.849998,34.470001,34.680000,31.295023,1737900
2017-06-14,34.849998,35.160000,34.540001,34.720001,31.331121,1552500
2017-06-15,34.900002,34.930000,34.480000,34.599998,31.222836,2276900
2017-06-16,34.750000,34.770000,33.490002,33.950001,30.636274,4102200
2017-06-19,34.000000,34.389999,33.459999,34.349998,30.997232,2353200
2017-06-20,34.330002,34.340000,33.900002,33.939999,30.627245,2211100
2017-06-21,33.910000,34.029999,33.549999,34.000000,30.681395,2414800
2017-06-22,34.029999,34.700001,33.810001,34.419998,31.060402,4037900
2017-06-23,34.369999,35.340000,34.369999,34.939999,31.529644,7690300
2017-06-26,35.090000,35.290001,34.779999,34.799999,31.403299,1468200
2017-06-27,34.650002,34.959999,34.139999,34.150002,30.816751,2092800
2017-06-28,34.459999,34.650002,34.130001,34.209999,30.870892,1703600
2017-06-29,34.090000,34.340000,33.779999,33.959999,30.645292,2017800
2017-06-30,34.049999,34.439999,34.049999,34.110001,30.780657,2246900
2017-07-03,34.270000,34.540001,34.150002,34.150002,30.816751,1083800
2017-07-05,34.160000,34.160000,33.660000,33.730000,30.437738,1621500
2017-07-06,33.650002,33.799999,33.130001,33.150002,29.914364,1779700
2017-07-07,33.230000,33.340000,33.060001,33.200001,29.959482,1438400
2017-07-10,33.160000,33.240002,32.650002,32.650002,29.463161,2330300
2017-07-11,32.580002,32.700001,32.259998,32.529999,29.354877,2072300
2017-07-12,32.660000,32.869999,32.490002,32.619999,29.436081,1827200
2017-07-13,32.549999,32.750000,32.419998,32.709999,29.671946,1643100
2017-07-14,32.770000,32.910000,32.680000,32.830002,29.780802,1350400
2017-07-17,32.830002,33.220001,32.680000,33.189999,30.107355,1594300
2017-07-18,33.189999,33.299999,32.770000,32.830002,29.780802,1200700
2017-07-19,32.860001,32.959999,32.439999,32.619999,29.590294,4302300
