Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,113.139999,114.419998,112.849998,114.269997,108.954140,709500
2017-04-18,113.870003,114.750000,113.290001,114.139999,108.830177,677700
2017-04-19,114.430000,114.900002,114.150002,114.379997,109.059029,556500
2017-04-20,114.709999,115.910004,114.470001,115.360001,109.993446,563600
2017-04-21,115.389999,115.820000,114.279999,115.019997,109.669250,682100
2017-04-24,116.610001,118.120003,116.449997,117.699997,112.224564,1097000
2017-04-25,116.760002,118.879997,116.570000,118.070000,112.577370,823500
2017-04-26,117.970001,119.089996,117.970001,118.750000,113.225739,567500
2017-04-27,119.000000,119.669998,118.820000,119.430000,113.874115,416900
2017-04-28,119.260002,119.330002,118.220001,118.320000,112.815742,669000
2017-05-01,118.309998,119.169998,117.540001,117.900002,112.415283,802200
2017-05-02,118.029999,119.279999,117.800003,118.849998,113.321075,872300
2017-05-03,118.739998,118.830002,118.040001,118.650002,113.130386,614500
2017-05-04,118.790001,119.870003,118.500000,119.400002,113.845490,1205100
2017-05-05,119.889999,119.989998,116.540001,118.230003,112.729927,1168400
2017-05-08,118.019997,118.089996,116.309998,116.680000,111.252022,762000
2017-05-09,116.750000,117.410004,116.519997,116.709999,111.280640,730100
2017-05-10,116.459999,117.519997,115.529999,116.610001,111.185303,594200
2017-05-11,116.220001,116.589996,114.620003,115.570000,110.193657,786800
2017-05-12,115.480003,115.989998,114.239998,114.769997,109.430878,773600
2017-05-15,114.500000,116.870003,113.959999,116.110001,110.708534,1168800
2017-05-16,116.110001,116.339996,114.809998,115.230003,109.869492,981600
2017-05-17,115.230003,115.230003,112.550003,112.949997,107.695557,1178200
2017-05-18,112.959999,113.980003,112.800003,113.389999,108.480042,909600
2017-05-19,113.620003,115.150002,113.349998,114.750000,109.781158,739300
2017-05-22,114.980003,115.580002,114.699997,114.970001,109.991623,541900
2017-05-23,115.010002,115.190002,114.480003,114.889999,109.915085,386700
2017-05-24,115.070000,115.769997,114.889999,115.050003,110.068146,762600
2017-05-25,115.650002,116.910004,115.300003,116.540001,111.493645,590500
