Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,112.739998,113.320000,112.680000,113.320000,97.856506,2917700
2017-04-18,113.440002,114.610001,113.400002,114.279999,98.685493,4574200
2017-04-19,114.419998,114.489998,113.480003,113.620003,98.115593,3044700
2017-04-20,113.519997,113.970001,113.389999,113.589996,98.089661,2973000
2017-04-21,113.550003,113.800003,113.269997,113.430000,97.951500,3885300
2017-04-24,114.360001,114.480003,113.910004,114.320000,98.720047,3221500
2017-04-25,114.209999,114.570000,114.000000,114.160004,98.581894,3643600
2017-04-26,111.750000,113.760002,111.339996,113.330002,97.865150,5343900
2017-04-27,113.099998,113.440002,112.510002,112.639999,97.269310,4096200
2017-04-28,112.339996,113.430000,112.190002,113.279999,97.821960,4872000
2017-05-01,112.930000,113.110001,112.269997,112.279999,96.958427,4074300
2017-05-02,112.750000,112.889999,112.070000,112.290001,96.967049,3082400
2017-05-03,112.389999,112.709999,111.699997,111.790001,96.535309,3342600
2017-05-04,112.169998,113.000000,111.809998,112.959999,97.545631,3488800
2017-05-05,113.040001,113.279999,112.739998,113.220001,97.770157,3046100
2017-05-08,113.199997,113.430000,112.779999,113.220001,97.770157,3097200
2017-05-09,113.239998,113.410004,112.550003,112.720001,97.338409,2708200
2017-05-10,112.699997,112.870003,112.480003,112.839996,97.441994,2160100
2017-05-11,112.639999,113.089996,112.529999,113.040001,97.614700,2277200
2017-05-12,112.930000,113.300003,112.720001,112.910004,97.502457,2383500
2017-05-15,112.900002,114.000000,112.769997,113.940002,98.391914,3500300
2017-05-16,114.059998,114.660004,113.589996,113.790001,98.262383,2444300
2017-05-17,113.790001,114.290001,113.320000,113.739998,98.219193,2999300
2017-05-18,113.779999,114.279999,113.290001,114.029999,98.469620,3439500
2017-05-19,114.169998,114.500000,113.459999,113.690002,98.176033,5750100
2017-05-22,113.690002,115.000000,113.690002,114.699997,99.048195,3324000
2017-05-23,114.709999,115.440002,114.709999,115.050003,99.350441,3261300
2017-05-24,115.309998,116.330002,115.120003,116.059998,100.222618,2816000
2017-05-25,116.360001,117.680000,116.150002,117.529999,101.492012,3596200
2017-05-26,117.250000,118.000000,117.199997,117.910004,101.820183,3104800
2017-05-30,117.739998,118.120003,117.500000,118.010002,101.906525,3231600
2017-05-31,116.910004,117.940002,116.870003,116.870003,101.615250,5232900
