Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,123.630119,121.03088,122.0048507,121.094439,121.213127,122.3774193
2022/1/24,121.655258,119.9388577,122.0321285,122.4257686,124.730537,121.451205
2022/1/25,121.114868,120.3892287,120.3166359,122.0028453,119.680397,120.8058421
2022/1/26,117.970818,120.0226627,120.0687621,120.6113898,120.574478,119.170613
2022/1/27,118.334358,118.0885264,117.126441,117.7844491,114.826768,118.1189025
2022/1/28,123.158516,117.541128,117.1615044,115.5650186,118.697898,118.8331144
2022/1/31,125.231621,119.3929487,122.2113977,120.5923345,127.982674,119.2326065
2022/2/1,124.976158,124.8513838,118.3249174,126.0044009,127.304726,121.5968019
2022/2/2,127.76651,125.2511557,124.2540907,126.9500705,124.720695,123.2543218
2022/2/3,127.835297,128.2250084,127.1839571,130.2193086,130.556862,126.2796851
2022/2/4,127.442284,129.0120677,127.4010074,129.7002173,127.904084,125.9416761
2022/2/7,125.81131,133.2300264,123.2400638,128.9063835,127.049271,124.9539801
2022/2/8,126.40081,127.2836775,124.220869,127.05211,124.180336,124.6280043
2022/2/9,128.208649,127.2404773,126.4230802,126.1900412,126.99031,126.3923632
2022/2/10,125.526375,128.4893757,128.5331405,127.2827745,130.016488,127.0060478
2022/2/11,123.296059,126.9125661,126.0619228,126.5602397,122.844101,126.6647045
2022/2/14,120.633438,123.2904052,125.3990503,124.0007104,121.065743,125.5349044
2022/2/15,121.812462,120.1162483,125.1437399,119.5005202,117.970817,124.1805343
2022/2/16,121.517708,120.788627,121.9988126,117.4886438,122.991486,122.9287662
2022/2/17,118.471909,119.6552103,121.6437459,120.1957304,121.222954,120.5366737
2022/2/18,114.748161,118.1372592,117.9674627,118.3767181,115.42611,118.1037976
2022/2/22,115.455574,114.9707954,114.7001843,114.6135708,111.024413,115.9441032
2022/2/23,115.200127,113.6738134,115.1646627,113.2209166,116.162987,114.8110397
2022/2/24,116.644424,113.1745096,114.5682722,112.3996912,114.94468,115.2704928
2022/2/25,120.26992,113.9067938,116.0785436,115.6899645,118.088721,116.3341558
2022/2/28,118.5112,119.7264253,118.3556514,120.6701197,123.895416,117.3985953
2022/3/1,116.104042,118.2756796,117.7615907,120.7043286,116.75248,116.9768107
2022/3/2,118.255745,116.1817229,114.8131898,118.1094733,113.696884,115.6398227
2022/3/3,118.855087,118.2122551,114.3446875,118.1007967,120.407448,115.7957463
2022/3/4,119.287399,119.0527203,118.2293617,117.7157001,119.454429,117.1106469
2022/3/7,116.781982,119.2874757,118.7578915,119.3697126,119.719711,117.7606932
2022/3/8,114.080063,118.4520498,116.2948263,119.649949,114.276565,116.3028321
2022/3/9,116.320198,115.3976351,113.8557785,113.6751152,111.378144,115.2956498
2022/3/10,114.954491,115.6974705,115.7363447,114.1400211,118.560333,114.8069453
2022/3/11,112.026588,114.9174635,114.8287127,113.4742593,113.588784,114.336504
2022/3/14,113.500359,111.6568381,112.4444546,112.0828653,109.098685,113.4454472
2022/3/15,115.426102,110.7874827,113.0631742,112.6862028,114.97413,113.1848487
2022/3/16,117.391136,112.8659175,114.0469172,113.2744206,117.351845,114.3278456
2022/3/17,119.081062,116.8573292,115.8734455,117.6688952,119.35617,115.7843934
2022/3/18,120.309212,119.1844344,117.4328174,120.3901303,120.770988,117.3980581
2022/3/21,119.631287,120.9360375,118.8879114,122.3521148,121.537362,118.1060159
2022/3/22,119.758995,120.5576256,117.9973189,121.0936836,118.953362,117.9764089
2022/3/23,114.875885,120.8462682,117.0439965,120.5666986,119.886703,116.6288163
2022/3/24,115.760155,115.5675774,114.8451336,114.7800156,109.992775,115.8840258
2022/3/25,116.870392,115.9558848,115.7629472,114.374903,116.644425,115.7992762
2022/3/28,117.89222,116.6086157,116.7897479,114.5548162,117.980629,116.7234354
2022/3/29,118.088722,117.4395734,117.6176111,116.4311795,118.914048,117.413258
2022/3/30,118.275398,115.9903286,117.832415,118.430066,118.285224,117.9534232
2022/3/31,116.290718,117.984844,118.4102437,119.0120125,118.462074,117.5672898
2022/4/1,116.506874,116.5590177,116.4592107,116.600881,114.306038,117.2211151
2022/4/4,116.80162,116.4547395,116.793891,116.1989912,116.72303,116.7198342
