Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,211.874237,215.2052864,213.9370063,213.0324255,210.56668,213.6489863
2022/1/24,212.957367,209.829044,209.5699797,209.327987,208.77121,210.7680886
2022/1/25,211.630295,207.468147,208.7972798,209.0306551,214.040497,209.2143637
2022/1/26,192.680344,207.6746561,209.2758316,209.0630264,210.303223,202.8724234
2022/1/27,191.665527,197.4838354,190.5441588,194.1308781,173.730393,193.8331529
2022/1/28,194.446548,191.2103766,181.6794683,186.3574336,190.65071,188.3615677
2022/1/31,201.179535,187.4184636,192.861076,183.0244285,197.227569,191.0552526
2022/2/1,200.58429,190.0738729,198.6252135,192.2718836,207.912522,196.4398501
2022/2/2,202.867661,192.8779922,197.8332607,201.0127375,199.989045,195.9355454
2022/2/3,200.164719,200.9325391,191.348162,206.4446693,205.151032,193.5005258
2022/2/4,201.257599,199.4397837,191.3201546,202.9505573,197.461777,191.2725155
2022/2/7,200.994125,201.3346872,191.14923,201.9230963,202.350479,191.3137378
2022/2/8,203.365311,203.9997665,191.4718288,201.8361932,200.730651,194.7787673
2022/2/9,206.048752,204.3587718,201.715243,200.8590114,205.736497,199.3031315
2022/2/10,200.564774,206.3975124,204.7223226,206.820259,208.732193,201.9689721
2022/2/11,198.857132,203.5223888,199.4693508,203.0390449,195.080796,200.7546801
2022/2/14,197.090958,201.2449867,198.0723669,199.9485757,197.14949,198.0030201
2022/2/15,199.081589,199.3598507,196.4673426,195.7242737,195.324784,197.6205552
2022/2/16,199.296249,198.4617617,198.3219562,193.3641989,201.07222,197.8877836
2022/2/17,195.607758,197.7998463,198.8740521,198.3456156,199.510909,197.6271709
2022/2/18,195.597961,195.6339445,195.6855044,196.8917808,191.919267,196.9278056
2022/2/22,195.06131,193.6873411,196.2238604,195.2181925,195.588164,195.6679108
2022/2/23,191.538666,193.9461136,195.0943676,194.0218026,194.524659,193.8196671
2022/2/24,195.37355,192.4720479,190.1407733,190.4882058,188.016022,193.2884399
2022/2/25,199.413361,193.6216871,194.6301789,193.0789651,199.208434,193.6249061
2022/2/28,199.491394,194.4406399,196.103766,197.6971474,203.453172,196.0625119
2022/3/1,197.412949,199.3934978,197.453591,200.8429867,199.569427,196.2936898
2022/3/2,201.296631,197.8352206,195.3237124,200.0916822,195.334504,196.2722783
2022/3/3,199.745117,200.7785001,196.0395315,202.1825172,205.180313,195.9616163
2022/3/4,203.414108,201.5926678,196.5216048,200.4616389,198.193603,196.9595649
2022/3/7,203.345795,204.1500051,198.3175583,202.2573903,207.083099,199.3872196
2022/3/8,200.408661,204.8963239,203.3224957,206.8106884,203.277482,200.8048576
2022/3/9,204.624084,203.2468241,200.7745187,202.4454268,197.471527,202.8832952
2022/3/10,205.379181,204.4770853,204.5528711,204.7697612,208.839507,203.6609619
2022/3/11,203.260971,205.9406663,205.655496,205.9041081,206.134278,204.7367368
2022/3/14,202.996201,205.6723254,204.0018434,205.0628036,201.142761,204.4990348
2022/3/15,208.203476,205.0999642,203.839765,204.9744354,202.731431,204.9592625
2022/3/16,208.350586,203.1737716,207.0361792,206.608613,213.410751,206.3451999
2022/3/17,209.782349,207.8935011,208.1596556,208.7999101,208.497696,208.2276829
2022/3/18,210.53746,209.9400646,209.4872139,211.2812383,211.214112,209.4542064
2022/3/21,208.419205,211.2342241,210.7157496,214.0977614,211.292571,210.2786591
2022/3/22,211.047409,211.2163639,210.6330139,209.4541006,206.30095,210.9365494
2022/3/23,208.458466,212.1447217,211.4608849,210.744185,213.675613,211.2008644
2022/3/24,212.753738,210.8139286,211.5086945,209.1305048,205.869523,211.8578168
2022/3/25,214.803299,210.0720072,212.6038712,210.2514173,217.04901,212.709294
2022/3/28,216.382187,213.796678,214.0153163,215.0866073,216.85286,214.01163
2022/3/29,220.598999,216.060775,215.4157026,218.1522151,217.961075,215.5041864
2022/3/30,223.35466,221.0710063,217.0815402,222.5249367,224.815811,217.6902153
2022/3/31,223.138901,224.6917375,220.5734031,226.1163264,226.110321,220.108721
2022/4/1,228.983627,225.916604,222.6712196,226.8309734,222.923142,222.7353929
2022/4/4,230.631134,231.7694223,224.9615559,231.0873768,234.828353,227.1285756
2022/4/5,233.396576,231.7849014,233.7529513,232.9299525,232.278641,231.6560089
2022/4/6,233.190643,237.0484444,236.2535195,236.3213878,236.162018,235.3252382
2022/4/7,233.886902,237.3536998,235.9692438,238.7178078,232.98471,235.8906447
2022/4/8,233.112198,237.4338435,235.4491707,235.7207901,234.583161,235.5036624
2022/4/11,226.492752,235.6104165,235.0925727,234.0162212,232.337494,232.8914768
2022/4/12,226.590805,227.406724,228.1326868,226.1868471,219.873306,232.6375706
2022/4/13,229.218979,226.8686986,234.6874524,224.8313989,226.688858,233.1507071
2022/4/14,224.7668,228.5013692,236.6319821,224.4894505,231.847153,235.4409133
2022/4/18,222.805481,224.8710393,235.0033056,224.1008521,220.314621,231.8188468
2022/4/19,225.159073,221.905253,223.8212526,222.842387,220.844162,228.2648841
2022/4/20,228.120636,219.1801158,225.9700941,222.7315108,227.512665,226.1649458
2022/4/21,225.727829,224.6704387,228.7034907,225.4879794,231.082199,226.9197272
2022/4/22,219.196655,224.9923992,226.0855968,226.1148857,223.335022,224.6761651
2022/4/25,222.668182,222.1374491,219.2394077,221.5924179,212.665481,222.5985766
2022/4/26,217.980652,220.8683379,222.4707253,220.8826073,226.139709,219.8790044
2022/4/27,223.590012,219.6281922,217.92688,216.087235,213.293122,220.7069527
2022/4/28,225.237503,219.8518388,221.7232528,219.9553271,229.199372,221.3206169
2022/4/29,213.95993,221.223487,224.311718,224.6980864,226.884994,221.3172453
2022/5/2,215.077911,216.3913165,217.9167651,217.180576,202.682357,219.4617812
2022/5/3,217.254974,215.7508366,216.1568605,214.0518969,216.195892,216.7186925
2022/5/4,224.452988,216.0530318,216.0824518,212.8171182,219.432037,218.4222756
2022/5/5,214.332611,217.6889823,223.0275146,220.2250867,231.651002,217.0389296
2022/5/6,212.743942,217.1038189,212.0068225,222.2010085,204.212234,216.0650663
2022/5/9,205.732224,213.406592,213.1608619,214.7089337,211.155273,211.7247909
2022/5/10,208.23291,208.7669823,210.0066883,204.3439851,198.720506,212.4824312
2022/5/11,204.496582,207.7418666,214.2797436,196.5475517,210.733596,211.8461319
2022/5/12,203.466888,203.3345511,211.2519638,201.1778783,200.760254,208.8973145
2022/5/13,204.751572,201.0192771,201.1602361,198.7296619,202.437194,205.2452554
2022/5/16,204.565247,201.7886417,203.3235665,202.5844203,206.036256,202.5035326
2022/5/17,210.802231,202.1965231,203.0267952,203.5691086,204.378922,203.3003191
2022/5/18,204.467178,210.0458155,203.5505955,211.0131801,217.039215,203.0912251
2022/5/19,202.849106,205.2704114,202.6962845,209.9243275,198.132125,202.2017689
2022/5/20,204.604477,204.3866186,200.3584265,203.9914989,201.231034,201.1447183
2022/5/23,208.840912,204.4966995,200.3794438,202.7921572,206.359848,200.5802197
2022/5/24,208.615356,207.0175445,201.0027887,204.7498886,213.077347,203.0426963
2022/5/25,209.762726,207.2616049,207.7458565,209.2352593,208.3898,205.9658608
2022/5/26,214.058014,209.009033,209.1489371,212.0495161,210.910096,209.7291076
2022/5/27,220.314621,211.9221284,212.2925291,214.9621645,218.353302,214.1376996
2022/5/31,218.627884,221.2092748,220.9716326,221.1807205,226.571228,218.3238281
2022/6/1,215.077911,221.5094104,221.7073225,223.1571544,216.941147,219.393882
2022/6/2,219.382996,220.7934391,215.502691,219.7570357,211.527938,219.0886378
2022/6/3,216.411575,221.8588083,220.0559,220.0015041,223.688081,217.602515
2022/6/6,215.264221,220.5426043,217.2489541,216.889522,213.440154,217.7346834
2022/6/7,217.980652,216.3670745,215.899196,215.5032909,214.116867,217.2676213
2022/6/8,215.73494,218.0670176,218.6547138,217.5550011,220.697083,218.4153489
2022/6/9,212.532654,212.2502543,220.692137,215.5157441,213.489228,219.7046696
2022/6/10,208.512573,216.7706673,219.7671582,213.5490674,209.330368,216.5287031
2022/6/13,201.753296,210.5833239,209.1268142,207.1781635,204.492492,210.322858
2022/6/14,201.132553,200.7471053,202.0746018,198.8787723,194.994019,202.0154047
2022/6/15,204.108185,198.7489963,194.8447981,195.4915965,200.51181,200.3083108
2022/6/16,197.004074,201.3979605,204.0055325,198.6351926,207.083817,197.5511216
2022/6/17,197.339081,195.3629899,193.8030342,196.0408632,189.899963,198.1134428
2022/6/21,203.80275,193.477494,196.5317618,196.0293395,197.674088,197.7300637
2022/6/22,204.354538,197.5540502,202.8553951,200.5270818,210.266419,200.8151411
2022/6/23,207.487839,203.1268682,203.0582665,204.3684636,204.906326,202.9564746
2022/6/24,215.577271,207.2023668,202.9557624,209.1924167,210.62114,202.3966479
2022/6/27,215.104324,216.2499286,201.1759147,217.5678787,223.666703,206.1759649
2022/6/28,210.916733,217.2852129,214.3962176,219.1447722,214.631377,206.7511771
2022/6/29,209.074203,222.3634725,204.681399,216.6252852,206.729142,208.2527262
2022/6/30,206.95575,211.5705585,205.6805622,209.9258639,207.231673,205.6729479
2022/7/1,210.098923,208.579845,206.6568824,205.7363726,204.837297,207.4341134
2022/7/5,209.35994,210.3934308,209.9648955,206.6494486,213.242096,208.663936
2022/7/6,214.069733,209.4950629,209.3700302,208.6394473,208.620957,210.8674582
