Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,231.817413,232.5787783,233.2547688,231.8307479,230.639144,233.3204962
2022/1/24,230.275146,230.9126555,230.8501889,230.1343344,230.505081,231.1590992
2022/1/25,231.338425,229.0361821,229.37234,228.39214,228.732879,230.4689927
2022/1/26,230.380493,228.2683483,231.1844493,229.4716412,232.401704,230.0808677
2022/1/27,227.228958,228.9959498,229.6858137,229.5529081,229.422561,228.7905108
2022/1/28,233.120178,226.6709793,225.5012692,227.5727323,224.077423,228.9637068
2022/1/31,233.953552,229.4786683,231.7040375,231.2218026,239.011398,229.8918697
2022/2/1,234.193024,233.0775994,232.4703022,234.2239497,234.786926,231.5252055
2022/2/2,241.042206,234.2725841,230.4012767,235.4721029,234.432496,231.5438389
2022/2/3,239.681961,240.5390077,231.7599378,241.9024716,247.891388,233.8609744
2022/2/4,236.894394,241.1267873,239.4217087,242.6875374,238.321716,235.9634573
2022/2/7,234.087662,245.0165742,236.7087255,240.2968979,234.106827,236.7198258
2022/2/8,230.370941,239.9777488,234.0290433,234.3762576,231.28093,233.6463972
2022/2/9,238.283386,231.27109,230.2014227,228.8384591,226.65422,234.1654695
2022/2/10,231.817413,235.8641403,238.2659424,233.4360998,246.195831,233.631731
2022/2/11,230.54335,233.2462984,232.4278279,234.9897188,225.35144,234.7813261
2022/2/14,228.129379,230.4559901,233.650208,232.2660224,229.269287,233.1526889
2022/2/15,229.863235,228.2365151,233.3800309,232.0277806,225.715408,232.3049614
2022/2/16,229.777008,227.8244355,229.8846455,222.4101402,231.597091,231.0053238
2022/2/17,226.203979,228.1657003,229.7512951,228.5410738,229.690781,228.6776267
2022/2/18,225.198151,226.0427128,226.3969396,227.1401484,222.63095,226.8570291
2022/2/22,226.309326,224.5627166,224.4228526,224.9144262,224.192323,225.1460277
2022/2/23,224.518005,224.8239408,224.6182909,224.197007,227.420501,224.3740681
2022/2/24,226.424286,224.082523,224.0810607,223.4229035,222.726684,224.4158227
2022/2/25,233.781128,224.6625203,224.5481164,225.5272897,228.330567,224.9314204
2022/2/28,228.550873,228.3824227,226.1650843,232.4546968,241.13797,225.6007027
2022/3/1,224.326416,229.4191801,226.0889073,232.6449763,223.320618,225.6481472
2022/3/2,230.552933,231.1882385,224.69045,227.7474449,220.101959,225.6265605
2022/3/3,232.871109,230.4341661,226.1003241,228.6962803,236.77945,225.9516122
2022/3/4,236.932709,231.9637248,227.0640624,229.5450677,235.189285,227.5486557
2022/3/7,234.288834,236.177415,229.4815806,238.2088383,240.994309,229.130793
2022/3/8,229.853653,235.1993204,230.8467358,242.5605454,231.644959,230.4734642
2022/3/9,234.173889,233.594438,231.0920761,231.1988818,225.418472,231.9465065
2022/3/10,233.752396,234.3716096,233.9007076,232.5944733,238.494125,233.0338032
2022/3/11,230.974411,236.0934017,234.108626,233.368581,233.330903,233.9618826
2022/3/14,229.250168,231.8436379,233.8763144,231.5280813,228.196426,233.1301825
2022/3/15,230.112289,230.1619872,231.4056072,230.8665056,227.525925,232.8644984
2022/3/16,232.784897,229.2065969,233.3115735,229.0525253,230.97441,232.8422176
2022/3/17,235.620346,229.9932425,233.8094719,232.0005981,235.457505,233.8693022
2022/3/18,235.055176,232.8375728,234.4868612,236.3655816,238.455795,234.3648929
2022/3/21,234.52832,235.4973163,234.7983455,237.015686,234.490006,233.4163498
2022/3/22,232.842392,234.8308644,230.9638428,236.7898425,234.001464,233.4032422
2022/3/23,231.280945,233.2447217,234.4475384,233.3535128,231.156464,232.9530134
2022/3/24,232.966888,231.6660308,233.4476591,230.6906254,229.719498,233.9430708
2022/3/25,236.836914,233.1392388,233.9340148,231.1326676,234.652831,234.6865578
2022/3/28,239.471191,237.1127955,236.6779994,236.6772626,240.70694,235.2498095
2022/3/29,247.393234,239.8540398,235.1374142,240.8041874,242.105468,239.8515363
