Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,107.282036,108.5580612,109.8238838,107.811803,106.138343,112.1312586
2022/1/24,107.835129,106.1502199,107.5657486,104.8518845,105.22902,108.4456474
2022/1/25,107.103912,106.5195724,107.9473099,104.4188498,108.388222,106.2327146
2022/1/26,107.469513,105.4904873,103.1850854,105.4745808,106.372695,104.9130869
2022/1/27,103.560341,105.9200601,103.6068653,106.6408884,107.835114,102.4412766
2022/1/28,106.213333,102.245887,100.531879,105.1679491,99.651169,103.2979402
2022/1/31,105.069641,104.2598,105.7550762,103.2214811,108.866325,103.5231265
2022/2/1,108.256981,103.9149868,104.2824244,104.4383236,103.925949,105.1190185
2022/2/2,108.303841,105.6914762,105.319555,105.7796773,111.444321,105.7047605
2022/2/3,106.550819,108.3043086,107.5123023,111.7016736,108.350701,106.2037889
2022/2/4,105.650864,107.0267858,105.7795096,108.1725908,104.797797,106.069786
2022/2/7,106.728935,107.0138456,104.9175461,106.295323,104.750909,104.5931727
2022/2/8,106.653923,107.0633357,103.0824625,106.2409742,107.807006,104.6821431
2022/2/9,109.241302,106.9251271,106.0464208,106.0745831,106.578911,105.9594669
2022/2/10,108.350731,107.8870437,108.7495175,109.3582104,111.828681,107.6013516
2022/2/11,110.309998,108.2671294,108.0081166,110.1530541,107.46016,108.9003113
2022/2/14,109.635033,110.1614245,109.9432999,110.3062902,112.269265,109.5647983
2022/2/15,112.40052,110.2268454,110.7429784,111.8390019,108.960068,110.9669848
2022/2/16,114.912888,111.469141,112.214676,111.2516344,115.166007,111.6773936
2022/2/17,114.387917,114.7897921,112.0745264,115.8128663,117.425256,112.5277207
2022/2/18,113.619209,115.1837789,113.2939598,116.3815558,113.862946,113.1958972
2022/2/22,113.628586,115.7479681,114.2192054,116.1093091,112.850501,114.0596988
2022/2/23,110.994339,116.2268198,114.6659312,114.1553079,113.637963,113.7498254
2022/2/24,112.503639,111.8220025,112.3643397,110.6814753,108.360092,113.8469216
2022/2/25,115.737854,112.6388449,114.5104938,110.6117601,114.012939,113.9933485
2022/2/28,114.659775,115.7047089,115.1052121,114.1535963,118.972069,115.0303747
2022/3/1,113.281731,113.8425551,115.4754182,115.4181876,113.581696,114.7865299
2022/3/2,115.212875,113.6856367,113.7789593,114.5256164,111.903687,115.2276511
2022/3/3,114.847267,114.7029306,116.4285758,115.4992983,117.144019,115.1822996
2022/3/4,115.456612,115.4446198,115.3393638,114.9226831,114.481659,115.9100306
2022/3/7,113.534836,116.1402835,115.9621522,115.3784418,116.065957,115.1441845
2022/3/8,114.416046,114.8958677,114.1310374,115.6825035,111.61306,115.1882365
