Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,238.581635,243.1401209,243.2341187,242.7990637,242.848449,243.4882786
2022/1/24,239.370712,237.3908874,238.1833812,237.4765824,232.902284,239.539863
2022/1/25,237.7341,237.7096216,237.2020892,236.3971524,240.159789,236.8587002
2022/1/26,236.876877,233.3797473,235.1906301,234.6479227,236.097488,236.1422989
2022/1/27,235.678635,233.8982551,236.0341773,234.8446018,236.019654,235.2380019
2022/1/28,238.455002,232.970242,234.4891983,235.6850691,234.480393,235.7853059
2022/1/31,239.507095,235.0260082,236.8325422,235.6693294,241.231369,235.1106811
2022/2/1,245.488434,238.4425416,234.0103029,239.6109473,240.559188,235.3025616
2022/2/2,245.31308,245.5517555,235.0648398,246.7198143,251.469773,237.8296853
2022/2/3,240.929367,246.2029755,244.4139134,249.7667084,245.137726,239.3654004
2022/2/4,237.802322,242.2846854,238.617448,245.2715528,236.545654,240.1872086
2022/2/7,237.432114,243.5093656,237.5302643,237.860755,234.675277,237.7336383
2022/2/8,237.558777,237.8607998,237.0532027,235.8022293,237.061906,237.1862293
2022/2/9,237.928955,237.4910841,236.9752208,234.0965357,237.68544,237.1477707
2022/2/10,234.197922,237.3109969,237.4148886,236.7817203,238.299133,236.5245308
2022/2/11,226.209808,233.4063977,235.1834831,235.9336711,230.466889,235.1189179
2022/2/14,222.556717,228.0069409,232.7583819,224.6485544,218.221694,229.9478741
2022/2/15,224.446579,219.7953405,221.9017572,219.0647402,218.903626,225.959972
2022/2/16,223.092484,221.7580337,223.2197768,217.1964185,226.336441,222.4643126
2022/2/17,218.572388,220.6342086,222.271404,220.0752646,221.738389,221.1848239
2022/2/18,216.487671,215.8973053,218.0632909,216.9746514,214.052292,218.0138817
2022/2/22,212.162384,212.6287767,213.7069502,215.5307358,214.402954,213.2731512
2022/2/23,209.28862,209.4515977,208.0492124,209.7467207,207.837097,209.6288924
2022/2/24,210.340744,206.6583751,207.1305146,204.9608427,206.414856,207.7372206
2022/2/25,215.016678,206.5969205,208.0319348,206.2057959,211.392868,209.1327392
2022/2/28,216.526642,213.2417548,212.2357682,213.5547933,219.692612,208.8014605
2022/3/1,209.356827,215.2004836,206.1366784,217.2231293,218.036606,208.1913853
2022/3/2,213.584686,208.8298694,206.2017093,214.8426798,202.187012,205.8459349
2022/3/3,215.591446,211.9299809,205.1994169,212.8709614,217.812545,205.8160561
2022/3/4,209.707031,214.4283092,206.047042,213.850027,217.598206,205.5214665
2022/3/7,196.560043,215.035492,205.3179408,210.6639756,203.822616,202.0882665
2022/3/8,199.394714,196.9162047,194.8998167,199.5705524,183.413055,199.2167691
2022/3/9,211.837952,197.2268149,197.4325499,194.72874,202.229385,199.781478
2022/3/10,214.340286,201.0384075,207.0120675,201.9692757,224.28119,204.3476292
2022/3/11,208.37767,206.7078001,208.5982702,214.990799,216.84262,207.7889669
2022/3/14,206.373871,206.4787996,207.7565631,214.2276661,202.415054,207.1997661
2022/3/15,211.358994,207.5378231,205.2444651,208.6511617,204.370072,207.7402363
2022/3/16,220.840469,211.0937987,210.2196807,210.8170409,216.344117,208.3513081
2022/3/17,222.844284,217.8225974,209.5897785,217.5110315,230.321944,210.9578954
2022/3/18,213.978622,222.7874977,213.0642271,225.9904884,224.848099,212.2729288
2022/3/21,217.155396,220.5684665,214.1647807,223.6498567,205.11296,214.8254227
2022/3/22,221.466049,221.2542508,217.2472604,218.4174555,220.33217,216.3345615
2022/3/23,216.480942,222.2525172,217.5916435,220.0196157,225.776702,217.5079201
2022/3/24,220.048706,220.8380238,217.6848563,217.193278,211.495835,218.5526767
2022/3/25,221.456284,220.8626068,220.3815302,219.7584734,223.61647,218.0433214
2022/3/28,224.867661,213.6047314,216.0635776,221.7210267,222.863862,221.175758
2022/3/29,233.19574,222.3933899,227.0821661,222.3312504,228.279038,227.3086267
2022/3/30,229.950531,232.6673024,238.7801362,235.5791584,241.523819,233.9566698
2022/3/31,226.177475,232.5362621,236.007707,235.3839704,226.705322,234.2445078
2022/4/1,216.2659,232.0999787,227.9456802,231.0649196,222.404419,229.3591763
2022/4/4,213.079346,227.3919547,224.1241418,215.8241639,206.354325,226.020396
2022/4/5,206.276123,212.9055202,225.9913661,209.0552955,209.892792,224.2561863
2022/4/6,199.40448,204.5354075,222.6530508,200.4518112,199.4729,220.5588954
