Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,226.410004,233.082674,234.702996,231.2147702,229.59999,236.5625159
2022/1/24,225.449997,224.8006702,227.198162,223.8460715,219.230012,233.262721
2022/1/25,225.770004,222.737332,237.8870052,221.5539803,224.48999,233.2268397
2022/1/26,223.800003,217.2368064,234.5953519,219.7726287,226.090011,232.0175236
2022/1/27,223.089996,219.0107597,223.5702138,221.2864902,221.830002,226.6903115
2022/1/28,231.309998,220.242242,221.905369,221.6224268,222.379989,225.3195327
2022/1/31,238.259995,228.809985,230.4830155,228.4769042,239.53,229.6484505
2022/2/1,240.690002,238.0531611,236.5569671,240.403245,245.209992,234.1498249
2022/2/2,241.179993,241.9065019,235.409492,244.8809608,243.120009,234.1044322
2022/2/3,233.990005,243.6374198,230.3468375,248.9543393,241.669984,233.0488541
2022/2/4,236.190002,236.1456716,233.3902328,236.7995303,226.800017,231.0900664
2022/2/7,235.259995,243.384519,229.5331289,235.8641615,238.389999,231.5933574
2022/2/8,236.270004,237.0674301,231.8567104,233.0259204,234.329988,232.4695559
2022/2/9,252.0,237.1791838,236.0188284,234.6782895,237.280013,240.0172848
2022/2/10,247.429993,242.3842819,252.1763156,251.1936877,267.729996,245.5136171
2022/2/11,246.470001,246.1844233,248.3457071,253.6244369,242.859986,249.2943822
2022/2/14,244.690002,248.6904465,247.3611237,254.7548399,245.510009,247.4470372
2022/2/15,244.300003,248.3984965,246.6342808,249.0637412,242.910003,245.8602722
2022/2/16,244.289993,249.1108832,243.5854122,244.1028518,243.910004,246.209588
2022/2/17,235.389999,248.092716,248.4090709,242.9444951,244.279983,248.3602817
2022/2/18,233.509995,237.7785727,253.086362,236.0169801,226.490005,248.9546268
2022/2/22,237.300003,233.0134209,245.3684475,231.2245775,231.629991,245.4728615
2022/2/23,234.880005,233.4716731,237.9637749,230.7919598,241.090011,239.5238712
2022/2/24,235.580002,231.1297162,235.2393911,232.926904,232.460007,236.272442
2022/2/25,237.889999,231.7824967,235.6141601,234.7507759,236.279999,236.278635
2022/2/28,234.199997,233.3181052,237.9823537,238.1079025,240.199996,236.6147406
2022/3/1,226.110001,233.5776057,236.2477079,234.1948024,230.509995,233.5629592
2022/3/2,235.520004,235.8000344,226.4588159,227.1494719,218.020005,231.9471326
2022/3/3,233.330002,229.9988332,233.134874,229.193276,244.930007,230.7967971
2022/3/4,226.330002,229.0182942,232.7967013,230.9968209,231.14,230.6834792
2022/3/7,219.130005,228.2473228,226.1188623,228.9482704,219.330002,226.2412885
2022/3/8,228.210007,222.5787985,219.8083019,220.7826022,211.930008,223.1907226
2022/3/9,230.25,221.525256,223.6450037,220.7786021,237.290009,222.4938184
2022/3/10,230.850006,225.0189616,224.0281496,228.7940897,232.289993,224.1101821
2022/3/11,229.539993,227.7004282,224.6573931,231.7251377,231.450012,224.860164
2022/3/14,226.470001,227.6472416,225.8949494,237.8502616,228.22998,225.3213749
2022/3/15,229.410004,226.2756459,225.4117823,227.4717723,223.400009,225.811204
2022/3/16,236.529999,229.2931066,226.1268804,227.7129137,232.350007,226.4503472
2022/3/17,236.820007,234.7875799,227.8123788,234.2468241,243.649994,227.610169
2022/3/18,239.210007,238.3846746,228.8912479,238.7873729,237.110015,231.9391996
2022/3/21,241.240005,240.3495026,239.113972,242.3924082,241.600007,237.3303861
2022/3/22,243.559998,242.7445723,243.9859385,244.6597724,243.270003,243.3103409
2022/3/23,240.240005,245.5018525,246.8311123,245.8190313,245.879991,245.6317378
2022/3/24,243.690002,246.3509869,246.0781627,243.4303985,236.920012,246.3156021
2022/3/25,246.029999,245.6537244,246.0375313,244.1310312,247.139999,246.3387002
2022/3/28,243.020004,247.4781928,246.9004067,245.5084429,248.369996,245.7884921
2022/3/29,249.470001,246.1924629,244.4275383,244.4393037,240.010009,247.1972035
2022/3/30,250.220001,248.2111604,250.2636654,249.5288524,255.919998,248.5950637
2022/3/31,249.059998,247.9791361,251.0939874,250.8785996,250.970001,251.1982255
2022/4/1,249.600006,252.7618425,252.2370238,251.5844523,247.899995,251.5513598
2022/4/4,253.839996,254.2819508,251.3230684,252.3332912,250.140014,252.8449473
2022/4/5,256.5,251.2841119,254.9747497,253.9924933,258.079986,254.4176528
2022/4/6,253.639999,256.7737052,256.9551404,257.8284846,259.160004,256.5215671
2022/4/7,249.660004,257.1473906,257.6348111,257.1143471,250.779998,256.3441296
2022/4/8,250.5,251.1282867,254.4424372,250.4430281,245.680009,255.1604511
2022/4/11,250.169998,252.2877539,253.404105,249.7044594,251.339996,254.4126948
2022/4/12,250.740005,250.2729948,255.3915421,247.6221755,249.839996,253.4527027
2022/4/13,257.089996,250.5943634,251.5624609,249.6909639,251.310012,254.3025021
2022/4/14,258.670013,256.5465251,255.9535034,257.4576301,263.439987,254.7185285
2022/4/18,255.699997,258.7434278,256.6396213,260.575381,260.25003,256.8398555
2022/4/19,261.109985,256.469966,257.9264419,260.4272518,252.729981,258.5200334
2022/4/20,261.690002,261.4708681,260.9940369,262.1715431,266.519973,259.8640705
2022/4/21,258.690002,263.6257838,260.6717325,262.7052809,262.270019,260.6888498
2022/4/22,252.240005,264.5933882,260.4007801,260.8635942,255.690002,260.0066744
2022/4/25,251.880005,253.7215866,258.9475106,254.2162158,245.790008,258.9839367
2022/4/26,246.509995,251.9123546,257.6035194,249.8884999,251.520005,257.3339674
2022/4/27,251.699997,245.7231701,255.4508721,243.7201756,241.139985,254.967223
2022/4/28,259.070007,248.0922303,251.8472776,246.1513582,256.889999,254.217236
2022/4/29,249.520004,257.3356614,255.3535583,258.7139622,266.440017,253.7031054
2022/5/2,248.380005,249.9288265,253.9084802,255.316327,239.970001,252.5150496
2022/5/3,248.839996,248.1593387,248.2831104,252.0683812,247.240006,250.3005113
2022/5/4,254.100006,248.5444609,248.7099434,247.9482175,249.299987,250.1470945
2022/5/5,243.679993,252.1678722,253.4482297,245.7446688,259.360016,249.7524852
2022/5/6,224.259995,247.9324434,247.0992826,249.3991341,233.25998,241.9678921
2022/5/9,216.610001,224.0076401,225.3561641,221.4234423,204.839997,234.5710762
2022/5/10,223.600006,212.9347798,231.2577819,208.8870556,208.960007,226.1276683
2022/5/11,227.190002,215.057697,221.7690587,210.2243907,230.590011,226.0656318
2022/5/12,225.020004,222.0063898,225.1700546,221.2992911,230.779998,222.8767513
2022/5/13,233.589996,211.5768355,221.6911404,224.0764595,222.850006,222.4651475
2022/5/16,226.960007,229.3907392,220.5342475,234.3940214,242.159988,221.100536
2022/5/17,229.270004,225.1804154,221.07622,231.6159327,220.330018,220.7539868
2022/5/18,221.520004,228.8189737,220.651493,228.1196187,231.580001,220.1860088
2022/5/19,225.800003,230.1821404,218.8303135,226.8345974,213.770004,218.3236606
2022/5/20,231.080002,226.0167865,215.4891752,217.3414254,230.080002,221.20369
2022/5/23,238.759995,227.6057686,229.2915812,227.8568997,236.360001,227.3251861
2022/5/24,232.520004,233.6256578,237.194802,240.4695887,246.439988,232.82974
2022/5/25,233.309998,232.6248262,232.0028368,243.3494448,226.280013,233.8162959
2022/5/26,240.369995,234.3298308,232.251249,236.2706122,234.099992,234.6956351
2022/5/27,249.479996,240.208864,239.8328195,239.5780051,247.429992,238.3877563
2022/5/31,248.809998,248.2207702,243.0792003,248.0959138,258.589997,244.0826609
2022/6/1,242.720001,250.6019947,249.3359627,252.9115734,248.14,245.6290054
2022/6/2,245.259995,249.7673961,244.471853,250.1527527,236.630004,247.1682986
2022/6/3,243.669998,248.7666735,247.6970802,246.5425351,247.799989,246.8222387
2022/6/6,247.449997,249.7228679,248.2977828,243.23166,242.080001,248.7289957
2022/6/7,248.350006,248.8259039,250.192124,244.9049423,251.229996,249.4720586
2022/6/8,247.300003,249.4576464,249.9262691,248.794565,249.250015,250.7581385
2022/6/9,241.429993,247.9789481,252.1560223,248.8730377,246.25,250.5278025
2022/6/10,237.179993,244.629745,249.5011162,243.4902607,235.559983,246.6720203
2022/6/13,223.960007,236.8872061,238.3589224,235.3239932,232.929993,237.5224654
2022/6/14,227.039993,222.2281739,224.7073577,219.7961945,210.740021,228.13529
2022/6/15,229.520004,223.9186124,221.3395899,215.5095782,230.119979,221.4779435
2022/6/16,212.059998,225.9922529,218.3868828,221.4476044,232.000015,216.6734153
2022/6/17,212.509995,213.0168335,210.2937731,213.4400063,194.599992,217.3243373
2022/6/21,216.179993,205.9907184,223.292356,210.3711824,212.959992,216.0950524
2022/6/22,212.279999,203.5674218,214.699028,207.1630018,219.849991,216.1211335
2022/6/23,210.039993,206.4426722,210.3720165,208.0134503,208.380005,210.9351356
2022/6/24,217.5,212.5226664,207.7343623,208.302131,207.799987,210.7249824
2022/6/27,218.75,207.9468779,214.0685682,214.6432341,224.960007,211.2985903
2022/6/28,211.399994,214.3280326,212.0928403,218.3452239,220.0,211.0259797
2022/6/29,209.509995,211.9586875,206.9165305,216.4832711,204.049988,207.3105957
2022/6/30,210.110001,212.5251721,202.9224163,210.7809977,207.619996,205.8674913
