Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,34.067699,34.66059851,35.46781319,34.32450657,33.324121,35.21605506
2022/1/24,35.085232,34.01502606,34.1753394,33.5029407,33.627421,34.94186865
2022/1/25,35.104801,34.83511504,35.18245335,34.03227147,36.102765,35.00279567
2022/1/26,34.116619,34.88639443,35.65059426,34.94133874,35.12437,35.39402648
2022/1/27,34.253593,33.79794081,35.34903181,34.55520831,33.128437,35.09357233
2022/1/28,35.916866,33.9100699,34.2810909,34.26197243,34.390567,35.18862329
2022/1/31,36.376713,34.76234438,35.93574715,35.05230666,37.580139,35.47078055
2022/2/1,36.190815,36.43168115,36.19550361,36.67027894,36.83656,36.05723515
2022/2/2,36.464767,36.39486122,36.04045468,36.92209352,36.004917,36.24208311
2022/2/3,36.640881,36.65928602,36.49029105,37.11395909,36.738719,36.40176231
2022/2/4,36.445202,36.92680362,36.67454121,36.95607664,36.816995,36.39594449
2022/2/7,36.376713,37.19260448,36.02300122,36.63820434,36.249523,36.2554543
2022/2/8,36.543041,36.70299283,36.06882046,36.55459709,36.308224,36.2399102
2022/2/9,39.057514,36.73427331,36.62790893,36.53494846,36.709369,37.20640638
2022/2/10,39.1847,37.91998338,38.92248975,38.46149801,41.571987,38.42987067
2022/2/11,38.597668,39.512147,39.73921334,39.88798144,39.311886,39.18422773
2022/2/14,37.912792,39.29831458,38.89098011,40.1691045,38.010636,38.96037766
2022/2/15,38.265015,39.41843831,38.25093953,38.3624394,37.227916,38.70214409
2022/2/16,38.069336,39.32780163,38.96451264,38.21963055,38.617238,38.73098282
2022/2/17,37.824734,38.35327483,38.97749628,37.58638923,37.873657,39.01027235
2022/2/18,37.707329,37.9906576,39.08880811,37.6323907,37.580132,39.09278607
2022/2/22,37.355106,37.6936818,39.21205382,37.667975,37.589924,39.03375926
2022/2/23,36.621311,37.16308158,38.80041584,37.20950669,37.002883,38.25683854
2022/2/24,36.454979,37.14313748,36.75804596,36.4974511,35.887516,37.36282271
2022/2/25,37.404026,36.40506899,36.53000632,36.07708753,36.288647,36.91523369
2022/2/28,37.433372,36.60474191,37.45764878,36.77013074,38.353073,37.15305571
2022/3/1,37.059238,37.2521841,37.47151204,37.42968757,37.462718,37.33334453
2022/3/2,38.713322,36.97088105,37.07087276,37.35083732,36.685104,37.70396922
2022/3/3,38.920078,38.37586437,38.56952285,38.71049052,40.367406,38.18271611
2022/3/4,38.467175,39.08252975,38.90775272,39.13191544,39.126834,38.65095999
2022/3/7,37.443222,40.1567656,38.47560439,39.36676707,38.014272,38.41407971
2022/3/8,37.6106,38.67194215,37.85888202,38.04893668,36.419269,37.96631333
2022/3/9,36.852482,37.76507488,37.56445358,37.42926054,37.777978,37.41114534
2022/3/10,36.045132,36.90601452,36.81010042,36.40943522,36.094364,36.79147381
2022/3/11,35.621769,35.95094625,35.99986744,35.65581677,35.237782,36.53636805
2022/3/14,35.168869,35.32711711,36.79913629,35.23385757,35.198406,36.45353574
2022/3/15,36.054977,34.09014812,36.56160349,34.55970506,34.715969,36.44149007
2022/3/16,36.842632,34.78692769,35.96373044,35.429447,36.941085,36.42876025
2022/3/17,36.47834,36.56301397,36.76094682,36.82575317,37.630287,36.31003984
2022/3/18,37.098621,36.34640552,36.20544227,36.87290621,36.114048,36.64365344
2022/3/21,36.960785,37.0176405,36.96457124,37.56382307,37.718902,36.68194585
2022/3/22,37.177387,37.09695216,36.87582403,37.34465231,36.822949,36.90936729
2022/3/23,36.606339,37.44035963,36.88770659,36.98663081,37.393989,36.65368793
2022/3/24,36.990322,37.42788795,36.19753318,37.26449193,36.035291,36.66518993
2022/3/25,37.236462,37.15172594,36.91033004,36.60583862,37.374305,36.75823811
2022/3/28,36.69495,37.51854607,37.16685112,37.12528873,37.482602,36.89937762
2022/3/29,36.980476,36.77932675,36.62095171,36.80594543,36.153438,36.91481007
2022/3/30,36.261738,36.97489862,36.95662738,37.00356411,37.266002,36.62849919
2022/3/31,35.720222,36.85066512,36.30791848,36.3884418,35.543,36.34584526
2022/4/1,35.611919,36.06562273,35.77298993,35.5939367,35.178706,35.89512753
2022/4/4,35.848217,35.58976622,35.60447418,35.20648872,35.503616,35.7421758
2022/4/5,35.001488,35.63007798,35.84906329,35.1711504,36.084515,35.85084845
2022/4/6,35.070408,34.93321875,36.09900789,34.85949568,34.154759,35.65964119
2022/4/7,34.784885,34.77802235,35.03085239,34.77175532,35.139328,35.20173512
2022/4/8,35.208248,34.24022956,34.47534509,34.50705171,34.499362,34.83839796
2022/4/11,34.962105,34.6650521,35.00899639,34.44256972,35.631611,34.76975272
2022/4/12,35.060562,34.66606014,34.82491668,34.90382883,34.715962,34.89838538
2022/4/13,35.375626,34.80361768,34.86124308,34.94009101,35.159019,34.8704071
2022/4/14,35.296856,34.9957127,34.92506154,35.36854119,35.69069,34.79373913
2022/4/18,35.415009,35.27457905,34.59491277,35.45681056,35.218086,34.71480516
2022/4/19,35.64146,35.43923042,34.62444118,35.50239324,35.533162,34.6013512
2022/4/20,35.917137,35.59811071,34.58469965,35.70301268,35.867911,35.01168608
2022/4/21,35.326397,35.83334914,35.8259174,35.94014122,36.192814,35.32281814
2022/4/22,34.784885,35.77551225,35.55783736,35.69832669,34.735657,35.36895124
2022/4/25,34.637196,34.81015585,34.72309895,34.73021018,34.243373,34.9586272
2022/4/26,33.485249,34.60414727,34.5949453,34.38995698,34.489507,34.34369847
2022/4/27,33.258797,33.29998568,33.71305118,33.15820628,32.333302,34.22392239
2022/4/28,33.396637,32.97713374,34.36377069,32.66297248,33.032345,34.03688438
2022/4/29,32.727131,33.00238534,34.03383128,32.73806402,33.534477,34.04777132
2022/5/2,33.337563,31.93432041,33.745712,32.37622513,32.057625,33.66744201
2022/5/3,33.111111,32.49938263,33.22278275,32.97473254,33.947995,33.33875245
2022/5/4,33.839695,32.75960809,33.04776259,33.26276057,32.884659,33.32468045
2022/5/5,33.199726,33.46042544,33.70349601,33.43158824,34.568279,33.28872438
2022/5/6,31.565338,33.20282495,33.11491454,34.04048098,32.559757,32.8594118
2022/5/9,30.098326,32.50077221,31.75982486,31.70484235,29.93095,31.62483457
2022/5/10,29.438663,29.82018502,29.9997643,29.49481718,28.631314,30.36588842
2022/5/11,30.08848,28.90275814,29.3380761,28.41303541,28.779,29.64456086
2022/5/12,30.383852,29.46746411,29.59584216,28.56981428,30.738297,29.5443229
2022/5/13,30.757988,29.95648299,29.69905043,29.94409422,30.679224,29.59015694
2022/5/16,30.629993,30.42990243,29.47557822,30.75398149,31.132124,29.56963546
2022/5/17,31.476725,30.254379,29.53427773,31.46288406,30.501998,30.03282224
2022/5/18,30.413387,31.3528329,31.08861076,31.4512836,32.323457,30.15442912
2022/5/19,30.314932,30.55750815,29.84039886,31.16809536,29.350049,30.18000975
2022/5/20,30.462616,31.11090678,29.61101964,30.42364541,30.216477,29.90069756
