Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,130.091995,133.1382533,133.6938294,133.1912336,131.361007,132.865653
2022/1/24,130.371994,129.19249,129.5741207,128.7221257,126.67749,131.4393922
2022/1/25,126.735497,128.5649955,131.0502265,127.873183,130.651993,128.8218623
2022/1/26,129.240005,126.7889159,125.8412396,125.072838,123.099,128.5809074
2022/1/27,129.121002,123.7408255,128.851256,125.9012534,131.744513,127.5250084
2022/1/28,133.289505,127.169132,127.8825296,127.8567045,129.001999,129.574375
2022/1/31,135.698502,132.5647312,131.9893393,132.0964013,137.458008,131.5251402
2022/2/1,137.878494,135.6395199,134.7035516,137.2264817,138.107499,133.8238588
2022/2/2,148.036499,138.5872944,134.7786856,140.2867635,140.058486,134.371037
2022/2/3,142.650497,149.9743828,133.6308738,149.2598158,158.194504,134.6840411
2022/2/4,143.016006,146.784442,135.6425639,148.3678009,137.264495,137.4498848
2022/2/7,138.938004,148.876675,143.0762166,146.2698973,143.381515,139.2655751
2022/2/8,139.212997,146.0247537,139.0779446,141.6179443,134.860002,140.5386189
2022/2/9,141.453003,140.6473012,139.4616956,133.0670108,139.48799,140.1384949
2022/2/10,138.602493,141.8404194,141.8758445,139.4853277,143.693009,140.0228102
2022/2/11,134.130005,139.215386,138.7308905,138.5712424,135.751983,140.3059046
2022/2/14,135.300003,135.2816439,140.3109788,136.0362403,129.657517,138.2904511
2022/2/15,136.425507,133.4477341,135.829484,133.6712091,136.470001,137.6993166
2022/2/16,137.487503,133.9150777,136.9574871,132.9923564,137.551011,136.9289081
2022/2/17,132.308502,134.8430147,137.9997533,136.8554546,138.549499,135.8698671
2022/2/18,130.467499,132.9185891,132.652361,136.4531887,127.129501,133.6726083
2022/2/22,129.402496,130.5560049,130.3657106,129.6219033,128.626496,130.7635909
2022/2/23,127.584999,129.281577,129.2727012,127.5746869,128.337493,128.9948895
2022/2/24,132.673492,127.7803409,127.3462566,125.4247354,125.767502,129.389051
2022/2/25,134.519501,128.6215983,131.5481952,131.2942191,137.761985,129.6159907
2022/2/28,134.891006,129.7412765,129.9535203,135.0589631,136.36551,131.3053272
2022/3/1,134.167999,134.5127993,132.4142663,136.5434043,135.262511,131.9352282
2022/3/2,134.751495,134.3376504,133.4378981,137.9201622,133.444992,132.1549603
2022/3/3,134.307999,135.4147321,130.6127166,135.6845983,135.334991,131.7648606
2022/3/4,132.121994,136.702208,131.2439671,134.4924265,133.864503,131.2202765
2022/3/7,126.4645,132.9882016,131.8041459,132.4342898,129.935989,129.5523501
2022/3/8,127.278503,126.3528499,125.6089372,125.3426701,120.807006,128.0597429
2022/3/9,133.865997,126.3103139,126.7661457,124.7510403,128.092506,127.6691241
2022/3/10,132.682007,128.0499523,130.6322894,130.0465853,140.453491,129.3190793
2022/3/11,130.475494,129.9836568,130.5588026,133.0264298,131.498017,130.5927486
2022/3/14,126.740997,130.1247713,130.5871538,133.674473,128.268981,130.2574066
2022/3/15,129.660507,128.5786915,129.6262634,127.1607633,123.0065,129.862877
2022/3/16,133.690506,128.7995481,129.3752137,127.86521,132.580017,129.9909692
2022/3/17,134.600494,131.5362805,130.9714304,133.030867,137.720505,130.7507555
2022/3/18,136.801498,133.2803483,131.9056223,135.5184362,135.510482,133.0292822
2022/3/21,136.4785,134.6163333,136.2107939,138.760736,139.002502,134.9027137
2022/3/22,140.277496,137.1884794,136.5917249,138.602187,136.155502,135.7974899
2022/3/23,138.503494,141.2554897,134.5899508,140.1783246,144.076492,135.7222875
2022/3/24,141.311996,142.72434,135.9851868,141.6926485,136.729492,137.4155962
2022/3/25,141.5215,143.0997284,141.6716511,140.9487537,144.120498,140.0593112
2022/3/28,141.949997,143.3730281,142.5210958,144.1792909,141.731004,142.3332721
2022/3/29,143.25,142.4414443,142.8070695,141.6763622,142.378494,143.1017478
2022/3/30,142.644501,145.3820632,143.9770781,144.1914675,144.550003,143.5578716
2022/3/31,139.649506,144.8221194,143.8894672,143.5756784,142.039002,144.1661139
2022/4/1,140.699997,142.0609285,144.6317966,140.9331551,136.654511,144.3308591
2022/4/4,143.642502,141.716943,144.4713136,140.0601609,141.750488,144.3410546
2022/4/5,141.063004,143.6340888,143.9200536,141.4680677,146.585007,144.5465269
2022/4/6,137.175995,141.2321103,145.2482136,141.6610806,138.483506,144.5166003
2022/4/7,136.464996,139.1706024,144.3815336,139.4250447,133.288986,142.2087202
2022/4/8,134.010498,137.1702179,136.9964135,135.3938324,135.753997,138.550701
2022/4/11,129.796494,134.2753721,134.2741558,132.1646846,131.556,133.6782968
2022/4/12,128.374496,128.7004996,129.7643211,128.09189,125.58249,129.5995962
2022/4/13,130.285995,126.6813763,124.7603116,126.148441,126.952498,126.3765398
2022/4/14,127.252998,123.1709011,124.6049865,126.384513,132.197494,125.3173007
2022/4/18,127.960999,124.7927045,126.5866041,125.7664155,124.220001,126.0705026
2022/4/19,130.531006,125.7267616,127.0199173,126.7000813,128.669,128.3969249
2022/4/20,128.245499,129.0655309,131.5842534,129.6297715,133.101013,128.6808403
2022/4/21,124.9375,127.5550516,127.4383502,128.304004,125.959992,127.9299681
2022/4/22,119.613998,128.6940579,124.7673007,126.9962611,121.629501,124.6486788
2022/4/25,123.25,119.2184599,121.7403854,118.2877614,114.290496,122.6910709
2022/4/26,119.505997,121.6352103,121.5655266,116.9896972,126.886002,120.606901
2022/4/27,115.0205,118.7113804,118.5147911,117.6165413,115.761994,118.0264543
2022/4/28,119.411499,114.9625123,113.9990452,114.7528288,110.535003,116.0511523
2022/4/29,114.966499,114.3420648,115.6396205,117.0636618,123.802498,114.578607
2022/5/2,117.156998,111.9295941,114.0971552,113.7385334,110.521499,115.2630517
2022/5/3,118.129501,120.8512684,116.0523792,115.2408317,119.347497,114.658977
2022/5/4,122.574997,115.8613234,113.8273965,120.2873055,119.102004,115.9797563
2022/5/5,116.746498,118.3598445,118.0594931,118.8131592,127.020493,115.7212356
2022/5/6,115.660004,117.9704044,115.2768173,122.9559245,110.917999,115.6213861
2022/5/9,113.084,118.1016531,113.5278478,116.9201279,114.57351,113.8811574
2022/5/10,114.584503,114.7231979,112.838807,112.2412118,110.507996,112.9178756
2022/5/11,113.960999,114.9788357,112.386972,108.1285603,116.085006,112.2564788
2022/5/12,113.161003,113.4380845,111.5436573,112.6799648,113.337495,112.0770151
2022/5/13,116.515503,111.9559216,112.3004159,112.7598643,112.361007,112.5169141
2022/5/16,114.792503,111.9693235,113.706669,115.618292,119.870003,113.2743313
2022/5/17,116.7015,114.2629657,113.815909,115.2240636,113.069503,114.1767523
2022/5/18,112.401001,115.910547,115.0076789,117.0432279,118.610497,113.282339
2022/5/19,110.745499,116.5204525,111.0234292,114.9892068,108.100502,112.6203695
2022/5/20,109.313004,112.1369121,111.8300004,110.1923849,109.089997,111.6595412
2022/5/23,111.666496,109.1221584,112.125194,107.5811358,107.880509,111.4968656
2022/5/24,105.926003,110.119867,110.5354023,106.8896741,114.019988,110.7344114
2022/5/25,105.8395,106.5979698,109.5426377,107.2931092,100.18551,109.1332034
2022/5/26,108.295998,104.1790056,107.3215703,104.6279761,105.752997,107.932959
2022/5/27,112.799004,104.2360788,106.934669,105.926862,110.752496,107.0956725
2022/5/31,114.039001,111.5638914,107.0307783,111.0691496,117.30201,108.9066074
