Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,194.839035,192.1773334,204.4495845,191.9584234,183.457581,205.1767681
2022/1/24,197.879272,191.106816,200.5008962,183.2200947,195.170364,201.5636732
2022/1/25,189.791428,189.4657838,199.7405387,192.5706585,200.919509,196.0818914
2022/1/26,191.925461,184.8765608,188.0042391,187.1138547,181.703584,193.2227324
2022/1/27,183.155502,182.5230117,191.9234194,189.2194632,194.059494,186.0653713
2022/1/28,184.607407,180.1367224,178.2684553,183.1093014,174.385543,184.0985192
2022/1/31,200.188705,180.1042016,182.103683,176.0488928,186.059312,183.0341933
2022/2/1,202.878143,188.0980266,188.7304416,193.7058252,215.770003,190.5760409
2022/2/2,204.97319,196.8173836,200.893998,205.86578,205.567581,197.6100109
2022/2/3,193.270172,205.9999823,203.2055929,210.3980753,207.068237,198.5663656
2022/2/4,193.055801,195.6248416,191.5995057,203.0488189,181.567154,195.4121532
2022/2/7,191.886475,201.5609224,191.431361,192.7388912,192.84143,189.9211241
2022/2/8,197.353073,199.5891655,186.7325056,187.584632,190.717149,191.4236641
2022/2/9,204.398254,197.8408692,196.1071256,191.8873709,202.819671,195.4912459
2022/2/10,193.962036,204.3376552,203.6341066,204.8525693,211.443435,198.0192257
2022/2/11,181.966675,194.6596728,194.3164448,201.0461862,183.525818,195.5191541
2022/2/14,181.128677,189.3035751,188.606911,187.1825933,169.971314,187.9527586
2022/2/15,191.594131,179.2027868,180.93492,176.9224049,180.290679,186.8855667
2022/2/16,194.556442,185.4110404,191.1148692,177.0174907,202.059585,188.0345076
2022/2/17,182.814438,185.7459902,192.0537336,193.7638806,197.518753,190.981222
2022/2/18,182.307724,182.8626839,189.7750631,189.9109335,171.072434,189.7821753
2022/2/22,182.453903,180.2515403,187.5177292,184.8024013,181.80101,187.5529246
2022/2/23,180.417313,180.453047,185.3659816,180.3661959,182.600082,184.3066938
2022/2/24,186.527054,181.920119,180.0363705,175.2699234,178.380723,180.6485541
2022/2/25,189.235992,183.2917351,176.5433103,185.1857256,192.636795,177.1765954
2022/2/28,185.260284,188.7056771,174.9501053,190.4882474,191.94493,175.8823843
2022/3/1,176.548782,185.2017623,176.1537373,189.3867299,181.284576,178.2435939
2022/3/2,183.535522,176.5778862,183.6269391,180.3008151,167.83728,179.85972
2022/3/3,179.978836,183.5361712,179.7984835,180.4032578,190.522262,180.2624381
2022/3/4,171.939728,181.0520404,177.3618915,175.7835931,176.42215,177.7470816
2022/3/7,165.381729,175.8498398,176.0808698,172.9125237,163.90062,174.1166686
2022/3/8,172.378189,163.8249615,168.9072443,165.1279201,158.82373,172.7478426
2022/3/9,178.663345,165.655759,173.2554136,164.3578316,179.374649,174.1345885
2022/3/10,175.886185,169.5809664,180.2411075,176.7875434,184.948501,175.6708262
2022/3/11,173.995758,171.7842648,173.5159575,177.0620842,173.109025,175.2771907
2022/3/14,168.116455,171.3184,172.0745071,177.489791,172.105331,172.0411884
2022/3/15,174.705612,167.6347743,170.5331007,168.5291755,162.237152,171.2378167
2022/3/16,184.37886,172.6515686,171.1058423,167.1224535,181.294769,170.9902892
2022/3/17,185.798492,180.1640696,171.3319245,184.4437033,194.052108,172.1887354
2022/3/18,188.393021,187.4505683,174.1284394,188.9112309,187.218124,177.8769821
2022/3/21,186.522995,190.0220459,188.1705825,193.7843605,190.98755,184.794708
2022/3/22,183.82077,188.6896107,192.085102,190.5266003,184.652969,190.9230129
2022/3/23,179.747833,186.3381216,192.513354,185.2117163,181.118545,190.5106443
2022/3/24,187.08107,181.9867925,186.9334769,178.8924758,175.674896,188.9990614
2022/3/25,186.47406,188.0762548,187.5503533,180.2317226,194.414307,187.2396625
2022/3/28,185.455811,187.1870812,187.2351571,185.458176,185.86705,187.0539968
2022/3/29,190.66449,184.6428498,186.3764799,187.1452538,184.437562,187.8109245
2022/3/30,183.409546,187.8253869,189.8211364,191.6483788,195.873169,189.2655576
2022/3/31,181.206635,186.1947999,191.5990565,186.4825806,176.154602,187.8493436
2022/4/1,178.210693,189.0186898,182.127838,181.3388481,179.003724,184.3146755
2022/4/4,178.78833,181.6161114,179.2171321,176.8611968,175.214751,182.6015114
2022/4/5,171.406128,177.9410592,186.4595642,171.398098,179.365967,182.6609133
2022/4/6,170.378098,171.9806434,182.3060436,171.7169595,164.023926,179.6940166
2022/4/7,169.301132,168.5022554,170.316442,166.2609136,169.350068,174.3587672
2022/4/8,163.994553,165.8432697,170.4538161,165.6280487,168.224166,167.0664584
2022/4/11,162.055984,161.7937675,160.4291172,162.2215681,158.687974,163.2765295
2022/4/12,162.751114,159.3401578,158.9466551,159.140361,160.117415,159.3726438
2022/4/13,167.450684,155.8138153,158.7421593,158.4992307,163.446244,161.313117
2022/4/14,166.44223,160.7072093,166.2505365,166.0410092,172.150254,163.1427164
2022/4/18,169.624222,164.9430034,164.4354533,166.8327845,165.433776,165.8765071
2022/4/19,174.911194,168.8700724,166.9435315,170.6928971,172.806214,167.6917656
2022/4/20,175.048264,175.4010558,171.6963119,176.3616448,180.198166,167.354116
2022/4/21,171.19075,176.3544143,163.4225047,177.4311367,175.185334,166.4657385
2022/4/22,167.176529,179.9146251,164.2783989,176.127741,167.333236,164.6414323
2022/4/25,169.222794,168.8984705,166.2233934,167.0250929,163.162308,166.3086689
2022/4/26,164.239334,169.8037872,168.4242143,167.3970878,171.269059,166.094697
2022/4/27,167.18634,164.4778733,163.6364833,162.0679514,159.255874,166.2628636
2022/4/28,173.540512,166.3448982,166.7278932,164.19332,170.133346,167.3153114
2022/4/29,167.323395,166.949757,171.5815578,171.2292025,179.894684,168.9750847
2022/5/2,173.295746,166.7400459,168.615803,170.1788731,161.106278,171.218344
2022/5/3,174.343353,170.7753479,173.4576713,174.1683306,179.268097,172.1950755
2022/5/4,182.029068,173.891272,174.5117521,175.0980855,175.39096,176.6013539
2022/5/5,174.637085,179.2524597,181.8346382,179.255147,189.714783,177.3082736
2022/5/6,173.863602,180.5997247,175.5784304,185.293181,167.245102,177.2813165
2022/5/9,169.28154,178.6331647,174.4308808,175.5511368,173.090119,173.7039125
2022/5/10,174.705612,174.7874683,171.1024263,169.862821,164.699478,173.1441507
2022/5/11,167.294037,175.2939828,173.8991451,164.7277804,180.129684,171.3838297
2022/5/12,170.02565,168.5803318,169.1499177,169.367732,159.882462,171.1389723
2022/5/13,178.18132,168.3759415,170.3678542,166.0210119,172.757263,171.0609939
2022/5/16,173.28595,169.2777267,173.6652098,175.5231611,186.33699,172.6743791
2022/5/17,181.754929,172.6011947,173.9900734,174.6816702,168.39058,174.8233181
2022/5/18,171.719437,177.742672,176.8146711,182.2430698,190.223908,175.6898481
2022/5/19,172.111053,181.8585568,176.2647999,179.2507078,161.683945,176.1990519
2022/5/20,176.340652,174.5602802,175.5176848,165.4068527,172.502669,175.8671113
2022/5/23,176.908524,177.2036228,175.8188493,174.8760098,180.570251,175.804339
2022/5/24,175.371368,177.3562349,176.0764829,175.831043,177.476396,176.0694637
2022/5/25,180.766083,175.9223317,176.3130589,175.9295195,173.834212,177.0404481
2022/5/26,188.598618,178.2127938,178.7318027,181.3403128,186.160798,178.29465
2022/5/27,191.829575,183.8090385,179.8390884,188.550305,196.431153,180.5329642
2022/5/31,185.788712,193.4038365,183.0280013,195.5345723,195.060532,183.6364075
2022/6/1,180.707321,192.4192404,188.0421328,194.9036313,179.747849,185.6818413
2022/6/2,184.006775,188.0912193,185.9753899,182.0772267,175.62593,186.9181256
2022/6/3,178.553345,185.0999286,186.7368541,182.6608775,187.306229,186.1120223
2022/6/6,176.242752,179.6171555,185.6238228,176.0126411,173.099915,185.7584285
2022/6/7,178.024658,176.0966429,184.9146085,174.355513,173.932159,184.3160717
2022/6/8,173.364273,176.4689848,182.4097836,175.7980934,179.806564,182.8712366
2022/6/9,180.364639,168.8947623,181.2893177,171.7931638,168.703888,181.9703348
2022/6/10,174.832901,174.9144642,182.211903,176.9997308,187.365005,179.4908267
2022/6/13,164.993195,178.4609306,174.9712594,178.9684781,169.301163,173.9980203
2022/6/14,165.598358,168.5542557,164.8108985,167.1750055,155.153489,167.7086047
2022/6/15,166.237976,166.7106783,163.3436562,162.0876825,166.203521,164.2858726
2022/6/16,155.787827,163.7059239,164.7030632,159.8775482,166.877594,161.0001514
2022/6/17,155.305664,157.5587472,154.9537348,154.8086425,145.337678,157.8578737
2022/6/21,156.545517,153.5335582,153.9168232,150.828102,154.823501,154.3542283
2022/6/22,154.439758,144.0857517,154.1921269,150.8393696,157.78537,153.5877769
2022/6/23,151.054764,149.7046269,152.6543807,151.2775988,152.333999,152.1684427
2022/6/24,156.771835,152.4202848,149.6588206,149.5963283,147.66977,150.5202173
2022/6/27,156.319199,150.0993295,149.2474505,154.1405978,162.488906,149.2073611
2022/6/28,151.753403,153.185823,148.7158121,155.95268,155.866563,148.7864346
2022/6/29,147.62059,151.5304643,148.3960411,154.4021228,147.187607,147.5235607
2022/6/30,145.662415,149.6288632,145.4588288,148.3508642,143.487777,145.4990443
2022/7/1,143.753433,146.9185567,142.642263,143.4803647,143.70424,142.7440061
2022/7/5,143.576324,143.1974065,140.1309266,140.3331133,141.844451,141.3075254
2022/7/6,143.418884,141.8347605,141.1493867,140.9814393,143.399215,139.9502178
