Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,306.882538,315.9924381,308.1268819,305.9807091,298.943267,311.7205848
2022/1/24,307.558014,306.2096732,307.1393693,303.0504892,306.148316,309.70828
2022/1/25,305.237854,305.7970266,313.8585886,300.5847984,308.23349,310.9479964
2022/1/26,307.283905,303.0290394,311.8460313,302.4255901,302.917694,311.919839
2022/1/27,302.183502,300.6612827,310.0548971,305.9540072,309.329956,309.709836
2022/1/28,302.06604,299.799589,307.2285796,303.9323355,297.083099,306.2298493
2022/1/31,303.485565,299.8948974,301.4060711,299.7448824,301.948578,303.6804251
2022/2/1,310.533997,300.8192424,302.4066245,301.8173591,304.90509,304.2583718
2022/2/2,312.981415,305.6761022,308.96242,307.8347061,317.582429,307.8642673
2022/2/3,305.002899,313.1232022,312.2237574,314.9734037,315.428833,307.9342687
2022/2/4,296.593689,308.3326241,302.6166286,311.4164975,297.024383,303.3588381
2022/2/7,297.376862,303.5695653,295.2361281,296.3309184,288.184479,298.8591742
2022/2/8,298.316681,301.1066316,298.7247659,294.066374,298.160035,296.8123783
2022/2/9,307.636292,297.3222101,296.476241,289.8463655,299.2565,300.6153031
2022/2/10,298.993164,306.0401139,306.6449024,306.0284017,316.955903,300.8201061
2022/2/11,295.172546,298.0965253,299.339175,305.9544125,290.350036,300.9756183
2022/2/14,295.771667,295.971521,296.9427775,295.1689799,291.351928,297.0169589
2022/2/15,300.878937,294.2077695,294.7689243,294.3479563,296.370788,296.2624775
2022/2/16,304.699646,297.9684606,297.0757307,299.7925849,305.986207,296.3935067
2022/2/17,297.618134,300.4750606,297.3358651,305.1562738,308.520355,295.7566332
2022/2/18,294.681458,299.1648467,292.8583039,303.3820325,290.536622,295.153362
2022/2/22,290.045593,296.2307304,295.2659171,294.9672745,291.744782,294.245806
2022/2/23,284.751648,289.2492152,294.6131971,288.1862709,285.409728,293.4526095
2022/2/24,284.034698,283.8867374,290.4787145,281.0605277,279.457703,290.7850998
2022/2/25,292.677795,282.1443665,287.2633879,278.7845747,283.317748,288.3900157
2022/2/28,291.106354,289.7942526,287.4279447,286.0459264,301.320892,287.3023238
2022/3/1,282.492645,284.0399788,287.2156387,291.3535362,289.534913,286.4624093
2022/3/2,292.009949,281.1625895,284.7436444,288.3438632,273.878936,286.5996455
2022/3/3,289.71167,286.594419,287.8396534,289.3410576,301.527253,287.1179112
2022/3/4,278.789886,288.6944674,288.7704359,288.6819165,287.413391,286.5787364
2022/3/7,267.072601,290.4489113,283.1261198,281.8695828,267.868102,282.8850147
2022/3/8,266.777863,266.6567863,276.7584883,267.0225335,255.355316,277.8838051
2022/3/9,273.122711,263.9175372,273.7668071,260.6956858,266.483125,273.7124285
2022/3/10,270.716431,263.5041349,270.6119902,262.9820174,279.467559,271.129308
2022/3/11,266.149323,263.7007297,269.0091267,268.1945041,268.310151,268.55467
2022/3/14,269.086029,263.4022822,266.042893,267.0874267,261.582215,266.2592221
2022/3/15,274.163849,265.6445979,263.7256467,268.1823163,272.022735,267.1245244
2022/3/16,280.813141,271.9733289,271.6050335,272.2688218,279.241669,267.5175649
2022/3/17,283.710541,280.591682,267.2220146,282.2663174,287.462433,269.6124944
2022/3/18,285.213318,285.3717017,270.0104352,287.5283531,286.607941,273.8737359
2022/3/21,283.386475,287.5039478,284.3887578,291.1775023,286.716095,279.0621752
2022/3/22,285.046326,285.5763961,282.7873326,286.653463,281.559632,280.9875252
2022/3/23,281.628357,287.6831826,275.7864851,286.5229952,286.706177,279.9589448
2022/3/24,283.985596,283.8390646,281.3030165,282.3499608,278.210388,280.3487337
2022/3/25,285.252563,285.4551695,283.9566995,281.2085663,286.342835,283.6884035
2022/3/28,281.569397,286.0283282,285.8054946,284.5419237,286.51953,283.7837112
2022/3/29,292.471558,283.0901537,281.5889396,282.0206555,277.886231,287.0139033
2022/3/30,286.450836,287.678118,293.6472758,290.4346522,303.373719,287.4705691
2022/3/31,278.701508,293.7550206,287.1754919,289.3014776,280.430114,286.8871878
2022/4/1,277.169281,287.366443,279.8387957,280.9737868,270.95218,281.6975551
2022/4/4,279.074707,280.8517223,278.0783776,276.012268,275.637054,279.2266624
2022/4/5,269.537811,278.2667206,279.762814,274.6096032,280.980133,275.9284257
2022/4/6,268.555603,272.5283401,269.9440854,267.8401484,260.000915,272.7785032
2022/4/7,271.698608,267.6436976,268.6286102,264.6902125,267.573395,270.8262462
2022/4/8,269.174408,259.0629646,273.9060429,266.3631114,274.841613,270.354683
2022/4/11,265.599304,265.9818917,268.5293958,266.4319611,266.650208,268.6877494
2022/4/12,265.442139,268.51363,263.6278094,265.0931992,262.0242,265.1870224
2022/4/13,268.673523,262.8924319,263.4038619,264.5152024,265.284974,264.3832236
2022/4/14,268.987793,264.7769734,266.1179996,266.1772263,271.904907,265.1312947
2022/4/18,266.483246,267.8974049,265.8720225,268.7188575,269.302063,265.2033533
2022/4/19,277.905914,266.4371909,263.6200377,268.3205087,263.978699,268.7622812
2022/4/20,284.280212,272.1603924,276.7947835,276.7674732,289.328582,274.607759
2022/4/21,281.854248,285.0470841,283.4084557,285.1614699,290.65451,276.8378384
2022/4/22,272.130768,284.7640238,270.310276,288.5084228,279.428284,274.9747981
2022/4/25,273.29953,282.8660856,271.2056626,279.8267049,262.407288,271.4595877
2022/4/26,266.542175,278.3726133,272.8628245,272.7376661,274.468292,270.1200348
2022/4/27,266.856476,267.5758287,266.2916172,263.7934631,259.78482,268.6304445
2022/4/28,271.43338,266.3444534,266.7368919,258.8773881,267.170777,267.6855874
2022/4/29,265.992157,269.9308483,270.0282531,268.1695919,276.010284,268.8445796
2022/5/2,268.19223,258.6245105,269.7685937,266.0749382,260.550934,270.2772659
2022/5/3,271.502136,265.2517497,271.0349509,267.4106369,270.392303,270.7907364
2022/5/4,285.399872,269.1994746,271.5686647,270.4219155,274.812042,275.6247702
2022/5/5,271.236969,284.9084832,284.2706949,283.2158981,299.297608,276.6774335
2022/5/6,266.69931,277.4909548,274.1929407,284.8365011,257.074066,275.2968343
2022/5/9,266.35556,273.670286,267.4268672,270.853177,262.161651,269.3371843
2022/5/10,261.002716,270.3103007,266.3917448,265.086488,266.01181,265.9706924
2022/5/11,260.167877,264.9292169,264.093465,256.9159342,255.649872,263.3943886
2022/5/12,257.088043,259.111058,259.6979559,255.9851607,259.333038,260.1067941
2022/5/13,261.934875,255.4037312,256.5289613,255.7472908,254.008209,258.4826765
2022/5/16,261.984192,253.9550442,259.2211121,258.1550149,266.781707,258.2599389
2022/5/17,268.943512,259.2067343,259.0297433,261.6262631,262.033509,261.896903
2022/5/18,259.960571,268.3422583,267.4398535,269.425686,275.902832,262.3412292
2022/5/19,259.309052,261.8659911,260.5540908,268.8184175,250.97763,262.890034
2022/5/20,255.439514,261.3524507,260.6761579,260.8019194,258.657533,259.3392799
2022/5/23,258.262695,259.2197263,256.7875909,254.6612765,251.569976,258.1077132
2022/5/24,258.697052,257.2850879,256.8593907,248.7729786,261.085876,256.2015826
2022/5/25,259.190613,257.8832683,254.9577661,257.2536125,259.131409,256.6722596
2022/5/26,264.560608,255.9538426,258.199622,258.8469905,259.684174,256.359168
2022/5/27,269.209961,258.6185172,255.920116,265.0092366,269.930603,257.3953679
2022/5/31,268.667084,269.5080705,258.0663657,270.4966482,273.859314,260.7154046
2022/6/1,268.992798,270.2167731,268.1597322,272.8062247,268.124207,263.8774998
2022/6/2,275.231476,270.9216036,265.4064015,273.1025154,269.318512,269.7140758
2022/6/3,273.276947,276.5991801,275.5760938,275.9679352,281.470154,272.0410167
2022/6/6,274.224579,278.2134409,275.1405549,275.2811526,271.322418,274.3736889
2022/6/7,280.10791,278.102634,272.4044179,276.9607824,275.172211,276.6847825
2022/6/8,279.377411,277.8032157,282.5093746,281.0207435,285.991241,278.5184761
2022/6/9,273.395386,279.792056,280.6416358,282.2982444,278.646912,279.4469737
2022/6/10,260.217224,282.6371124,275.1899108,278.0254244,267.413361,273.6245823
2022/6/13,249.891861,260.1260766,265.0422003,258.8204962,247.039062,266.7314806
2022/6/14,249.378555,247.9575811,259.9623307,243.8236145,239.566498,258.2355466
2022/6/15,251.510742,245.9069854,249.7021089,238.0131717,248.865249,257.6059075
2022/6/16,237.444153,247.4908224,263.153283,244.6234294,253.642929,256.3457776
2022/6/17,233.32782,232.9800193,256.1819408,234.489635,223.377564,256.0052596
2022/6/21,238.786636,225.0763858,248.680555,231.8189272,229.211487,247.3598825
2022/6/22,240.731293,228.1351531,237.2171517,229.6793956,244.245452,241.7540966
2022/6/23,236.871628,236.0406749,239.3645831,235.5652942,242.67595,237.0797486
2022/6/24,249.842514,232.9918702,234.6575109,236.2882197,233.011963,240.4921031
2022/6/27,248.628326,239.3980049,247.4542152,248.8326657,262.8134,242.7951859
2022/6/28,246.78241,248.1283561,246.2738317,251.1778148,247.414138,243.4903933
2022/6/29,244.146774,247.8012085,236.7431329,252.3194782,244.936494,238.263597
2022/6/30,242.88324,250.5444443,231.7738264,248.2387439,241.511138,236.425836
2022/7/1,245.854492,246.7128067,240.7605487,242.5450936,241.619706,238.8341256
2022/7/5,243.139893,246.9445694,243.9680016,243.0335365,248.825744,242.0800088
2022/7/6,240.978088,245.1171879,241.5114761,242.7393925,240.425294,241.7646197
2022/7/7,247.730042,240.9831388,239.8143815,241.7226669,238.816283,242.5356134
2022/7/8,244.847626,242.9180507,246.2809825,246.1965578,254.481996,243.6239743
2022/7/11,244.857498,243.8751677,244.776559,244.9156936,241.96521,245.3155089
2022/7/12,245.893997,249.4104869,244.8889852,246.20516,244.86737,245.1678792
2022/7/13,242.034317,245.5966522,245.8380934,247.1067695,246.930496,244.6433526
2022/7/14,241.511139,243.0187995,243.2029793,242.4486012,238.174637,243.7791789
2022/7/15,245.163513,245.2012046,242.296464,241.1371712,240.987961,243.311149
2022/7/18,244.571213,241.3685837,244.4340039,242.6852451,248.815887,243.7651601
2022/7/19,256.643799,241.5292655,244.5650125,244.4821097,243.978913,245.382205
2022/7/20,261.776917,257.1613817,247.1475986,256.7314533,268.716385,249.5545975
2022/7/21,264.846863,263.5029119,256.9511813,265.7177564,266.910035,256.4961937
2022/7/22,264.422424,267.4355331,265.3898011,271.2925861,267.916809,260.8380409
2022/7/25,264.106537,268.0226271,260.1731403,273.2897221,263.997985,262.2659789
2022/7/26,266.840881,272.3194013,261.2349952,267.3752117,263.79065,263.1995551
2022/7/27,273.484253,270.3841095,268.1905298,268.1214071,269.575225,266.0319329
2022/7/28,279.308319,276.454977,268.6702736,273.0543972,280.127625,273.3388586
2022/7/29,285.369293,283.1101955,283.1557724,282.5859034,285.132385,279.6797496
2022/8/1,283.602325,291.4100973,287.2132029,290.0796734,291.430267,285.6132036
2022/8/2,281.914368,287.1907792,286.4706354,291.346847,281.835357,286.2067736
2022/8/3,286.326813,284.9277459,284.9364826,285.2172871,280.226411,286.8050528
2022/8/4,289.692932,292.3466988,289.0080405,287.762446,290.739258,288.8313453
2022/8/5,289.0513,292.6850817,292.5495129,289.8475989,293.059051,293.6511531
2022/8/8,288.78476,291.8229178,299.395906,290.830829,288.409668,296.6651984
2022/8/9,286.020813,290.7018973,298.0501764,292.2987178,288.51822,298.420894
2022/8/10,295.832886,289.8043966,297.8165997,286.7992932,283.256866,298.1027725
2022/8/11,298.369781,293.1752407,298.4415413,290.7938506,305.644959,299.0909774
2022/8/12,304.035919,297.6342781,301.0147912,299.8779401,300.906676,301.8342943
2022/8/15,302.476257,302.0108012,306.0465506,307.1301885,309.702057,304.1223747
2022/8/16,302.170227,305.0643442,305.3057825,312.6760153,300.916595,305.1637276
2022/8/17,295.339325,305.1865646,304.1388497,305.0515361,301.864197,302.5862152
2022/8/18,296.869354,304.9928618,298.3140135,295.8642296,288.508423,301.2790841
2022/8/19,291.953461,298.2098663,301.384389,295.0757588,298.399383,298.2978501
2022/8/22,281.391174,292.7921871,295.1951479,290.8679296,287.037568,297.5997641
2022/8/23,281.884705,280.6723958,296.2197554,280.2897933,270.828887,295.4261852
2022/8/24,281.726776,278.9469853,294.8636523,276.7569562,282.378236,294.3600274
2022/8/25,288.616974,272.0465308,291.9966744,274.329738,281.568847,291.8575281
2022/8/26,273.891113,278.5724577,288.7122576,286.2178578,295.507172,284.7668541
2022/8/29,271.035187,274.6190129,273.5916302,283.3227471,259.165252,276.2977975
2022/8/30,267.356171,269.5221774,266.5895046,270.8994289,268.179261,267.2875358
2022/8/31,262.784698,266.8228014,261.6814726,263.185921,263.677155,262.8703684
2022/9/1,265.412537,263.6104269,260.340128,255.9779647,258.213225,261.7581773
2022/9/2,262.655792,260.673874,263.2529315,261.0692694,268.040376,261.3596652
2022/9/6,264.30191,256.6161194,260.4859362,260.1176202,259.899047,260.7255157
2022/9/7,270.727753,255.8483743,258.4376793,262.6364971,265.948028,260.5112024
2022/9/8,272.463135,267.8625876,262.6099917,270.2098822,277.153596,259.7177563
2022/9/9,276.657745,271.9853075,258.1055979,274.0022588,274.198517,260.3924187
2022/9/12,280.187988,277.1857172,260.4616666,279.5237898,280.852355,260.8043058
2022/9/13,268.020569,281.9189698,263.845653,285.0892345,283.718231,263.6598615
2022/9/14,268.50647,277.9814504,266.6722648,274.4229013,255.85315,265.9602589
2022/9/15,265.303497,275.3425486,267.362859,268.6459388,268.992371,266.1410158
2022/9/16,257.92569,266.1031109,264.3879237,262.938691,262.100524,263.1701874
2022/9/19,262.943359,257.6192448,257.7597795,254.2263354,250.547883,261.2567248
2022/9/20,256.795166,259.3231076,261.6224712,257.2191497,267.961028,259.190493
2022/9/21,256.467957,248.4040695,258.1892283,254.2581797,250.646973,259.4066781
2022/9/22,248.336502,250.5439264,258.4083348,251.9112813,256.140748,254.7257272
2022/9/23,242.575089,248.3748127,247.5796184,252.5828016,240.205047,247.3216134
2022/9/26,237.973862,242.9239816,235.9768868,239.2559223,236.813676,238.4498114
2022/9/27,236.297989,236.1793714,231.7929291,232.5618119,233.372635,233.5202378
2022/9/28,245.778076,232.3646022,232.7908976,227.4103151,234.622116,233.9992219
2022/9/29,243.507217,233.5307475,237.4138389,242.4755,255.258163,237.6501171
2022/9/30,240.284393,240.6531144,242.7456147,243.6884946,241.236358,239.4491932
2022/10/3,250.151199,238.465132,238.1881259,243.8464308,237.061569,240.8281278
2022/10/4,260.831177,248.4583628,241.5506427,250.4842941,260.018005,238.7795981
2022/10/5,260.989838,261.2325467,236.6000256,258.7967026,271.511155,240.082223
