Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,174.530029,175.1029355,173.3469968,173.0793568,173.202683,172.7112774
2022/1/24,173.761551,172.9450601,169.7345337,173.6214451,174.270568,171.7882731
2022/1/25,168.522064,172.3866186,172.2832887,175.5084905,172.993073,169.8239108
2022/1/26,166.136856,168.7648021,167.4539099,167.7328167,163.282577,168.1920833
2022/1/27,163.522095,166.8916029,164.8390513,164.0598836,163.751648,164.8604737
2022/1/28,169.090912,163.5994981,162.2884598,160.8783366,160.907334,164.165412
2022/1/31,171.825455,164.9977515,165.368725,164.773419,174.659729,164.6467346
2022/2/1,173.931229,170.3006055,166.283019,171.6584803,174.559998,166.5001751
2022/2/2,184.749527,173.9338271,167.8487813,175.645684,176.037003,172.7640945
2022/2/3,187.563904,185.5986581,184.1604833,187.2058364,195.567825,176.189481
2022/2/4,182.583862,189.5338685,176.5591786,192.845162,190.378281,179.7461327
2022/2/7,182.124786,186.1420821,178.5187363,190.4628114,177.60382,177.6628275
2022/2/8,184.37027,190.604286,177.9105675,184.420315,181.66571,180.3689554
2022/2/9,188.881226,187.0742039,184.6775625,184.7212347,186.615754,184.0289963
2022/2/10,183.931168,190.8371403,189.4988589,186.8486697,193.392182,186.2961928
2022/2/11,180.18866,185.9933672,184.712157,185.9403076,178.98111,185.5669068
2022/2/14,180.767502,181.1119534,182.4897044,182.2027204,176.446152,183.5268582
2022/2/15,180.518021,180.5252982,183.3787132,179.6293993,181.346344,182.4272144
2022/2/16,181.555939,180.6939005,181.4132256,177.2823202,180.26854,182.4202729
2022/2/17,177.464142,180.4673748,182.46888,180.3311072,182.593857,180.7319649
2022/2/18,178.851349,177.8452868,178.3137891,180.0921589,173.372345,182.0815508
2022/2/22,175.717651,176.3715855,185.4619832,177.0306973,180.238556,180.0242334
2022/2/23,173.023026,174.8571618,176.296928,176.1298902,172.583953,178.3512826
2022/2/24,177.623795,174.3070455,173.2949367,170.4259266,170.328401,175.7405132
2022/2/25,182.833359,174.2418859,177.6296749,174.6953631,182.224564,177.6778851
2022/2/28,179.250565,177.8340435,182.1090436,180.8655121,188.042923,179.646822
2022/3/1,176.845367,178.4564608,179.2017474,181.6135102,175.667771,179.0613889
2022/3/2,176.955139,178.0122963,175.8733756,180.9478446,174.440169,177.0428393
2022/3/3,178.641785,178.7605575,176.053395,176.9659495,177.064911,175.9488344
2022/3/4,176.07692,179.2754046,175.9197327,176.0936203,180.328431,175.3671832
2022/3/7,171.915268,177.4247505,174.128422,175.4086757,173.512055,174.8028118
2022/3/8,164.979156,171.992456,174.3602806,172.8405319,167.753616,172.2980674
2022/3/9,172.234619,164.0894885,168.4054994,162.9295477,158.043044,171.4942739
2022/3/10,171.995102,168.3847087,171.7170418,163.5280115,179.490082,170.4343836
2022/3/11,165.558014,168.2189489,171.1806097,168.8730521,171.755585,170.7120539
2022/3/14,161.985168,165.2439765,169.2385102,167.2223092,159.120926,169.0701786
2022/3/15,168.542038,160.9911112,166.791416,163.8803533,158.412322,167.5390744
2022/3/16,175.747589,163.5910811,166.587297,163.5349125,175.098908,169.2156114
2022/3/17,178.003067,168.7587913,174.2681213,175.4559214,182.95314,169.9712636
2022/3/18,182.024979,178.4268726,169.0583726,180.5951256,180.258545,171.5611494
2022/3/21,180.278488,179.3659711,171.3569542,186.6931631,186.046891,173.5044802
2022/3/22,184.170685,182.2728274,180.0981136,184.3306318,178.531997,175.5493247
2022/3/23,176.296463,186.4231682,175.1929064,186.4888553,188.062882,177.1525434
2022/3/24,178.981079,186.4410129,176.1666101,179.9989833,168.422241,176.8518442
2022/3/25,176.446182,180.8343254,179.1960161,174.2730013,181.665695,177.3038503
2022/3/28,176.995087,177.917471,176.5489248,177.4060077,173.911285,177.7136941
2022/3/29,179.919205,177.0646768,177.3961413,172.1240719,177.543992,177.8644775
2022/3/30,178.132797,179.1260599,179.6483664,178.9017633,182.843323,178.6065319
2022/3/31,174.110886,177.3529554,178.7750879,178.4375603,176.346389,179.8880823
2022/4/1,171.226654,174.6865572,181.2407925,176.4052413,170.088975,177.2653289
2022/4/4,169.520065,171.8539257,171.7801062,170.124809,168.342422,174.2816737
2022/4/5,165.837433,168.7263002,169.8241223,167.2517385,167.813476,169.1858331
2022/4/6,165.777573,164.5456742,165.9532709,163.2781721,162.154801,166.0962746
2022/4/7,172.064957,163.9028013,162.5114306,162.4980036,165.717713,165.2394175
2022/4/8,172.144806,164.412027,167.2535509,169.7214305,178.352341,167.0963409
2022/4/11,165.438263,171.3454078,171.5240411,172.7752932,172.224655,168.0078873
2022/4/12,160.937286,165.0093668,165.2460698,170.3605686,158.73172,165.9746805
2022/4/13,163.841431,164.2651483,161.1539306,160.2888657,156.436309,162.968355
2022/4/14,161.096939,163.7383243,162.5050645,160.4291681,166.745576,161.4961804
2022/4/18,160.059021,161.1537549,160.8295462,157.6980814,158.352447,162.6172068
2022/4/19,160.478195,158.9912082,164.5170098,158.3228231,159.021103,162.6658619
2022/4/20,163.821487,158.2345712,162.6510297,159.6651018,160.897369,161.5468282
2022/4/21,159.21875,162.0308435,157.4724451,161.1802114,167.164779,158.2335493
2022/4/22,152.349579,158.7921923,154.5771732,161.5865427,154.616013,155.656565
2022/4/25,149.294403,156.6662082,154.9200768,153.8611648,145.480408,153.6099949
2022/4/26,142.365326,148.1716443,151.3327348,146.6437628,146.239227,149.2558709
2022/4/27,142.205597,140.5380069,141.5148011,138.1273174,135.436249,146.3423989
2022/4/28,146.179321,139.2885742,146.1796609,135.1918116,142.045868,143.726519
2022/4/29,146.379013,142.7771775,143.4850952,142.9250676,150.153045,144.2221763
2022/5/2,147.656998,143.487632,143.0017729,145.434105,146.578705,142.8538029
2022/5/3,152.619156,145.6135565,142.0745407,148.2623809,148.934983,145.1869525
2022/5/4,156.83252,151.9109409,150.4845438,153.5786276,157.581314,146.185004
2022/5/5,147.686951,157.5435664,145.9959273,158.4279127,161.045884,147.3516914
2022/5/6,147.637024,152.4195855,145.5746032,153.5495576,138.541382,145.2742367
2022/5/9,142.225555,152.1909853,144.2521796,149.1187467,147.587097,143.682258
2022/5/10,144.791519,143.0753749,141.2199911,140.5466166,136.814086,143.091663
2022/5/11,141.826202,144.1658459,143.8028182,135.6860475,147.357483,141.9698762
2022/5/12,142.624939,141.2437881,140.8868193,143.6477984,138.860885,142.0915714
2022/5/13,148.375854,140.3651858,141.5850767,138.699696,143.423676,141.7713434
2022/5/16,146.558716,141.4634457,142.8421341,147.4532704,154.126769,143.4882248
2022/5/17,147.3974,145.7621554,146.0374636,148.0392537,144.741578,145.2807625
2022/5/18,142.265518,146.9409947,146.9626899,149.5563683,148.236084,145.40908
2022/5/19,143.323837,146.7529819,143.2270865,144.8870562,137.133636,144.4276209
2022/5/20,146.49881,144.9517935,143.0930863,142.347917,144.382156,143.7844809
2022/5/23,146.249207,146.1992683,145.03327,144.146647,149.673783,144.7334645
2022/5/24,143.882965,146.0505822,146.0740372,145.9321425,145.999604,145.0656936
2022/5/25,142.505112,144.5535126,144.0897737,145.1594055,141.516723,144.2383088
2022/5/26,146.418945,143.0954914,142.5511156,142.5525829,141.127259,143.1961794
2022/5/27,155.933929,144.6047592,142.947649,144.2073202,150.332778,145.2281983
2022/5/31,149.434189,155.7306764,150.1858303,156.7588962,165.448913,147.8467951
2022/6/1,145.869827,151.6455879,150.406906,154.5334382,142.934449,149.6185807
2022/6/2,150.622314,149.497248,148.2630059,150.4286194,142.305465,148.7550078
