Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,151.158325,155.1323387,155.6970264,152.9263757,154.196321,154.8360896
2022/1/24,151.44162,150.001446,151.6389455,150.78014,146.31314,151.8451772
2022/1/25,150.42569,149.1413919,148.1995598,147.2244669,151.724915,150.5704407
2022/1/26,149.937256,147.3889242,151.8728168,147.9259103,149.40976,149.7095832
2022/1/27,149.839584,146.9557386,149.056373,147.8311135,149.448822,150.0929022
2022/1/28,151.246262,148.0994405,149.3495167,148.8432666,149.741912,149.7584197
2022/1/31,152.584518,149.7781243,150.8693693,150.4085346,152.65294,150.4643606
2022/2/1,153.707916,151.708179,151.1741958,152.9381191,153.922774,150.161892
2022/2/2,153.971664,153.4697365,148.4421109,154.513478,154.831314,150.8831286
2022/2/3,153.112045,154.3663124,153.0330792,155.9022203,154.235412,149.8138819
2022/2/4,149.448837,153.5721429,147.9664557,153.9212944,152.252426,149.8766925
2022/2/7,149.292542,149.7212165,148.6305426,149.4059984,145.785629,148.3620462
2022/2/8,150.679672,149.3153356,148.4891403,148.2036671,149.136247,149.033515
2022/2/9,153.356262,150.3749931,149.980862,147.8727678,152.066802,150.4310303
2022/2/10,150.249863,153.1791268,152.8230887,152.9279425,156.032852,150.9660579
2022/2/11,146.430344,149.5036301,150.094223,151.429978,147.143464,149.7876964
2022/2/14,145.814957,147.9245259,146.4457776,148.2271277,142.610825,147.3482719
2022/2/15,148.130066,146.8850649,145.5048151,144.5812616,145.19957,146.5259613
2022/2/16,148.354767,146.8992804,147.6272912,145.3802734,150.445175,147.0738529
2022/2/17,146.167877,147.8585483,148.0894525,147.5721446,148.579468,147.3489808
2022/2/18,146.74646,145.7642251,146.3301987,146.7606968,143.980987,147.086741
2022/2/22,143.833893,144.7949981,146.8405719,146.73688,147.325043,145.5421991
2022/2/23,137.891098,143.2552232,143.4558266,143.677426,140.921326,142.7298375
2022/2/24,135.047165,141.6224051,137.8931142,136.8820611,131.948303,139.1203802
2022/2/25,138.361786,133.7220826,136.0121998,132.2369755,132.203232,135.7322901
2022/2/28,130.869522,136.3601981,133.2915562,132.4313757,141.676407,134.9493295
2022/3/1,124.053925,130.5673692,135.5442324,129.8531682,123.377258,130.5417121
2022/3/2,126.289825,124.5790306,122.7893476,124.1336942,117.238328,129.0633848
2022/3/3,125.573944,119.2295144,128.8565744,120.9867618,128.525725,125.2375332
2022/3/4,121.55323,120.6363656,124.0666777,119.5330287,124.858063,124.0382121
2022/3/7,112.285957,118.8592355,119.1913843,119.2825953,117.532516,117.1553633
2022/3/8,115.463303,112.9607219,108.208028,113.6573882,103.018684,112.8076325
2022/3/9,119.670357,110.4651107,111.0234851,111.009703,118.640649,112.0398099
2022/3/10,118.846603,113.2689192,116.8879166,114.4051609,123.877411,114.0971196
2022/3/11,117.905167,114.1853399,114.3799571,118.2212863,118.022849,115.6474654
2022/3/14,119.591904,114.3582232,115.6745224,119.3578342,116.963731,113.1188492
2022/3/15,120.984451,118.5464063,109.3020682,120.5714415,121.278641,114.6913808
2022/3/16,125.397438,120.646714,119.0975517,121.1039198,122.376998,113.6381514
2022/3/17,126.191765,125.2426366,112.5148342,126.3310461,129.810425,118.8341155
2022/3/18,128.398239,127.7136765,124.8899606,128.2352708,126.986092,121.6270127
2022/3/21,126.41732,128.5912725,127.4762433,131.0546384,130.604713,126.745842
2022/3/22,127.937355,128.0331866,127.8713221,129.6912999,124.436401,127.7941263
2022/3/23,126.25061,130.8287314,128.0348134,128.8762631,129.45739,127.3550495
2022/3/24,127.005714,127.7435015,126.1590131,127.6755813,124.563865,127.1269597
2022/3/25,126.956688,127.8865862,127.1870526,125.2429318,127.760818,126.9168782
2022/3/28,127.044945,127.4837618,127.404569,127.834151,126.907662,127.3880475
2022/3/29,133.26236,126.3161069,127.5725208,126.2115745,127.133202,129.4648449
2022/3/30,130.3694,129.8408932,133.417445,133.0771295,139.479775,130.8415569
2022/3/31,128.535553,131.154964,131.5347048,133.3678895,127.47644,131.4583839
2022/4/1,131.418716,130.8791281,129.423002,131.056596,126.701706,130.9977555
2022/4/4,130.791061,131.9689767,132.0355599,131.033239,134.301879,131.0257424
2022/4/5,129.84964,131.9514421,131.6186655,130.7490085,130.163406,131.4468044
2022/4/6,131.546188,134.0112857,130.6861879,129.9322931,128.908219,131.4579263
