Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,232.869461,236.4908602,234.3078126,233.0454911,232.245621,233.4008811
2022/1/24,236.196732,232.6962971,231.4634487,226.5905315,230.096725,233.6455198
2022/1/25,229.908569,234.7187438,235.165298,232.9522957,239.524003,232.0612583
2022/1/26,228.789566,228.8306318,229.5550281,229.1623716,223.620406,231.2350492
2022/1/27,222.699478,225.6308369,228.9848216,228.2653642,227.670563,226.4176355
2022/1/28,214.014908,223.2723433,220.7130567,221.8854652,216.60939,219.1156353
2022/1/31,226.373367,212.9847962,207.6490276,210.1308425,205.330338,218.1779892
2022/2/1,229.898666,217.5462586,226.1718833,218.3414696,238.731826,221.0710697
2022/2/2,234.889587,221.4815062,229.3922981,225.8418073,233.423965,229.2094297
2022/2/3,234.701416,233.7454365,232.0641076,237.2478017,239.880508,231.741606
2022/2/4,236.681931,234.9364526,233.7684124,246.8497043,234.513245,233.8244596
2022/2/7,235.236176,238.0504365,235.6408588,240.4202884,238.662446,232.3053615
2022/2/8,238.702072,237.5282717,227.5068135,237.1727456,233.790421,230.7776578
2022/2/9,244.505203,243.7617984,229.1853013,237.3434235,242.167968,233.6131574
2022/2/10,242.392273,247.0744771,244.1473573,245.3155335,250.308334,239.0307955
2022/2/11,241.965714,245.4306553,243.759728,246.3146116,240.279343,243.5293104
2022/2/14,231.748245,245.1637777,242.6808458,246.2497876,241.539155,239.9042202
2022/2/15,233.365173,239.4387841,233.2720869,231.9264656,221.530776,236.6210576
2022/2/16,235.666611,233.2495015,233.9102401,230.4509567,234.982101,234.4373682
2022/2/17,232.363297,234.9491889,236.1297775,230.7827305,237.968049,234.4606813
2022/2/18,229.873367,231.6845281,233.3420261,230.8626969,229.059983,236.8748027
2022/2/22,231.401062,228.7714959,241.1526045,229.485521,227.383437,237.8447237
2022/2/23,231.361359,227.6256464,239.0395404,230.2422868,232.928757,237.3349237
2022/2/24,235.874924,228.1983805,231.8126262,229.9049705,231.321656,235.7541733
2022/2/25,243.423935,233.9477559,236.4103535,235.7490317,240.388489,236.9993222
2022/2/28,244.773041,244.1682562,242.7749868,245.3692224,250.972946,241.2954014
2022/3/1,249.137787,245.9928607,244.700864,248.5531558,246.122147,242.1334369
2022/3/2,247.620056,251.3050625,238.9244601,253.9432056,253.502533,241.5401566
2022/3/3,247.90773,250.6388975,240.9951459,252.9969894,246.102325,241.1380215
2022/3/4,252.560165,254.6146285,243.4944587,249.9361614,248.195404,243.7040962
2022/3/7,245.298813,255.94653,246.6226841,252.4137519,257.2126,245.3495917
2022/3/8,236.93634,249.4369092,245.9316323,247.9517051,238.037461,243.6665948
2022/3/9,243.265228,238.2884833,238.445468,238.4450495,228.573867,242.6191904
2022/3/10,240.676132,241.9021488,243.4804708,237.2299239,249.594116,241.703206
2022/3/11,236.162613,239.8190567,243.1836791,235.4737605,238.087036,241.1875481
2022/3/14,234.68454,235.6056996,236.8984945,234.747852,231.649094,238.4308226
2022/3/15,242.352615,232.6348709,235.2102941,233.4242839,233.206467,238.8616291
2022/3/16,253.314056,234.3703313,244.4760987,239.0903365,250.02069,244.5307379
2022/3/17,257.143158,251.8214161,253.9058208,254.4868695,264.275497,251.5735181
2022/3/18,259.375122,258.2848491,256.3386347,261.9254162,260.97226,256.731098
2022/3/21,254.891342,262.1187213,259.9488385,268.0923347,261.607086,257.6697832
2022/3/22,253.006546,257.6112092,256.7218765,259.7327093,250.407562,256.3747547
2022/3/23,231.133209,254.9849445,252.4535491,254.3603867,251.12175,251.9952625
2022/3/24,239.436127,232.232991,246.810362,228.4224041,209.259872,248.186569
2022/3/25,238.404495,238.509785,245.2957959,224.4858213,247.739045,243.477635
2022/3/28,240.537262,236.3155916,238.3267472,230.2873048,237.372863,242.8289421
2022/3/29,245.239273,233.0212406,244.8642831,234.7765842,242.670029,243.0369061
2022/3/30,247.014938,234.5087782,245.9196879,245.0213645,249.941284,245.9361542
2022/3/31,240.567001,244.106695,247.0244917,249.0767436,248.790603,244.5298779
2022/4/1,244.46553,240.9539572,240.6454541,245.7329593,234.119064,243.8266735
2022/4/4,243.741394,251.3269453,243.8100747,244.7662813,248.364059,242.7348294
2022/4/5,243.513229,245.4691908,243.7489595,242.9497,243.017258,243.676471
2022/4/6,245.308701,244.8080424,243.4703788,240.4637792,243.285064,244.0764219
2022/4/7,250.060318,245.484506,245.0099274,245.086519,247.104173,245.9532978
2022/4/8,247.332382,243.2138553,249.3795872,248.8045541,254.811935,247.190636
2022/4/11,240.2099,247.7639077,247.1823934,249.9094645,244.604446,246.4317842
2022/4/12,235.468185,245.152372,242.7333719,243.4584805,233.087418,242.0966917
2022/4/13,234.704361,235.1443002,236.3743098,233.6590984,230.72647,237.9075222
2022/4/14,232.333511,233.3068894,234.614885,230.7477855,233.940537,234.4972001
2022/4/18,230.131317,230.5850227,232.5024055,227.5756376,229.962661,232.9092486
2022/4/19,237.501755,227.8816493,231.6104552,227.1955106,227.929123,233.2790548
2022/4/20,243.076736,227.8649752,235.7243035,233.654184,244.872193,234.7234831
2022/4/21,237.085129,241.7314352,236.8356905,244.2187141,248.651717,236.3982939
2022/4/22,225.587997,237.0061375,236.6348876,242.311148,231.093522,233.7399802
2022/4/25,224.139679,233.5413604,227.7493626,231.0205164,214.090865,229.4522406
