Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,136.083862,138.0097318,136.8279061,136.9669835,136.278411,137.9847107
2022/1/24,139.916397,134.3041577,134.9043958,132.7018142,133.07814,135.0114349
2022/1/25,135.996338,134.5930638,133.3020028,135.8978933,143.748932,134.4137931
2022/1/26,138.155762,132.6521338,135.0349806,134.6425529,132.076279,134.8125762
2022/1/27,133.603424,132.2422219,136.1007452,137.0337195,140.315186,134.5104905
2022/1/28,136.151978,132.2022801,132.3957455,136.6246573,129.051086,134.3327618
2022/1/31,142.5233,133.5422578,134.5017947,131.6535539,138.700532,133.7599473
2022/2/1,142.319031,137.6356774,134.3823017,140.34269,148.894622,134.3796225
2022/2/2,144.420105,140.5713761,134.2547712,143.9904272,142.114762,137.3983347
2022/2/3,134.760941,143.7787917,143.5579313,146.8545532,146.521179,137.2466164
2022/2/4,131.414795,141.2134101,133.9271465,139.6666178,125.101777,136.0026684
2022/2/7,132.377792,131.8262413,130.5229273,129.7528993,128.068649,132.2707163
2022/2/8,136.414612,131.7560887,132.3620751,127.5352532,133.340789,132.837242
2022/2/9,140.013672,135.4599903,135.6267237,130.7563209,140.451432,135.357826
2022/2/10,137.0177,138.9599801,138.0846792,140.0796888,143.612732,136.672238
2022/2/11,129.49855,136.402044,136.3053109,139.9559581,134.021728,135.9685831
2022/2/14,131.054901,132.3712117,133.5157592,130.2335077,121.9794,133.4702488
2022/2/15,135.782318,130.0351346,130.5896763,129.520851,132.611252,132.6551194
2022/2/16,136.375687,134.4164836,133.8599227,129.2333086,140.509735,132.8100201
2022/2/17,132.698792,136.4360627,133.9804613,136.0479935,136.969056,133.9220215
2022/2/18,133.402054,133.2880197,133.9256805,134.8786758,129.021897,133.6222803
2022/2/22,131.722076,132.0783843,132.960699,133.9441138,134.105316,130.9562193
2022/2/23,130.27652,131.2839655,125.9822784,131.298012,130.042098,129.1801638
2022/2/24,135.599701,131.5531327,128.597514,128.1382577,128.830964,129.523059
2022/2/25,136.078308,134.6346199,133.9893846,133.2936017,140.922882,133.0015517
2022/2/28,134.955048,134.2180101,136.4177565,136.3942329,136.556915,135.17642
2022/3/1,129.954178,135.0954256,135.1221189,137.1410302,133.831788,135.4599417
2022/3/2,133.636459,132.7436789,134.8399499,132.66907,124.953308,134.3776178
2022/3/3,133.675537,133.5544419,133.1707848,132.2532691,137.31874,133.7227654
2022/3/4,132.728104,134.2022732,133.1575614,131.8667355,133.714615,132.960286
2022/3/7,125.773773,133.0896088,132.5525119,132.5889277,131.780671,132.2396908
2022/3/8,129.00676,128.3294207,131.0089991,128.8119134,118.819442,131.0360922
2022/3/9,131.038345,126.9372277,129.5467657,126.8789556,132.239747,130.3375825
2022/3/10,128.410965,128.3222541,130.4569828,127.9578607,133.06993,129.5526242
2022/3/11,124.572395,128.1397372,128.6541243,128.1852292,125.783585,128.8359643
2022/3/14,117.754799,125.6831196,127.3967859,125.1543533,120.733825,126.9737369
2022/3/15,122.570091,119.5774961,124.8703006,115.670061,110.937203,125.342291
2022/3/16,128.020264,119.8098107,123.7597864,114.5540067,127.385383,124.2219398
2022/3/17,129.866287,122.5233608,124.0357324,126.5189004,133.470437,123.4125738
2022/3/18,132.034607,129.3671324,122.4422025,130.9028393,131.71231,122.905121
2022/3/21,131.4095,131.9033164,122.2374282,134.9128899,134.202927,124.8266433
2022/3/22,134.320175,132.0581429,129.8002992,134.3208512,130.784393,126.9976894
2022/3/23,130.19838,135.5083869,128.9553407,136.0034694,137.23085,128.9564628
2022/3/24,135.209,135.6194442,128.1137486,132.5810289,126.076585,130.7463686
2022/3/25,134.789001,136.5469773,135.1700165,132.3949734,140.21962,132.9672183
2022/3/28,133.87088,136.483715,135.6178899,136.9011435,134.369002,135.0160708
2022/3/29,137.025726,134.8995784,134.2603061,134.2860379,132.952759,135.670933
2022/3/30,133.226242,137.5582823,137.1346029,137.6286261,140.180572,135.1683424
2022/3/31,130.178833,137.3243609,134.1101181,134.9241349,129.426758,135.6924032
2022/4/1,128.957916,133.3051908,135.8324887,130.6168624,127.131424,133.1814688
2022/4/4,131.155548,130.8546192,129.6017996,127.8790017,127.736999,132.2513371
2022/4/5,124.943542,130.4969715,131.3197229,125.6030248,133.35318,131.4687542
2022/4/6,121.583595,126.1386962,133.4847401,124.8052552,118.731536,128.8680689
2022/4/7,120.196617,122.2613548,121.7997438,120.7878238,118.223648,124.3614501
2022/4/8,119.434776,118.6034798,117.7998665,117.4530888,118.809639,119.5519074
2022/4/11,118.125961,116.8499007,119.056112,116.2619426,118.672935,117.7363327
2022/4/12,117.539917,115.2712438,116.3530197,115.9413755,116.817146,116.8471047
2022/4/13,119.52269,114.0150715,115.1321823,116.2251515,116.953873,115.7123393
2022/4/14,114.990662,114.784294,115.6518158,117.9920048,121.505463,114.9820301
2022/4/18,116.485054,113.7337582,114.1620921,115.686703,110.458634,114.8463246
2022/4/19,119.161301,114.8377725,114.725066,115.7351899,117.979446,114.8147808
2022/4/20,117.998978,116.4488492,115.5571842,117.8799484,121.837548,114.269249
2022/4/21,115.38134,117.1765929,112.5254969,118.0741034,116.836655,113.2166834
