Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,414.269989,416.5327162,416.5140339,414.9568398,419.140014,414.9273738
2022/1/24,417.01001,412.8896845,413.2240827,414.0128491,410.569977,412.593606
2022/1/25,405.230011,413.0453005,408.0427013,416.4161704,419.750031,407.6997737
2022/1/26,405.98999,407.6839939,401.8325371,407.5712141,393.450012,403.7992462
2022/1/27,397.410004,406.8042948,401.5225,400.8009488,406.749969,403.7021556
2022/1/28,410.040009,400.0674988,407.7514295,397.5355774,388.830018,405.8836948
2022/1/31,421.429993,398.3611083,408.377155,397.0759388,422.670014,408.5333957
2022/2/1,422.299988,409.1938557,409.4716026,422.1819154,432.819977,409.5328446
2022/2/2,428.420013,422.4049282,410.7497764,427.1263417,423.169983,416.0044522
2022/2/3,422.720001,429.8023901,427.7919775,435.5584642,434.540038,417.6229638
2022/2/4,417.709991,425.9713005,414.3271374,428.2418146,417.019989,419.0416583
2022/2/7,421.890015,431.2478953,415.00586,418.9766219,412.699981,415.4404557
2022/2/8,423.5,429.5177011,416.9883696,419.4694502,426.070039,418.534439
2022/2/9,432.209991,425.7739567,423.6090874,422.7772965,425.109985,424.1727586
2022/2/10,424.890015,432.8748171,431.9208187,432.8166375,440.919982,427.2990551
2022/2/11,421.440002,426.3817542,426.3672591,434.2426837,417.570039,428.3111153
2022/2/14,416.940002,423.9656524,426.645268,425.0415666,417.989989,423.7636662
2022/2/15,425.440002,416.9575604,418.2784716,415.706539,412.440002,423.5095951
2022/2/16,426.470001,424.0574426,425.6050456,413.1499353,433.940002,423.7597833
2022/2/17,419.980011,424.8539394,427.3958328,425.9215265,427.5,424.8828176
2022/2/18,419.920013,421.0902575,421.6475744,424.4987949,413.490021,425.4870566
2022/2/22,416.769989,418.9914487,427.4177625,421.8312932,419.860015,422.1600444
2022/2/23,406.720001,415.7874605,417.4147963,415.6642574,413.619965,417.2499469
2022/2/24,418.079987,412.0053775,406.9172818,405.4847938,396.670013,413.3244331
2022/2/25,428.630005,414.3980596,415.6412211,411.7044863,429.439973,413.7852511
2022/2/28,429.380005,417.3186195,418.7972504,423.4027158,439.180023,417.8896063
2022/3/1,425.730011,429.2897177,419.2303475,432.9736931,430.130005,420.2731808
2022/3/2,440.820007,426.8831029,422.7919445,435.5752051,422.080017,422.8550056
2022/3/3,442.040009,438.1577273,426.5427249,441.9826982,455.910003,425.9963182
2022/3/4,450.029999,444.6040819,428.6542852,444.2357163,443.260011,430.204513
2022/3/7,435.0,452.8516459,435.4165289,453.8674304,458.019989,433.3344702
2022/3/8,430.559998,450.0207751,435.9325966,451.3260766,419.970001,434.0238241
2022/3/9,441.420013,435.2812122,430.7223469,430.3635831,426.119996,436.1481421
2022/3/10,425.070007,441.1117762,441.7894827,432.8159561,452.280028,434.2236241
2022/3/11,420.399994,434.3141075,430.1590426,422.6476669,408.720001,435.8988278
2022/3/14,418.679993,420.482534,435.7479581,419.2776073,415.729981,433.0241664
2022/3/15,426.51001,408.1516377,433.1654985,413.228459,416.959992,435.2947634
2022/3/16,428.529999,415.2689791,436.9708336,410.2401751,434.340027,433.0890811
2022/3/17,432.910004,421.2731565,429.1309112,427.4942652,430.549988,433.1876824
2022/3/18,437.380005,425.6574364,433.4613023,435.2789763,437.290009,433.506915
2022/3/21,448.73999,432.6210212,437.9285316,442.4157632,441.850006,439.2744719
2022/3/22,449.809998,450.4246555,446.4335818,450.746278,460.099975,443.6405713
2022/3/23,454.640015,453.7961243,446.5596004,457.3734376,450.880006,444.3526819
2022/3/24,467.929993,459.4577617,440.0648636,461.721517,459.470032,454.257154
2022/3/25,471.579987,469.5993826,476.146998,472.363382,481.219971,465.1930752
2022/3/28,470.829987,477.0710791,479.3673641,476.8111875,475.229981,477.96831
2022/3/29,471.369995,484.7378861,478.3905681,481.1702233,470.079987,477.4804071
2022/3/30,473.119995,481.8587753,474.683289,476.0284958,471.910003,476.3279657
2022/3/31,472.630005,477.9371413,475.91004,475.4335791,474.869995,475.076158
2022/4/1,474.299988,476.3961621,474.635145,473.6543064,472.140015,476.1223091
2022/4/4,484.700012,477.1417715,477.8217424,474.6814666,475.969971,479.7370551
2022/4/5,481.279999,486.3170133,486.7542778,483.4203558,495.100036,484.9278233
2022/4/6,476.25,483.0447216,490.2074497,486.1297772,477.859986,485.6634589
2022/4/7,479.700012,482.2015863,480.0286491,481.9062763,471.220001,484.4895457
2022/4/8,480.679993,482.6039706,483.2325384,480.28906,483.150024,482.3696157
2022/4/11,473.269989,482.1122111,483.8476596,479.6192841,481.659974,481.0215301
2022/4/12,477.649994,478.8350946,475.9843924,475.0449483,465.859985,479.9219159
2022/4/13,480.200012,477.3586529,479.9336956,476.824642,482.029999,479.33401
2022/4/14,480.23999,471.4757614,482.083942,477.2941445,482.75003,481.2459578
2022/4/18,481.329987,478.6309741,481.7202358,480.5369383,480.279968,482.1173473
2022/4/19,482.459991,483.086662,482.5478641,482.6769958,482.419984,482.5519696
2022/4/20,488.630005,481.6448165,483.3878091,483.9287956,483.589995,483.5929514
2022/4/21,479.410004,487.006577,484.8431811,488.640871,494.800019,484.0684355
2022/4/22,467.880005,487.4316798,483.9743164,483.8815725,470.190003,482.8241983
2022/4/25,468.679993,467.926673,479.6550973,466.6782235,456.350006,478.578039
2022/4/26,462.570007,467.479305,472.1047032,464.1847303,469.479981,474.4673612
2022/4/27,451.160004,460.6838773,471.642283,456.6765264,456.460021,469.4042798
2022/4/28,452.890015,448.2738678,464.4658533,447.055254,439.750001,465.116962
2022/4/29,431.549988,447.0692513,459.2427498,446.0617848,454.620026,458.970959
2022/5/2,428.459991,426.3629029,453.2042739,429.0012337,410.209961,446.1979698
2022/5/3,417.980011,427.1087004,426.1468858,415.3519408,425.369994,429.4221907
2022/5/4,427.940002,412.3235223,408.9154123,413.3659875,407.500031,418.920164
2022/5/5,417.959991,410.4520207,421.6981939,406.9528134,437.899993,416.1730597
2022/5/6,407.519989,408.9046852,417.9055729,413.892163,407.97998,413.5977676
2022/5/9,399.0,402.3258245,401.189536,406.97541,397.079987,404.8825989
