Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,151.575943,151.6581204,158.4876712,153.2800413,153.578857,156.172454
2022/1/24,151.234238,147.2376801,155.2720846,148.7722658,146.725281,154.1057799
2022/1/25,149.648987,147.2177933,148.557584,147.4102967,150.892533,149.9433295
2022/1/26,148.671265,145.2735969,146.00032,146.415185,148.063736,146.792122
2022/1/27,142.244858,145.8740149,145.8184622,146.5887661,147.693543,144.12294
2022/1/28,142.206879,140.9390585,140.5500379,143.6372334,135.818451,141.8405473
2022/1/31,146.592392,139.4169055,139.1531419,139.3546721,142.1689,139.9802369
2022/2/1,147.845413,140.6214131,140.2375308,142.7825485,150.977905,140.3833985
2022/2/2,148.889603,146.2939417,141.7595229,147.4702751,149.098434,139.2750145
2022/2/3,140.460251,148.1499215,135.8279897,149.9677127,149.933793,138.5824007
2022/2/4,141.153214,143.4270901,138.1596894,144.4950387,132.030899,137.6663187
2022/2/7,144.133835,142.6038025,139.0112769,139.9856992,141.846177,139.8001642
2022/2/8,143.60228,143.4700093,142.2295262,139.5824384,147.114456,141.1015616
2022/2/9,145.481781,143.2407762,142.0638817,141.9062505,143.070725,142.8296637
2022/2/10,140.327362,143.4568517,144.1955832,145.6906259,147.361282,141.8358999
2022/2/11,136.929062,140.7522754,139.2482347,142.9446598,135.172943,140.3559605
2022/2/14,136.824631,139.2635153,137.6240637,135.9938613,133.530762,137.7537775
2022/2/15,139.140808,137.0605549,136.3890341,134.2140677,136.7202,137.033718
2022/2/16,138.73262,138.2519992,137.0880564,134.4578284,141.456985,134.9682741
2022/2/17,136.141174,137.8891582,131.4277319,137.9444799,138.324432,134.6194897
2022/2/18,136.188629,134.7312409,135.3426809,137.4033119,133.549728,134.8973461
2022/2/22,134.992584,134.7773253,137.9216256,136.2033802,136.236084,136.172225
2022/2/23,132.600494,134.1095962,135.2523686,134.3115679,133.796539,135.4807962
2022/2/24,135.495682,133.7090034,133.2683945,131.6463105,130.208404,132.5516345
2022/2/25,137.887787,133.761278,129.1341403,133.497596,138.39087,133.1551684
2022/2/28,137.223328,134.4366952,137.0629705,136.5454506,140.279892,133.4113005
2022/3/1,132.477097,136.9840127,134.0367907,138.0760062,136.558869,133.162158
2022/3/2,135.723511,134.395881,128.3867129,135.7102033,127.730866,132.4393249
2022/3/3,135.66655,135.6502335,134.894471,135.0055287,138.969925,132.0731368
2022/3/4,131.708191,135.8296786,132.9382266,135.2635856,135.609589,133.3611179
2022/3/7,127.63591,133.6874685,132.2506561,132.6271655,127.749832,130.8737174
2022/3/8,128.034607,127.395159,127.4322696,128.7359057,123.563629,129.2661228
2022/3/9,131.831604,127.0524766,128.1154427,126.0861814,128.433304,128.5883714
2022/3/10,131.546814,128.0402236,130.2174018,128.1507574,135.628601,129.4386097
2022/3/11,129.411011,128.8964262,129.9829845,131.2825809,131.262024,129.8039849
2022/3/14,131.144424,128.1598906,129.2115683,131.4632353,127.275208,129.6379823
2022/3/15,133.490723,130.3766985,129.719394,131.3705943,132.877837,130.4087957
2022/3/16,139.006943,133.1764727,132.2954249,132.5957729,135.837022,131.2660376
2022/3/17,140.769073,139.3661857,131.7832939,140.0696628,144.523163,132.5464922
2022/3/18,140.53923,142.1730683,133.5607577,143.3210545,142.531203,135.3218731
2022/3/21,139.504929,142.3811558,140.6215676,144.914284,140.309387,138.2147121
2022/3/22,143.115387,141.2381766,140.4618109,141.467735,138.470628,141.2345622
2022/3/23,140.232758,144.6621906,142.6203081,143.8145154,146.725845,141.2350183
2022/3/24,142.473755,142.8032763,140.622936,141.1480577,137.350129,142.1892515
2022/3/25,142.617371,143.6548276,143.3245106,141.6605341,144.714752,142.4363394
2022/3/28,143.910248,143.5540817,143.3615715,144.4358988,142.760987,143.7739126
2022/3/29,148.440079,143.1004397,144.6356557,142.5260399,145.203125,145.8614634
2022/3/30,146.620483,146.587821,149.5871631,148.9892543,152.96991,147.3965108
2022/3/31,144.791306,147.3251504,147.9667136,148.898955,144.800887,148.7932734
2022/4/1,146.39064,146.9762712,148.8259436,147.0988927,142.962129,148.1039658
2022/4/4,149.167892,147.7156397,147.5192401,146.7635533,147.989974,148.783309
2022/4/5,148.296417,149.1909286,150.0047434,148.6307294,151.945144,149.0581434
2022/4/6,142.10025,149.1388108,149.6504468,148.8324098,147.424942,147.7721174
2022/4/7,140.299805,146.3755578,143.6611619,144.8605823,135.904083,146.64381
2022/4/8,139.964615,140.0661165,146.6198212,139.0427948,138.49936,143.5401566
2022/4/11,137.014984,140.0163286,140.3394868,137.1329685,139.629425,141.3656921
2022/4/12,137.781113,135.9799673,137.1377684,134.2215972,134.065353,138.4105849
2022/4/13,137.503387,136.2099308,137.7544996,135.8671248,138.547242,138.4761301
2022/4/14,133.078918,131.2220729,140.5361223,136.1153336,137.225661,138.8061412
2022/4/18,133.414093,131.7605826,138.1278017,132.7595703,128.654449,136.9593927
