Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,57.810001,59.28433113,59.92912079,58.43153587,57.899997,59.89618647
2022/1/24,57.02,56.796501,57.64550979,55.85714299,55.700004,58.08853768
2022/1/25,55.09,55.71887994,56.69098247,54.82785023,56.229999,57.59509566
2022/1/26,54.580002,53.51477331,58.44879472,53.35537882,53.16,57.28073763
2022/1/27,53.84,52.03683818,56.70243569,52.78325816,54.070004,56.07794358
2022/1/28,49.900002,53.14928251,53.08260031,52.56813741,53.099998,52.42286123
2022/1/31,51.740002,49.30812671,47.48354769,49.34509511,45.960004,50.46501728
2022/2/1,52.57,49.21249929,50.82890383,49.86372344,53.580002,50.01870516
2022/2/2,53.439999,49.68522174,51.74366396,51.00306626,53.399998,51.67360415
2022/2/3,52.290001,52.56272939,52.44824466,53.05682609,54.309998,51.82012243
2022/2/4,51.810001,51.83931635,51.26845867,55.13036335,51.140003,51.50432251
2022/2/7,51.849998,51.58244936,50.79626421,52.11051719,51.330001,50.97560872
2022/2/8,52.369999,51.6628263,50.86210328,51.67235217,51.889995,49.86870588
2022/2/9,54.48,52.18061484,47.94775015,51.20138472,52.89,50.83377569
2022/2/10,54.09,54.58361223,53.69147363,54.5708344,56.590001,51.69601611
2022/2/11,53.73,53.63241691,53.44882453,54.84086921,53.7,53.46495317
2022/2/14,52.860001,54.06366812,53.25456135,55.01252846,53.37,53.07279563
2022/2/15,55.869999,53.11900056,52.51500101,53.13873096,51.990002,53.68587502
2022/2/16,56.389999,55.33098658,55.28806269,53.80554382,58.879997,54.55652757
2022/2/17,56.450001,56.39316248,55.86651902,56.7498105,56.909999,55.89165621
2022/2/18,55.529999,56.66688131,56.5203869,57.62375528,56.510003,56.05991823
2022/2/22,53.419998,56.53629462,55.79284877,57.23301494,54.609997,55.38278158
2022/2/23,51.98,55.8173789,53.83510905,53.45124854,51.309997,54.41591149
2022/2/24,51.830002,52.08046884,53.61977663,51.04410991,50.540002,53.14712044
2022/2/25,52.950001,51.56559738,51.98647563,50.30235867,51.680004,53.10709293
2022/2/28,50.939999,52.71959353,53.71502653,51.96035644,54.07,53.0556858
2022/3/1,49.490002,50.3105345,53.46555524,50.66793066,48.929997,53.21502394
2022/3/2,51.84,48.77174582,52.46449005,49.77206708,48.040005,52.56533675
2022/3/3,52.02,49.53804419,51.76596495,50.17929386,54.189998,52.09287729
2022/3/4,50.27,51.30845369,52.04817688,51.20039909,52.2,51.35372944
2022/3/7,46.610001,50.51743699,50.2470465,51.08088697,48.52,49.6517485
2022/3/8,45.77,48.35349764,46.66002212,47.64414758,42.950002,47.52727505
2022/3/9,47.77,45.11280372,45.67475652,44.46369128,44.929999,46.47044298
2022/3/10,46.59,46.39708609,47.07655028,44.35228231,49.77,46.28851823
2022/3/11,45.299999,45.40918269,46.11424788,45.71757966,45.41,46.07775212
2022/3/14,44.470001,44.59856849,45.04245818,45.19407968,44.009998,44.72451761
2022/3/15,45.939999,43.44721594,43.01684677,44.36734834,43.640003,44.06386963
2022/3/16,48.25,44.99593352,44.13230394,43.36330928,47.409997,43.95037777
2022/3/17,48.860001,47.72390154,44.70198259,48.15388248,50.560001,44.79719986
2022/3/18,49.299999,48.97278765,45.55731304,49.64725344,49.470002,45.34040945
2022/3/21,48.950001,49.64363242,45.76193271,50.73634589,49.739997,45.82911964
2022/3/22,49.73,49.3458344,46.16811319,49.93611783,48.600003,46.24065171
2022/3/23,48.68,50.32125095,46.79190925,50.21610516,50.509999,46.74673218
2022/3/24,50.5,50.75535605,47.28017409,49.17367121,47.63,48.16857748
2022/3/25,50.810001,50.98449073,50.43364911,49.55790411,52.32,49.6547514
2022/3/28,50.700001,51.21896311,51.25043101,51.39109772,51.120002,50.84817453
2022/3/29,51.889999,50.92292245,50.86044346,51.34241683,50.590001,51.35819242
2022/3/30,50.619999,51.76492278,51.96370279,52.40975651,53.079997,51.28482585
2022/3/31,49.650002,52.29663257,51.0303313,51.2633639,49.349999,51.03516947
2022/4/1,48.389999,51.01926717,50.11147431,50.05571202,48.680005,50.8041753
2022/4/4,49.34,48.50477857,51.27072028,47.91806171,47.129996,50.30421736
2022/4/5,48.119999,49.14750277,49.53045749,47.16162899,50.290001,50.56778458
