Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,366.822571,369.1972876,366.2606817,368.7627635,370.742156,363.9615582
2022/1/24,382.500793,361.7085395,361.752737,366.1915517,361.047944,369.1470315
2022/1/25,377.354492,370.5027935,379.4276759,377.4857736,398.179015,371.0177931
2022/1/26,377.563965,375.429088,371.8729664,379.9472458,372.208191,374.6926789
2022/1/27,382.839874,376.6055453,372.7773944,382.0111292,377.773438,374.2424858
2022/1/28,391.985504,384.3798396,378.0770966,386.9693729,388.115783,380.0985309
2022/1/31,392.175018,389.082671,389.4411017,390.5645646,401.131134,386.0432639
2022/2/1,396.184296,393.5476332,390.6115933,395.7902438,392.364532,386.9034105
2022/2/2,407.643829,398.8677142,380.6575365,400.7420696,400.193574,392.9427868
2022/2/3,401.081299,405.8573029,407.5592304,410.1099694,419.103362,398.2331839
2022/2/4,399.685028,407.6562144,406.4827849,407.4291419,394.518769,406.6168363
2022/2/7,399.65506,409.421686,405.8084936,404.7298798,398.288757,404.9127393
2022/2/8,399.625183,402.8726259,402.4469395,400.775732,399.625092,403.1668651
2022/2/9,407.693695,402.121615,401.2451621,398.3764597,399.595306,404.0270548
2022/2/10,398.48822,405.8260195,408.3890629,407.3210131,415.762207,404.954212
2022/2/11,390.16037,403.1196998,405.228411,405.0962714,389.282745,407.2346936
2022/2/14,382.660339,394.3955845,408.0866069,393.266969,381.83252,399.1678727
2022/2/15,384.345886,388.5461748,384.1886003,378.9635161,375.160308,392.6009348
2022/2/16,378.311951,381.7046182,385.5275971,370.1853417,386.031433,382.9060449
2022/2/17,386.270752,375.5243984,379.0019374,373.0540418,372.278016,383.6709594
2022/2/18,368.508087,376.8458321,386.4833438,381.7579671,394.229553,377.9444426
2022/2/22,368.149048,367.649969,368.3480466,376.4209437,350.745422,374.0292608
2022/2/23,356.539948,363.8168503,367.2563919,361.9283645,367.790009,362.1836002
2022/2/24,377.374451,361.0681187,350.9463621,358.8766748,344.930848,364.8434624
2022/2/25,385.442993,364.293726,376.3276332,353.7202198,398.208954,369.8653967
2022/2/28,386.051331,371.8490301,382.3221949,386.3574779,393.511535,378.999755
2022/3/1,380.565948,385.0840016,378.3494371,393.2400161,386.659669,377.6340889
2022/3/2,383.657715,382.2861533,372.2306348,399.9320202,375.080565,373.8012149
2022/3/3,390.200226,385.0583121,370.8235728,386.6972623,386.749482,372.3258299
2022/3/4,386.161072,394.5813845,373.9232821,387.8446316,396.742737,373.6200004
2022/3/7,371.889069,395.2049142,376.1131462,388.5883363,382.121918,373.6646771
2022/3/8,357.696869,375.1138739,370.9576029,377.653374,357.617066,368.3778993
2022/3/9,371.41037,355.8715633,358.062949,352.2242022,343.504669,365.7986095
2022/3/10,370.482849,364.9721789,368.3752768,356.7096326,385.123871,365.4298799
2022/3/11,362.244781,362.1910073,369.8514139,361.6487574,369.555328,370.0064462
2022/3/14,369.036652,359.6187809,371.7926478,361.7356504,354.006713,371.5339049
2022/3/15,384.405701,357.6282448,372.9576529,369.4380942,375.828523,372.6766129
2022/3/16,395.705627,381.3102401,373.279538,377.920175,399.77475,380.2601425
2022/3/17,404.163086,396.0631062,394.5432368,400.7604663,407.005553,383.5072829
2022/3/18,413.587982,408.1398835,382.699074,413.3576913,412.620545,397.3224388
2022/3/21,411.553406,419.8556195,414.7250055,426.6928779,423.012878,403.9851747
2022/3/22,412.371185,419.0532589,414.5314447,420.8186863,409.51883,410.15702
2022/3/23,402.068695,420.1411879,401.2146099,417.9359408,413.188964,406.4737705
2022/3/24,407.364594,408.093312,403.675257,403.9930015,391.766205,404.5869437
2022/3/25,404.163086,411.4816304,408.8709643,400.4297171,412.660493,406.0808286
2022/3/28,405.569305,406.4591224,405.6962645,401.6314861,400.961578,407.5193775
2022/3/29,413.01947,405.7899627,407.9909036,398.797266,406.975524,409.3299254
2022/3/30,416.8992,407.4747449,414.302608,412.3119843,420.469635,414.048562
2022/3/31,409.6185,415.5872923,419.8521745,418.2294141,420.77893,415.6271057
2022/4/1,415.921783,412.2148827,412.7265345,416.9182344,402.3378,416.980156
2022/4/4,407.943024,418.5566753,418.361759,416.9602969,422.225066,413.8710759
2022/4/5,407.554047,414.4111885,410.5249341,410.515094,399.964265,412.4895579
2022/4/6,408.361908,411.8038706,408.5819808,402.2760496,407.16507,409.7660183
2022/4/7,419.332642,408.553109,410.19114,406.9810389,409.169769,412.8551732
2022/4/8,412.480896,413.2036596,419.7923987,413.9809636,430.303376,414.8797587
2022/4/11,397.44101,412.140911,414.6557374,415.420012,405.62915,411.2479554
2022/4/12,383.528046,407.4652942,399.2957302,403.2861994,382.401124,404.9461372
2022/4/13,385.991516,382.4960916,400.8869439,378.9821953,369.615082,395.1322449
2022/4/14,380.206909,382.024639,385.2140605,375.0532558,388.454986,388.4066273
2022/4/18,371.430298,376.2051534,379.1188775,369.6083834,374.422302,378.0829732
2022/4/19,370.192993,366.3633624,369.9159815,365.1379541,362.653687,376.3481539
2022/4/20,370.941376,361.9000435,380.0096027,365.3725061,368.955688,372.8451818
2022/4/21,364.345764,363.9299112,368.6099614,365.4886722,371.689759,369.6454941
2022/4/22,349.009155,359.1910525,360.3169183,361.1006207,357.750152,358.5959225
2022/4/25,348.190979,351.3616685,346.8608877,349.8981087,333.672546,349.7463554
2022/4/26,331.666992,343.9751002,342.0612603,341.8969787,347.372803,339.1010776
2022/4/27,331.637054,331.5004534,328.3810849,325.8193716,315.143005,332.3053127
2022/4/28,324.652252,325.0869742,326.4735929,316.4251819,331.607116,324.7999562
2022/4/29,314.374664,317.6493728,319.5451907,321.2044021,317.66745,319.17538
2022/5/2,311.57077,307.6025937,311.5073564,307.3722396,304.097076,312.5928119
2022/5/3,305.783417,299.5045093,306.7258887,304.1242798,308.766876,305.9198537
2022/5/4,317.747345,295.8128723,299.5263159,299.32914,299.996064,304.4484232
2022/5/5,314.075317,302.4074353,307.093065,310.9801119,329.711273,301.3970681
2022/5/6,305.673645,309.8262316,297.5718235,313.4205893,310.403289,299.3537865
2022/5/9,296.174347,303.407736,293.3964709,310.931806,297.271973,293.8702451
2022/5/10,295.615601,293.6226092,290.6424408,297.9073102,286.675049,289.6099769
2022/5/11,290.167419,295.9164631,284.7910191,290.7928884,295.056855,285.5561952
2022/5/12,295.346161,290.0772352,281.2351255,282.9979536,284.719237,282.1242521
2022/5/13,304.306641,288.0547836,280.3466116,290.9512149,300.524903,286.9014502
2022/5/16,302.710114,300.9556119,299.1226133,303.6920979,313.267121,293.7665303
2022/5/17,304.256744,301.3198542,301.8303658,305.2659792,301.113587,300.6734709
2022/5/18,293.370514,303.505688,301.0674336,309.4293797,305.803374,297.8546898
2022/5/19,301.552643,294.493447,290.66627,295.1281431,282.484284,297.0172718
2022/5/20,300.02597,303.6380778,299.3181117,294.8097029,309.734772,293.8098114
2022/5/23,302.680176,302.7725566,291.4450526,298.6072962,298.499297,297.3581146
2022/5/24,300.065887,302.9380778,301.3111794,296.6478178,305.334382,297.3097981
2022/5/25,298.140076,300.6352083,299.1731624,307.6093952,297.451598,299.3360729
2022/5/26,304.795532,298.9454704,297.5238769,298.5422164,296.214265,300.0935356
2022/5/27,320.511292,301.8580754,303.5835676,302.9340259,311.450988,301.3303445
2022/5/31,309.704865,314.361779,302.8835891,317.1439349,336.227052,305.4235671
2022/6/1,307.908752,312.5499102,309.8035446,318.4645554,298.898438,307.111509
2022/6/2,317.298279,313.9783759,308.6473933,315.1969454,306.112639,314.3359581
2022/6/3,309.205963,318.8863395,324.5569364,316.482231,326.687806,315.5418327
2022/6/6,308.357788,317.913042,313.4211685,309.3873229,301.113647,317.4460139
2022/6/7,315.671844,313.8181831,314.3599368,309.3087779,307.509613,314.6383951
2022/6/8,311.331329,304.1823417,316.1340802,313.6608072,322.9859,315.0323396
2022/6/9,303.877594,306.3101215,314.603002,313.4901558,306.990814,314.2354789
2022/6/10,292.871552,316.4878806,311.9693545,305.1692274,296.423859,312.5844001
2022/6/13,283.252502,294.2431551,311.1808438,290.3259945,281.86551,309.5039141
2022/6/14,279.999603,281.007431,305.3615439,276.9279491,273.633452,298.7376741
2022/6/15,289.25946,275.4344139,279.6706347,269.595564,276.746704,291.1901404
2022/6/16,282.075073,283.7942799,288.5382428,280.6467753,298.519317,285.8562814
2022/6/17,282.204834,277.7603623,289.3599668,279.5656124,274.890686,287.6925285
2022/6/21,287.902405,277.3718367,285.1793758,281.5370845,282.334595,286.9474702
2022/6/22,288.201721,284.1072754,286.3030679,287.5971902,293.599976,285.8775852
2022/6/23,298.249847,286.6706372,286.150312,289.0932015,288.501037,287.1441231
2022/6/24,300.524872,296.6287029,288.9789895,300.1600512,308.297973,286.1172284
2022/6/27,304.156952,300.7609706,283.2223838,307.8868649,302.799897,291.6899747
2022/6/28,295.815125,305.2549602,302.8685508,309.1911829,307.789032,295.5097391
2022/6/29,298.868469,299.1798668,300.4382826,302.3764896,287.473298,300.4114629
2022/6/30,301.71228,305.0536791,297.9275552,299.5263216,301.921813,299.8523242
2022/7/1,307.070587,303.860016,301.1911348,298.9153531,304.556091,302.0192928
2022/7/5,305.394257,306.7900293,306.9391886,306.1246433,312.428894,304.5817755
2022/7/6,314.863617,307.490512,305.6150031,307.7688268,303.717927,309.680452
2022/7/7,319.563385,312.0759902,316.4871642,314.6963178,324.332977,314.2479742
2022/7/8,317.787262,320.8110365,320.6417551,322.9922542,324.263153,319.0649473
2022/7/11,315.252777,321.3661665,320.0659225,323.3831331,316.011139,319.8219335
2022/7/12,296.124481,322.5653347,318.7581227,321.0594453,312.718292,318.6450321
2022/7/13,299.347473,297.211948,317.111051,295.4542033,276.996185,316.8389581
2022/7/14,293.729675,298.8551402,314.6477006,293.0246445,302.570465,308.9027006
2022/7/15,299.786499,292.1834627,294.9493503,284.6289951,288.111877,305.1058327
2022/7/18,291.34491,296.5117165,305.7204473,290.601498,305.843323,301.6000972
2022/7/19,299.721802,287.0261837,304.1304939,298.4272936,282.903321,303.9807701
2022/7/20,302.936798,288.8307612,302.091369,291.676654,308.098694,303.0087648
2022/7/21,316.106201,299.1601291,302.8044315,305.9947263,306.151794,305.7996076
2022/7/22,313.150848,315.155344,312.5030222,315.7699553,329.275604,309.5643474
